,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,1.0,0.0,0.0,0.73,0.25182793085945254,1.0,4.0,0.0
1,100002.0,0.0,0.0,0.0,0.98,0.2863193107223854,1.0,4.0,0.0
2,100003.0,0.0,0.0,0.0,0.89,0.5098237960372126,1.0,4.0,0.0
3,100004.0,1.0,1.0,0.0,0.1,0.301545723268874,1.0,4.0,0.0
4,100005.0,0.0,0.0,1.0,0.99,0.057827666089778636,1.0,4.0,0.0
5,100006.0,1.0,1.0,1.0,0.27,0.22275487238889222,1.0,4.0,0.0
6,100007.0,1.0,0.0,1.0,0.32,0.3523859859129522,1.0,4.0,0.0
7,100008.0,0.0,0.0,1.0,0.1,0.07051433293021787,1.0,4.0,0.0
8,100009.0,0.0,0.0,0.0,0.63,0.23008025876108848,1.0,4.0,0.0
9,100010.0,1.0,0.0,0.0,0.77,0.6735587591877272,1.0,4.0,0.0
10,100011.0,1.0,0.0,1.0,0.86,0.28150305049201274,1.0,4.0,0.0
11,100012.0,1.0,1.0,0.0,0.24,0.3690546059059715,1.0,4.0,0.0
12,100013.0,0.0,0.0,0.0,0.09,0.2859500058546692,1.0,4.0,0.0
13,100014.0,1.0,0.0,0.0,0.17,0.6488978087837269,1.0,4.0,0.0
14,100015.0,0.0,1.0,0.0,0.5,0.5914159415565738,1.0,4.0,0.0
15,100016.0,1.0,0.0,0.0,0.02,0.05036965798581044,1.0,4.0,0.0
16,100017.0,0.0,1.0,0.0,0.41,0.5619090982667511,1.0,4.0,0.0
17,100018.0,1.0,0.0,1.0,0.25,0.5900221037543055,1.0,4.0,0.0
18,100019.0,0.0,1.0,1.0,0.68,0.3923486355491123,1.0,4.0,0.0
19,100020.0,1.0,0.0,1.0,0.32,0.4111020570736647,1.0,4.0,0.0
20,100021.0,0.0,1.0,1.0,0.74,0.41252988089414466,1.0,4.0,0.0
21,100022.0,0.0,0.0,0.0,0.78,0.31611660450930773,1.0,4.0,0.0
22,100023.0,0.0,0.0,1.0,0.27,0.5733146609948537,1.0,4.0,0.0
23,100024.0,1.0,1.0,1.0,0.32,0.38906312076519733,1.0,4.0,0.0
24,100025.0,0.0,0.0,1.0,0.9,0.23873399180947436,1.0,4.0,0.0
25,100026.0,0.0,1.0,0.0,0.11,0.32159621945562095,1.0,4.0,0.0
26,100027.0,0.0,1.0,0.0,0.9,0.4390358484950015,1.0,4.0,0.0
27,100028.0,0.0,0.0,1.0,0.45,0.3040837986405832,1.0,4.0,0.0
28,100029.0,0.0,0.0,1.0,0.39,0.7227958267879612,1.0,4.0,0.0
29,100030.0,1.0,1.0,1.0,0.62,0.1184874868303844,1.0,4.0,0.0
30,100031.0,1.0,1.0,1.0,0.34,0.3698602033194066,1.0,4.0,0.0
31,100032.0,1.0,0.0,1.0,0.64,0.2264487008643196,1.0,4.0,0.0
32,100033.0,0.0,1.0,1.0,0.44,0.2294785575509931,1.0,4.0,0.0
33,100034.0,1.0,0.0,1.0,0.05,0.5766809492380796,1.0,4.0,0.0
34,100035.0,1.0,0.0,1.0,0.24,0.33473832324898606,1.0,4.0,0.0
35,100036.0,0.0,1.0,1.0,0.31,0.23890567246376015,1.0,4.0,0.0
36,100037.0,0.0,1.0,0.0,0.88,0.19570887917743188,1.0,4.0,0.0
37,100038.0,1.0,1.0,1.0,0.33,0.47161467959871106,1.0,4.0,0.0
38,100039.0,0.0,1.0,1.0,0.84,0.31389162880465854,1.0,4.0,0.0
39,100040.0,1.0,0.0,0.0,0.26,0.4382011037030426,1.0,4.0,0.0
40,100041.0,1.0,0.0,0.0,0.72,0.07808985259610245,1.0,4.0,0.0
41,100042.0,1.0,1.0,1.0,0.84,0.212079008936503,1.0,4.0,0.0
42,100043.0,0.0,1.0,0.0,0.36,0.25771341976904316,1.0,4.0,0.0
43,100044.0,0.0,0.0,1.0,0.95,0.5503811569938613,1.0,4.0,0.0
44,100045.0,0.0,1.0,0.0,0.05,0.15457071547766235,1.0,4.0,0.0
45,100046.0,1.0,0.0,0.0,0.37,0.240229537478894,1.0,4.0,0.0
46,100047.0,1.0,0.0,1.0,0.81,0.6326997850668131,1.0,4.0,0.0
47,100048.0,0.0,1.0,0.0,0.28,0.4252608804682205,1.0,4.0,0.0
48,100049.0,0.0,1.0,0.0,0.84,0.22181048990814975,1.0,4.0,0.0
49,100050.0,1.0,0.0,0.0,0.73,0.3520766780859433,1.0,4.0,0.0
50,100051.0,0.0,0.0,0.0,0.99,0.3730597064031479,1.0,4.0,0.0
51,100052.0,1.0,0.0,1.0,0.89,0.19342457388062115,1.0,4.0,0.0
52,100053.0,0.0,1.0,1.0,0.82,0.5184085882175734,1.0,4.0,0.0
53,100054.0,1.0,1.0,1.0,0.41,0.35613788665185603,1.0,4.0,0.0
54,100055.0,0.0,0.0,1.0,0.02,0.20222270189136393,1.0,4.0,0.0
