,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,1.0,1.0,0.0,0.32,0.37131697100989336,1.0,10.0,0.0
1,100002.0,0.0,0.0,1.0,0.68,0.4705815381832519,1.0,10.0,0.0
2,100003.0,0.0,0.0,0.0,0.05,0.07931742604711159,1.0,10.0,0.0
3,100004.0,1.0,0.0,0.0,0.04,0.41301212332458465,1.0,10.0,0.0
4,100005.0,0.0,0.0,1.0,0.3,0.37358024009202123,1.0,10.0,0.0
5,100006.0,0.0,0.0,1.0,0.33,0.25590977136641246,1.0,10.0,0.0
6,100007.0,1.0,1.0,1.0,0.27,0.02856706132485588,1.0,10.0,0.0
7,100008.0,0.0,1.0,1.0,0.97,0.36108872412433546,1.0,10.0,0.0
8,100009.0,0.0,1.0,1.0,0.28,0.3859187435395544,1.0,10.0,0.0
9,100010.0,1.0,1.0,0.0,0.33,0.3512313679104389,1.0,10.0,1.0
10,100011.0,1.0,0.0,0.0,0.08,0.43066167627384716,1.0,10.0,0.0
11,100012.0,0.0,0.0,1.0,0.72,0.20220013835059258,1.0,10.0,0.0
12,100013.0,0.0,1.0,1.0,0.99,0.3585700462059802,1.0,10.0,0.0
13,100014.0,1.0,0.0,1.0,0.45,0.41100971354297144,1.0,10.0,0.0
14,100015.0,1.0,1.0,0.0,0.06,0.47121041168211314,1.0,10.0,0.0
15,100016.0,0.0,1.0,1.0,0.69,0.1893669215094063,1.0,10.0,0.0
16,100017.0,0.0,0.0,1.0,0.88,0.20550624544545582,1.0,10.0,0.0
17,100018.0,0.0,0.0,1.0,0.26,0.13128822577618443,1.0,10.0,0.0
18,100019.0,1.0,1.0,1.0,0.19,0.2938314376617957,1.0,10.0,0.0
19,100020.0,1.0,0.0,0.0,0.11,0.3279505455142271,1.0,10.0,0.0
20,100021.0,1.0,1.0,1.0,0.54,0.27449353217974864,1.0,10.0,0.0
21,100022.0,0.0,0.0,1.0,0.43,0.19535727726316296,1.0,10.0,0.0
22,100023.0,0.0,0.0,0.0,0.66,0.6129381573243456,1.0,10.0,0.0
23,100024.0,0.0,0.0,1.0,0.31,0.4110799001156018,1.0,10.0,0.0
24,100025.0,1.0,0.0,0.0,0.83,0.23633265545842752,1.0,10.0,0.0
25,100026.0,0.0,1.0,1.0,0.27,0.359945025081346,1.0,10.0,0.0
26,100027.0,1.0,1.0,1.0,0.84,0.3208347379727271,1.0,10.0,0.0
27,100028.0,0.0,0.0,1.0,0.44,0.3851681311391771,1.0,10.0,0.0
28,100029.0,0.0,1.0,0.0,0.68,0.4473387492073064,1.0,10.0,0.0
29,100030.0,1.0,1.0,0.0,0.44,0.44087464993185915,1.0,10.0,1.0
30,100031.0,0.0,1.0,1.0,0.79,0.3751754701815633,1.0,10.0,0.0
31,100032.0,1.0,1.0,1.0,0.06,0.10786956205875524,1.0,10.0,0.0
32,100033.0,0.0,0.0,0.0,0.49,0.25684763461256055,1.0,10.0,0.0
33,100034.0,0.0,1.0,0.0,0.56,0.8213130793360534,1.0,10.0,0.0
34,100035.0,0.0,1.0,0.0,0.16,0.45723325529657516,1.0,10.0,0.0
35,100036.0,0.0,0.0,1.0,0.9,0.13912298524836186,1.0,10.0,0.0
36,100037.0,1.0,0.0,1.0,0.39,0.14947545457170258,1.0,10.0,0.0
37,100038.0,1.0,1.0,0.0,0.94,0.5542473093335127,1.0,10.0,1.0
38,100039.0,1.0,1.0,0.0,0.21,0.11590033253126668,1.0,10.0,0.0
39,100040.0,0.0,0.0,1.0,0.72,0.04002680871779842,1.0,10.0,0.0
40,100041.0,0.0,0.0,0.0,0.35,0.5714055628702283,1.0,10.0,0.0
41,100042.0,0.0,1.0,0.0,0.38,0.605291814405771,1.0,10.0,0.0
42,100043.0,0.0,1.0,1.0,0.04,0.19545934561192102,1.0,10.0,0.0
43,100044.0,0.0,0.0,0.0,1.0,0.19609425521734708,1.0,10.0,0.0
44,100045.0,1.0,0.0,0.0,0.76,0.37240763675402166,1.0,10.0,0.0
45,100046.0,1.0,1.0,1.0,0.42,0.049590074399335306,1.0,10.0,0.0
46,100047.0,0.0,1.0,1.0,0.57,0.7072184369955585,1.0,10.0,0.0
47,100048.0,1.0,0.0,0.0,0.41,0.18490332694700057,1.0,10.0,0.0
48,100049.0,1.0,1.0,0.0,0.16,0.06860447315101133,1.0,10.0,0.0
49,100050.0,1.0,0.0,0.0,0.01,0.3221167978667487,1.0,10.0,0.0
50,100051.0,1.0,0.0,0.0,0.33,0.5246102101813094,1.0,10.0,0.0
51,100052.0,1.0,1.0,0.0,0.52,0.16957131474121334,1.0,10.0,0.0
52,100053.0,0.0,0.0,0.0,0.79,0.4873792400258156,1.0,10.0,0.0
53,100054.0,1.0,0.0,1.0,0.94,0.47785589937363676,1.0,10.0,0.0
54,100055.0,1.0,1.0,0.0,0.63,0.23617381096649864,1.0,10.0,0.0
55,100056.0,0.0,0.0,1.0,0.77,0.40962844049980335,1.0,10.0,0.0
56,100057.0,0.0,1.0,1.0,0.68,0.528682271456318,1.0,10.0,0.0
57,100058.0,1.0,1.0,0.0,0.61,0.34080254237078167,1.0,10.0,1.0
58,100059.0,0.0,0.0,0.0,0.17,0.124601535397152,1.0,10.0,0.0
59,100060.0,1.0,0.0,0.0,0.93,0.5942905607329638,1.0,10.0,0.0
60,100061.0,1.0,1.0,0.0,0.29,0.843525724564578,1.0,10.0,1.0
61,100062.0,0.0,0.0,0.0,0.95,0.3918154080647143,1.0,10.0,0.0
62,100063.0,0.0,0.0,1.0,0.21,0.3214544870151833,1.0,10.0,0.0
63,100064.0,1.0,1.0,0.0,0.03,0.4437290114571663,1.0,10.0,0.0
64,100065.0,0.0,0.0,0.0,0.8,0.3891596445831117,1.0,10.0,0.0
65,100066.0,0.0,1.0,0.0,0.67,0.4634654929727311,1.0,10.0,0.0
66,100067.0,1.0,1.0,0.0,0.25,0.3778207597971386,1.0,10.0,1.0
67,100068.0,1.0,0.0,0.0,0.57,0.019803804525321517,1.0,10.0,0.0
68,100069.0,1.0,0.0,0.0,0.23,0.36305234396113617,1.0,10.0,0.0
69,100070.0,1.0,1.0,1.0,0.8,0.42136036657256126,1.0,10.0,0.0
70,100071.0,1.0,0.0,0.0,0.42,0.4336039674498572,1.0,10.0,0.0
71,100072.0,1.0,1.0,1.0,0.39,0.22451871142449967,1.0,10.0,0.0
72,100073.0,0.0,0.0,0.0,0.57,0.5344243326516581,1.0,10.0,0.0
73,100074.0,1.0,1.0,0.0,0.3,0.34256955420820084,1.0,10.0,0.0
74,100075.0,0.0,0.0,0.0,0.51,0.15702826271986858,1.0,10.0,0.0
75,100076.0,1.0,0.0,0.0,0.03,0.2654103627633148,1.0,10.0,0.0
76,100077.0,1.0,1.0,0.0,0.4,0.4402641421627588,1.0,10.0,1.0
77,100078.0,0.0,0.0,0.0,0.07,0.2844239708435609,1.0,10.0,0.0
78,100079.0,1.0,1.0,1.0,0.39,0.43358334007647165,1.0,10.0,0.0
79,100080.0,0.0,0.0,1.0,0.15,0.3883068478296173,1.0,10.0,0.0
80,100081.0,1.0,0.0,0.0,0.01,0.46919533415551795,1.0,10.0,0.0
81,100082.0,0.0,1.0,0.0,0.76,0.34288189544468667,1.0,10.0,0.0
82,100083.0,1.0,1.0,1.0,0.12,0.5924053375250754,1.0,10.0,0.0
83,100084.0,1.0,1.0,1.0,0.14,0.13595420523953083,1.0,10.0,0.0
84,100085.0,1.0,0.0,0.0,0.3,0.44100805845396485,1.0,10.0,0.0
85,100086.0,0.0,0.0,1.0,0.76,0.5052180309139335,1.0,10.0,0.0
86,100087.0,0.0,0.0,0.0,0.6,0.09982993984413938,1.0,10.0,0.0
87,100088.0,1.0,1.0,0.0,0.85,0.4930246631968165,1.0,10.0,1.0
88,100089.0,0.0,1.0,0.0,0.85,0.05675491142083702,1.0,10.0,0.0
89,100090.0,0.0,0.0,0.0,0.55,0.4803276740692396,1.0,10.0,0.0
90,100091.0,0.0,0.0,0.0,0.12,0.19934684078360018,1.0,10.0,0.0
91,100092.0,1.0,0.0,0.0,0.6,0.5690775708140369,1.0,10.0,0.0
92,100093.0,0.0,0.0,0.0,0.94,0.46765750650542165,1.0,10.0,0.0
93,100094.0,1.0,0.0,0.0,0.88,0.02835636062693297,1.0,10.0,0.0
94,100095.0,1.0,0.0,0.0,0.45,0.5256188087528184,1.0,10.0,0.0
95,100096.0,0.0,1.0,1.0,0.33,0.3961226526153879,1.0,10.0,0.0
96,100097.0,0.0,1.0,1.0,0.44,0.1378122104608329,1.0,10.0,0.0
97,100098.0,0.0,0.0,0.0,0.4,0.5521043702117874,1.0,10.0,0.0
98,100099.0,0.0,1.0,1.0,0.14,0.3656108539182603,1.0,10.0,0.0
99,100100.0,0.0,0.0,1.0,0.26,0.2763932832307388,1.0,10.0,0.0
100,100101.0,0.0,0.0,0.0,0.41,0.5126569596992161,1.0,10.0,0.0
101,100102.0,1.0,0.0,1.0,0.9,0.3788055332699381,1.0,10.0,0.0
102,100103.0,0.0,1.0,1.0,0.06,0.5376151948910969,1.0,10.0,0.0
103,100104.0,1.0,0.0,0.0,0.55,0.4242705740735781,1.0,10.0,0.0
104,100105.0,1.0,1.0,1.0,0.16,0.3348339846218937,1.0,10.0,0.0
105,100106.0,0.0,0.0,1.0,0.58,0.38513555914616165,1.0,10.0,0.0
106,100107.0,0.0,1.0,1.0,0.48,0.5315243997470441,1.0,10.0,0.0
107,100108.0,0.0,0.0,0.0,0.86,0.5209533477585633,1.0,10.0,0.0
108,100109.0,1.0,0.0,1.0,0.34,0.03632093893083935,1.0,10.0,0.0
109,100110.0,0.0,0.0,0.0,0.99,0.4241845989956942,1.0,10.0,0.0
110,100111.0,0.0,0.0,1.0,0.46,0.4017663862360196,1.0,10.0,0.0
111,100112.0,1.0,1.0,1.0,0.98,0.6952379985200069,1.0,10.0,0.0
112,100113.0,0.0,0.0,0.0,0.35,0.0222849472119265,1.0,10.0,0.0
113,100114.0,1.0,1.0,1.0,0.47,0.4928491771464711,1.0,10.0,0.0
114,100115.0,1.0,0.0,1.0,0.47,0.48791341408629985,1.0,10.0,0.0
115,100116.0,0.0,1.0,1.0,0.42,0.32521131362283007,1.0,10.0,0.0
116,100117.0,1.0,0.0,1.0,0.87,0.03904245510630575,1.0,10.0,0.0
117,100118.0,0.0,0.0,0.0,0.75,0.2780869801940848,1.0,10.0,0.0
