,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,1.0,0.0,0.0,0.62,0.2903631898184979,1.0,8.0,0.0
1,100002.0,0.0,0.0,0.0,0.5,0.2106942811690797,1.0,8.0,0.0
2,100003.0,1.0,1.0,1.0,0.75,0.15773322927500694,1.0,8.0,0.0
3,100004.0,0.0,0.0,1.0,0.15,0.09416529986348599,1.0,8.0,0.0
4,100005.0,1.0,1.0,1.0,0.89,0.5141487615958263,1.0,8.0,0.0
5,100006.0,1.0,0.0,1.0,0.61,0.049376904377435214,1.0,8.0,0.0
6,100007.0,0.0,0.0,0.0,0.24,0.3241796145549745,1.0,8.0,0.0
7,100008.0,1.0,1.0,1.0,0.52,0.4289958765421949,1.0,8.0,0.0
8,100009.0,0.0,0.0,1.0,0.77,0.23485946010862202,1.0,8.0,0.0
9,100010.0,1.0,0.0,0.0,0.77,0.2592384253261601,1.0,8.0,0.0
10,100011.0,1.0,0.0,1.0,0.63,0.031069360274570145,1.0,8.0,0.0
11,100012.0,0.0,1.0,1.0,0.74,0.2899096100507845,1.0,8.0,0.0
12,100013.0,1.0,1.0,0.0,0.46,0.20648551324033634,1.0,8.0,0.0
13,100014.0,0.0,0.0,0.0,0.82,0.5053998800121131,1.0,8.0,0.0
14,100015.0,1.0,1.0,0.0,0.02,0.24097335686251095,1.0,8.0,0.0
15,100016.0,0.0,1.0,1.0,0.88,0.1635600210373978,1.0,8.0,0.0
16,100017.0,1.0,0.0,1.0,0.07,0.499939412759874,1.0,8.0,0.0
17,100018.0,1.0,1.0,1.0,0.41,0.5158064685800121,1.0,8.0,0.0
18,100019.0,1.0,1.0,0.0,1.0,0.3881248793477966,1.0,8.0,0.0
19,100020.0,0.0,1.0,0.0,0.99,0.18149567749929657,1.0,8.0,0.0
20,100021.0,1.0,1.0,0.0,0.27,0.28249607132769916,1.0,8.0,0.0
21,100022.0,1.0,0.0,0.0,0.72,0.5056073379030982,1.0,8.0,0.0
22,100023.0,1.0,1.0,1.0,0.56,0.6188214553757724,1.0,8.0,0.0
23,100024.0,0.0,1.0,1.0,0.92,0.3815885829681027,1.0,8.0,0.0
24,100025.0,0.0,0.0,1.0,0.41,0.18665662438620367,1.0,8.0,0.0
25,100026.0,1.0,0.0,1.0,0.31,0.7563737181069983,1.0,8.0,0.0
26,100027.0,0.0,1.0,1.0,0.43,0.25603799967118696,1.0,8.0,0.0
27,100028.0,0.0,0.0,1.0,0.42,0.3152913936109521,1.0,8.0,0.0
28,100029.0,0.0,0.0,1.0,0.08,0.25999821578257293,1.0,8.0,0.0
29,100030.0,0.0,1.0,1.0,0.76,0.34334163360473896,1.0,8.0,0.0
30,100031.0,1.0,0.0,0.0,0.14,0.2835052715645661,1.0,8.0,0.0
31,100032.0,0.0,0.0,1.0,0.16,0.4562851681553215,1.0,8.0,0.0
32,100033.0,1.0,0.0,1.0,0.84,0.3538798104051606,1.0,8.0,0.0
33,100034.0,1.0,0.0,1.0,0.16,0.4316055565674476,1.0,8.0,0.0
34,100035.0,0.0,1.0,1.0,0.49,0.2614229936143033,1.0,8.0,0.0
35,100036.0,1.0,0.0,0.0,0.13,0.5222454268293212,1.0,8.0,0.0
36,100037.0,1.0,1.0,0.0,0.12,0.39274213879714515,1.0,8.0,0.0
37,100038.0,0.0,1.0,0.0,0.15,0.1209534481934738,1.0,8.0,0.0
38,100039.0,0.0,0.0,0.0,0.51,0.45488822835800174,1.0,8.0,0.0
39,100040.0,1.0,0.0,0.0,0.39,0.49603976467613126,1.0,8.0,0.0
40,100041.0,1.0,1.0,0.0,0.94,0.18924389072302086,1.0,8.0,0.0
41,100042.0,1.0,1.0,0.0,0.97,0.719985093401255,1.0,8.0,1.0
42,100043.0,1.0,0.0,0.0,0.28,0.409524382582052,1.0,8.0,0.0
43,100044.0,1.0,1.0,1.0,0.09,0.23759864749030796,1.0,8.0,0.0
44,100045.0,0.0,0.0,1.0,0.72,0.4713694760794524,1.0,8.0,0.0
45,100046.0,1.0,1.0,0.0,0.05,0.8099111593225433,1.0,8.0,0.0
46,100047.0,1.0,0.0,0.0,0.85,0.38148160274282483,1.0,8.0,0.0
47,100048.0,1.0,1.0,0.0,0.63,0.0593413806304149,1.0,8.0,0.0
48,100049.0,0.0,0.0,1.0,0.4,0.04464589060742241,1.0,8.0,0.0
49,100050.0,0.0,1.0,1.0,0.56,0.5071523311397426,1.0,8.0,0.0
50,100051.0,0.0,0.0,0.0,0.42,0.2408742644112361,1.0,8.0,0.0
51,100052.0,0.0,0.0,1.0,0.09,0.4912482105368787,1.0,8.0,0.0
52,100053.0,0.0,0.0,1.0,0.12,0.5075274434522608,1.0,8.0,0.0
53,100054.0,1.0,1.0,1.0,0.25,0.24404614588922602,1.0,8.0,0.0
54,100055.0,0.0,1.0,1.0,0.88,0.4106154438652257,1.0,8.0,0.0
55,100056.0,1.0,0.0,0.0,0.38,0.3044055532843356,1.0,8.0,0.0
56,100057.0,0.0,0.0,1.0,0.57,0.14254519978690142,1.0,8.0,0.0
57,100058.0,1.0,0.0,0.0,0.97,0.2547178968757104,1.0,8.0,0.0
58,100059.0,0.0,0.0,1.0,0.92,0.09230377252620113,1.0,8.0,0.0
59,100060.0,1.0,1.0,1.0,0.18,0.23906562498261938,1.0,8.0,0.0
60,100061.0,0.0,0.0,1.0,0.12,0.44137870036282045,1.0,8.0,0.0
61,100062.0,0.0,1.0,1.0,0.36,0.48562442856421434,1.0,8.0,0.0
62,100063.0,1.0,0.0,0.0,0.81,0.012301692996779435,1.0,8.0,0.0
63,100064.0,1.0,1.0,0.0,0.33,0.46840576751226515,1.0,8.0,0.0
64,100065.0,1.0,0.0,0.0,0.34,0.2632266107354602,1.0,8.0,0.0
