,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,0.0,0.0,0.0,0.18,0.3510580436284631,0.0,6.0,0.0
1,100002.0,0.0,0.0,1.0,0.53,0.3222037846812454,0.0,6.0,0.0
2,100003.0,1.0,1.0,1.0,1.0,0.10686171187255128,0.0,6.0,0.0
3,100004.0,1.0,1.0,1.0,0.02,0.040098565405968394,0.0,6.0,0.0
4,100005.0,1.0,0.0,1.0,0.43,0.2129858098105634,0.0,6.0,0.0
5,100006.0,0.0,0.0,1.0,0.36,0.036575374478078064,0.0,6.0,0.0
6,100007.0,1.0,0.0,1.0,0.32,0.5031725611272606,0.0,6.0,0.0
7,100008.0,1.0,0.0,1.0,0.01,0.23118686030382604,0.0,6.0,0.0
8,100009.0,1.0,1.0,0.0,0.13,0.24278421613415566,0.0,6.0,0.0
9,100010.0,0.0,0.0,1.0,0.35,0.10828386875554387,0.0,6.0,0.0
10,100011.0,1.0,0.0,0.0,0.61,0.25163755808523275,0.0,6.0,0.0
11,100012.0,1.0,0.0,0.0,0.31,0.4193501633932014,0.0,6.0,0.0
12,100013.0,0.0,0.0,1.0,0.63,0.055025239735703155,0.0,6.0,0.0
13,100014.0,0.0,0.0,1.0,0.38,0.39662715277494376,0.0,6.0,0.0
14,100015.0,0.0,1.0,0.0,0.94,0.40688661601298914,0.0,6.0,0.0
15,100016.0,0.0,1.0,0.0,0.35,0.3972087765232595,0.0,6.0,0.0
16,100017.0,1.0,0.0,0.0,0.44,0.1429996422472559,0.0,6.0,0.0
17,100018.0,1.0,0.0,0.0,0.37,0.31404719953056265,0.0,6.0,0.0
18,100019.0,0.0,1.0,1.0,0.06,0.8868426033416553,0.0,6.0,0.0
19,100020.0,1.0,0.0,0.0,0.61,0.33955288570113307,0.0,6.0,0.0
20,100021.0,0.0,1.0,1.0,0.79,0.3341200653329715,0.0,6.0,0.0
21,100022.0,0.0,1.0,0.0,0.09,0.05637661217114533,0.0,6.0,0.0
22,100023.0,0.0,0.0,0.0,0.0,0.012549445097022504,0.0,6.0,0.0
23,100024.0,0.0,1.0,0.0,0.38,0.024835691452499722,0.0,6.0,0.0
24,100025.0,1.0,1.0,1.0,0.66,0.47500042203572934,0.0,6.0,0.0
25,100026.0,0.0,0.0,1.0,0.79,0.08717651520566967,0.0,6.0,0.0
26,100027.0,0.0,1.0,0.0,0.26,0.09690413249983709,0.0,6.0,0.0
27,100028.0,1.0,0.0,1.0,0.79,0.059533947416494815,0.0,6.0,0.0
28,100029.0,0.0,1.0,0.0,0.38,0.5430185906984969,0.0,6.0,0.0
29,100030.0,1.0,0.0,0.0,0.55,0.40696435832450173,0.0,6.0,0.0
30,100031.0,1.0,0.0,1.0,0.28,0.4504516328833723,0.0,6.0,0.0
31,100032.0,1.0,0.0,1.0,0.73,0.17317383367307318,0.0,6.0,0.0
32,100033.0,0.0,0.0,0.0,0.95,0.03429718624069409,0.0,6.0,0.0
33,100034.0,1.0,0.0,0.0,0.03,0.32067566047298496,0.0,6.0,0.0
34,100035.0,0.0,0.0,0.0,0.13,0.17706311819377574,0.0,6.0,0.0
35,100036.0,1.0,0.0,0.0,0.44,0.21865478202837058,0.0,6.0,0.0
36,100037.0,1.0,1.0,0.0,0.52,0.0989995732125385,0.0,6.0,0.0
37,100038.0,1.0,1.0,0.0,0.71,0.28340392371070977,0.0,6.0,0.0
38,100039.0,0.0,0.0,0.0,0.16,0.16883391926947316,0.0,6.0,0.0
39,100040.0,1.0,0.0,0.0,0.56,0.6758733959221829,0.0,6.0,0.0
40,100041.0,1.0,0.0,0.0,0.15,0.3785248847421698,0.0,6.0,0.0
41,100042.0,0.0,0.0,0.0,0.27,0.6343574873354231,0.0,6.0,0.0
42,100043.0,1.0,1.0,0.0,0.2,0.42774917560726616,0.0,6.0,0.0
43,100044.0,1.0,1.0,0.0,0.9,0.46773700494581366,0.0,6.0,0.0
44,100045.0,1.0,0.0,1.0,0.45,0.2078602923170339,0.0,6.0,0.0
45,100046.0,0.0,0.0,1.0,0.43,0.19485459770880076,0.0,6.0,0.0
46,100047.0,0.0,1.0,1.0,0.21,0.40209844708888476,0.0,6.0,0.0
47,100048.0,0.0,0.0,0.0,0.6,0.3305444562725074,0.0,6.0,0.0
48,100049.0,1.0,0.0,1.0,0.94,0.43088839203244605,0.0,6.0,0.0
49,100050.0,0.0,0.0,0.0,0.25,0.07586964443394074,0.0,6.0,0.0
50,100051.0,0.0,1.0,1.0,0.26,0.22431661673955344,0.0,6.0,0.0
51,100052.0,0.0,1.0,1.0,0.87,0.6238402420641983,0.0,6.0,0.0
52,100053.0,1.0,1.0,0.0,0.61,0.4258726772593977,0.0,6.0,0.0
53,100054.0,1.0,0.0,0.0,0.1,0.8436969836688117,0.0,6.0,0.0
54,100055.0,1.0,1.0,1.0,0.66,0.5796499352025625,0.0,6.0,0.0
55,100056.0,1.0,0.0,0.0,0.42,0.409207945603333,0.0,6.0,0.0
56,100057.0,0.0,1.0,0.0,0.28,0.6456917096206733,0.0,6.0,0.0
57,100058.0,0.0,1.0,1.0,0.82,0.24785327823556966,0.0,6.0,0.0
58,100059.0,1.0,1.0,0.0,0.4,0.14867850960372017,0.0,6.0,0.0
59,100060.0,0.0,1.0,0.0,0.98,0.3723078066041182,0.0,6.0,0.0
60,100061.0,1.0,1.0,0.0,0.89,0.07175048610772738,0.0,6.0,0.0
61,100062.0,1.0,1.0,1.0,0.33,0.43742764519772465,0.0,6.0,0.0
62,100063.0,1.0,0.0,1.0,0.8,0.417856919671665,0.0,6.0,0.0
63,100064.0,1.0,1.0,1.0,0.11,0.3271715449375666,0.0,6.0,0.0
64,100065.0,0.0,0.0,0.0,0.08,0.38683272303676186,0.0,6.0,0.0
65,100066.0,1.0,0.0,1.0,0.06,0.2527645575382778,0.0,6.0,0.0
66,100067.0,0.0,0.0,0.0,0.1,0.4275062173530877,0.0,6.0,0.0
67,100068.0,0.0,0.0,0.0,0.72,0.5088403206907601,0.0,6.0,0.0
68,100069.0,0.0,0.0,1.0,0.26,0.4463303480063239,0.0,6.0,0.0
69,100070.0,0.0,1.0,0.0,0.32,0.19942630814345075,0.0,6.0,0.0
70,100071.0,0.0,0.0,1.0,0.5,0.26498938768268626,0.0,6.0,0.0
71,100072.0,1.0,0.0,1.0,0.8,0.6430666634696822,0.0,6.0,0.0
72,100073.0,1.0,1.0,0.0,0.32,0.1214724229617283,0.0,6.0,0.0
73,100074.0,0.0,0.0,0.0,0.31,0.2635099352904153,0.0,6.0,0.0
74,100075.0,1.0,0.0,1.0,0.61,0.3170506254017839,0.0,6.0,0.0
75,100076.0,1.0,0.0,0.0,0.52,0.202146275616141,0.0,6.0,0.0
76,100077.0,0.0,0.0,1.0,0.04,0.102704269361595,0.0,6.0,0.0
77,100078.0,1.0,1.0,1.0,0.31,0.7046824081071228,0.0,6.0,0.0
78,100079.0,0.0,1.0,0.0,0.72,0.3538702657781929,0.0,6.0,0.0
