,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,0.0,0.0,0.0,0.27,0.2877694237032966,1.0,8.0,0.0
1,100002.0,1.0,0.0,0.0,0.88,0.09221524544761807,1.0,8.0,0.0
2,100003.0,1.0,0.0,1.0,0.23,0.34028878931754647,1.0,8.0,0.0
3,100004.0,1.0,1.0,0.0,0.53,0.1727863006920402,1.0,8.0,0.0
4,100005.0,1.0,0.0,1.0,0.12,0.20223254581140918,1.0,8.0,0.0
5,100006.0,0.0,1.0,1.0,0.65,0.41736833050925504,1.0,8.0,0.0
6,100007.0,0.0,0.0,1.0,0.11,0.7016068253819939,1.0,8.0,0.0
7,100008.0,0.0,0.0,0.0,0.44,0.1320312571009587,1.0,8.0,0.0
8,100009.0,1.0,0.0,1.0,0.04,0.086650495961666,1.0,8.0,0.0
9,100010.0,0.0,1.0,0.0,0.13,0.3863864209932279,1.0,8.0,0.0
10,100011.0,1.0,0.0,1.0,0.42,0.17091417690736294,1.0,8.0,0.0
11,100012.0,0.0,0.0,0.0,0.13,0.41798756158103983,1.0,8.0,0.0
12,100013.0,0.0,1.0,1.0,0.35,0.5864181721860727,1.0,8.0,0.0
13,100014.0,1.0,1.0,1.0,0.76,0.114718416970741,1.0,8.0,0.0
14,100015.0,0.0,1.0,1.0,1.0,0.24595381094806634,1.0,8.0,0.0
15,100016.0,0.0,0.0,0.0,0.51,0.11711683958548026,1.0,8.0,0.0
16,100017.0,0.0,0.0,0.0,0.61,0.40618408052599875,1.0,8.0,0.0
17,100018.0,0.0,0.0,0.0,0.35,0.517391029505972,1.0,8.0,0.0
18,100019.0,1.0,1.0,1.0,0.45,0.5684344699393453,1.0,8.0,0.0
19,100020.0,0.0,1.0,0.0,0.41,0.2701058733676209,1.0,8.0,0.0
20,100021.0,0.0,0.0,1.0,0.06,0.4289037375408005,1.0,8.0,0.0
21,100022.0,0.0,0.0,1.0,0.05,0.33009220909925135,1.0,8.0,0.0
22,100023.0,0.0,1.0,1.0,0.7,0.25330508428063553,1.0,8.0,0.0
23,100024.0,1.0,0.0,0.0,0.12,0.16832079969577982,1.0,8.0,0.0
24,100025.0,0.0,0.0,0.0,0.66,0.6972839490286671,1.0,8.0,0.0
25,100026.0,0.0,1.0,0.0,0.14,0.2879760379803636,1.0,8.0,0.0
26,100027.0,1.0,0.0,1.0,0.03,0.3583368112169317,1.0,8.0,0.0
27,100028.0,0.0,0.0,0.0,0.01,0.2759483742304463,1.0,8.0,0.0
28,100029.0,1.0,1.0,1.0,0.74,0.43003670315921627,1.0,8.0,0.0
29,100030.0,1.0,0.0,1.0,0.6,0.398577492062475,1.0,8.0,0.0
30,100031.0,0.0,1.0,1.0,0.37,0.2826659359705468,1.0,8.0,0.0
31,100032.0,1.0,0.0,1.0,0.24,0.06619092616696268,1.0,8.0,0.0
32,100033.0,0.0,0.0,0.0,0.32,0.5088393813559465,1.0,8.0,0.0
33,100034.0,1.0,1.0,0.0,0.59,0.20058193510337974,1.0,8.0,0.0
34,100035.0,0.0,1.0,1.0,0.22,0.36756103219384023,1.0,8.0,0.0
35,100036.0,1.0,1.0,0.0,0.28,0.11285381938535437,1.0,8.0,0.0
36,100037.0,1.0,1.0,1.0,0.47,0.2464024526365968,1.0,8.0,0.0
37,100038.0,1.0,0.0,0.0,0.77,0.27309173365489675,1.0,8.0,0.0
38,100039.0,0.0,0.0,0.0,0.05,0.4561706084085888,1.0,8.0,0.0
39,100040.0,0.0,0.0,1.0,0.14,0.04878891369144857,1.0,8.0,0.0
40,100041.0,0.0,0.0,1.0,0.55,0.40780704898327014,1.0,8.0,0.0
41,100042.0,1.0,0.0,1.0,0.38,0.3981647826793714,1.0,8.0,0.0
42,100043.0,0.0,0.0,0.0,0.19,0.010781624787143824,1.0,8.0,0.0
43,100044.0,1.0,0.0,0.0,0.65,0.221852996063079,1.0,8.0,0.0
44,100045.0,0.0,1.0,0.0,0.49,0.13126976318494843,1.0,8.0,0.0
45,100046.0,0.0,0.0,1.0,0.1,0.167792698227273,1.0,8.0,0.0
46,100047.0,1.0,1.0,0.0,0.28,0.07621186792225616,1.0,8.0,0.0
47,100048.0,1.0,0.0,0.0,0.69,0.08841676702478872,1.0,8.0,0.0
48,100049.0,0.0,0.0,1.0,0.91,0.1259734732205058,1.0,8.0,0.0
49,100050.0,1.0,1.0,0.0,0.23,0.22392448683772487,1.0,8.0,0.0
50,100051.0,0.0,0.0,0.0,0.96,0.41928066457827906,1.0,8.0,0.0
51,100052.0,1.0,0.0,1.0,0.52,0.4561879655311321,1.0,8.0,0.0
52,100053.0,0.0,1.0,0.0,0.77,0.027853612828255478,1.0,8.0,0.0
53,100054.0,0.0,1.0,1.0,0.26,0.33278912790887505,1.0,8.0,0.0
54,100055.0,1.0,0.0,1.0,0.93,0.31603243433065403,1.0,8.0,0.0
55,100056.0,1.0,0.0,1.0,0.26,0.49703792844886946,1.0,8.0,0.0
56,100057.0,1.0,1.0,1.0,0.92,0.3011125224316478,1.0,8.0,0.0
57,100058.0,0.0,0.0,1.0,0.56,0.5513854100644439,1.0,8.0,0.0
58,100059.0,1.0,1.0,1.0,0.44,0.26795283242167606,1.0,8.0,0.0
59,100060.0,0.0,0.0,0.0,0.93,0.45280020893710454,1.0,8.0,0.0
60,100061.0,1.0,0.0,1.0,0.04,0.37083618577142874,1.0,8.0,0.0
61,100062.0,0.0,0.0,1.0,0.06,0.4941202415741687,1.0,8.0,0.0
62,100063.0,1.0,0.0,1.0,0.44,0.15860144263629197,1.0,8.0,0.0
63,100064.0,1.0,0.0,0.0,0.51,0.31918647856952576,1.0,8.0,0.0
64,100065.0,0.0,1.0,1.0,0.04,0.09542196816132982,1.0,8.0,0.0
65,100066.0,1.0,1.0,0.0,0.8,0.8288436695896012,1.0,8.0,1.0
66,100067.0,1.0,1.0,1.0,0.08,0.02580723562091734,1.0,8.0,0.0
67,100068.0,0.0,0.0,1.0,0.59,0.2950973922723238,1.0,8.0,0.0
68,100069.0,0.0,0.0,1.0,0.32,0.4704433977420783,1.0,8.0,0.0
69,100070.0,1.0,1.0,0.0,0.34,0.10657057034353197,1.0,8.0,0.0
70,100071.0,0.0,0.0,1.0,0.74,0.5004653408021363,1.0,8.0,0.0
71,100072.0,0.0,0.0,0.0,0.73,0.330777640676647,1.0,8.0,0.0
72,100073.0,1.0,0.0,0.0,0.5,0.26721984311318486,1.0,8.0,0.0
73,100074.0,1.0,0.0,1.0,0.52,0.15930462538164253,1.0,8.0,0.0
74,100075.0,0.0,1.0,1.0,0.98,0.2834262432083684,1.0,8.0,0.0
75,100076.0,1.0,0.0,1.0,0.51,0.45064890451107337,1.0,8.0,0.0
76,100077.0,0.0,0.0,1.0,0.87,0.30606800821162305,1.0,8.0,0.0
77,100078.0,1.0,0.0,0.0,0.6,0.7261538851432594,1.0,8.0,0.0
78,100079.0,1.0,0.0,1.0,0.9,0.3502913801088526,1.0,8.0,0.0
79,100080.0,1.0,1.0,0.0,0.32,0.31704501560035453,1.0,8.0,0.0
80,100081.0,0.0,0.0,0.0,0.53,0.14715452212064017,1.0,8.0,0.0
81,100082.0,1.0,0.0,0.0,0.56,0.5045275082891834,1.0,8.0,0.0
82,100083.0,0.0,1.0,1.0,0.71,0.48475847024641044,1.0,8.0,0.0
83,100084.0,1.0,1.0,0.0,0.71,0.5201242564507607,1.0,8.0,0.0
84,100085.0,0.0,0.0,1.0,0.57,0.392699224736615,1.0,8.0,0.0
85,100086.0,1.0,0.0,0.0,0.72,0.5514982169148607,1.0,8.0,0.0
86,100087.0,0.0,1.0,1.0,0.52,0.33628451316728464,1.0,8.0,0.0
87,100088.0,0.0,0.0,1.0,0.53,0.3803171990579727,1.0,8.0,0.0
88,100089.0,0.0,1.0,1.0,0.39,0.36965843335832166,1.0,8.0,0.0
89,100090.0,0.0,0.0,0.0,0.75,0.24063589187892667,1.0,8.0,0.0
90,100091.0,1.0,1.0,0.0,0.48,0.05309774507513722,1.0,8.0,0.0
91,100092.0,0.0,1.0,0.0,0.67,0.20577714152639084,1.0,8.0,0.0
92,100093.0,1.0,1.0,0.0,0.86,0.3712801021725267,1.0,8.0,0.0
93,100094.0,1.0,1.0,1.0,0.69,0.45925760738519256,1.0,8.0,0.0
94,100095.0,0.0,0.0,0.0,0.98,0.27378120081745555,1.0,8.0,0.0
95,100096.0,0.0,0.0,1.0,0.68,0.7372760824128203,1.0,8.0,0.0
96,100097.0,1.0,0.0,0.0,0.77,0.015085417477833077,1.0,8.0,0.0
97,100098.0,1.0,0.0,0.0,0.67,0.48707788276746383,1.0,8.0,0.0
98,100099.0,0.0,0.0,1.0,0.15,0.315627833640368,1.0,8.0,0.0
99,100100.0,0.0,0.0,0.0,0.14,0.3386465114006975,1.0,8.0,0.0
100,100101.0,0.0,1.0,0.0,0.04,0.92519386390475,1.0,8.0,0.0
101,100102.0,1.0,0.0,0.0,0.97,0.46346778706077973,1.0,8.0,0.0
102,100103.0,0.0,1.0,1.0,0.07,0.4918894139456721,1.0,8.0,0.0
103,100104.0,1.0,0.0,0.0,0.66,0.41725625127109545,1.0,8.0,0.0
104,100105.0,1.0,0.0,1.0,0.28,0.339958319973937,1.0,8.0,0.0
105,100106.0,1.0,0.0,0.0,0.48,0.2262805845530448,1.0,8.0,0.0
106,100107.0,0.0,1.0,0.0,0.15,0.32204427816563197,1.0,8.0,0.0
107,100108.0,0.0,0.0,0.0,0.64,0.4306074079520606,1.0,8.0,0.0
