,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,1.0,0.0,1.0,0.36,0.5159267196411754,1.0,3.0,0.0
1,100002.0,1.0,1.0,1.0,0.1,0.13859057176102293,1.0,3.0,0.0
2,100003.0,1.0,1.0,1.0,0.22,0.026458280224259147,1.0,3.0,0.0
3,100004.0,1.0,0.0,0.0,0.64,0.6129466532307375,1.0,3.0,0.0
4,100005.0,1.0,0.0,0.0,0.52,0.03132692297635308,1.0,3.0,0.0
5,100006.0,1.0,0.0,1.0,0.54,0.21981353857596922,1.0,3.0,0.0
6,100007.0,1.0,0.0,1.0,0.13,0.141882821553635,1.0,3.0,0.0
7,100008.0,1.0,0.0,1.0,0.6,0.16208777486517267,1.0,3.0,0.0
8,100009.0,1.0,0.0,1.0,0.44,0.020088781070109304,1.0,3.0,0.0
9,100010.0,0.0,0.0,1.0,0.8,0.020306408843049396,1.0,3.0,0.0
10,100011.0,1.0,1.0,1.0,0.33,0.09052161227473496,1.0,3.0,0.0
11,100012.0,1.0,1.0,1.0,0.51,0.31851842891471804,1.0,3.0,0.0
12,100013.0,0.0,1.0,0.0,0.86,0.10282480079423419,1.0,3.0,0.0
13,100014.0,0.0,0.0,1.0,0.78,0.7777291780552321,1.0,3.0,0.0
14,100015.0,1.0,0.0,0.0,0.22,0.4603976474592572,1.0,3.0,0.0
15,100016.0,1.0,1.0,0.0,0.66,0.35948025701720704,1.0,3.0,0.0
16,100017.0,1.0,1.0,1.0,0.26,0.029527514335898057,1.0,3.0,0.0
17,100018.0,1.0,1.0,0.0,0.04,0.48470898491160175,1.0,3.0,0.0
18,100019.0,0.0,0.0,0.0,0.57,0.41880907934195555,1.0,3.0,0.0
19,100020.0,0.0,1.0,1.0,0.59,0.07277640061206998,1.0,3.0,0.0
20,100021.0,0.0,0.0,1.0,0.47,0.3414882136021456,1.0,3.0,0.0
21,100022.0,0.0,0.0,0.0,0.99,0.23772375633914597,1.0,3.0,0.0
22,100023.0,0.0,0.0,0.0,0.88,0.5417066282662505,1.0,3.0,0.0
23,100024.0,0.0,1.0,1.0,0.91,0.3432458290950198,1.0,3.0,0.0
24,100025.0,1.0,1.0,0.0,0.59,0.6447649519791526,1.0,3.0,1.0
25,100026.0,0.0,1.0,1.0,0.26,0.1706325696196867,1.0,3.0,0.0
26,100027.0,0.0,0.0,0.0,0.38,0.29469174343043997,1.0,3.0,0.0
27,100028.0,0.0,1.0,1.0,0.59,0.2913825477307724,1.0,3.0,0.0
28,100029.0,0.0,0.0,1.0,0.89,0.32125699075014646,1.0,3.0,0.0
29,100030.0,1.0,1.0,1.0,0.22,0.1755565745498681,1.0,3.0,0.0
30,100031.0,1.0,0.0,1.0,0.04,0.27244636411029755,1.0,3.0,0.0
31,100032.0,0.0,1.0,0.0,0.19,0.5631777648192285,1.0,3.0,0.0
32,100033.0,0.0,0.0,1.0,0.23,0.4445082855756689,1.0,3.0,0.0
33,100034.0,1.0,0.0,0.0,0.16,0.2682857581773954,1.0,3.0,0.0
34,100035.0,1.0,1.0,0.0,0.75,0.41417355733042527,1.0,3.0,1.0
35,100036.0,0.0,0.0,1.0,0.39,0.13272045612338118,1.0,3.0,0.0
36,100037.0,0.0,1.0,0.0,0.3,0.31786195251836913,1.0,3.0,0.0
37,100038.0,0.0,1.0,1.0,0.98,0.4320557499200322,1.0,3.0,0.0
38,100039.0,0.0,1.0,0.0,0.61,0.25027736686588165,1.0,3.0,0.0
39,100040.0,1.0,1.0,0.0,0.65,0.19792019149915613,1.0,3.0,0.0
40,100041.0,0.0,0.0,0.0,0.5,0.4049793588217008,1.0,3.0,0.0
41,100042.0,0.0,1.0,0.0,0.69,0.4459100006448748,1.0,3.0,0.0
42,100043.0,1.0,0.0,0.0,0.08,0.3432760833364139,1.0,3.0,0.0
43,100044.0,0.0,0.0,0.0,0.7,0.28132162868990346,1.0,3.0,0.0
44,100045.0,0.0,1.0,0.0,0.03,0.29711189827706475,1.0,3.0,0.0
45,100046.0,0.0,1.0,0.0,0.49,0.4177569669076511,1.0,3.0,0.0
46,100047.0,0.0,1.0,0.0,0.76,0.7683729976261109,1.0,3.0,0.0
47,100048.0,0.0,1.0,0.0,0.64,0.38255935483198933,1.0,3.0,0.0
48,100049.0,0.0,1.0,1.0,0.18,0.36389731609507125,1.0,3.0,0.0
49,100050.0,1.0,0.0,0.0,0.33,0.21683934425857732,1.0,3.0,0.0
50,100051.0,1.0,0.0,0.0,0.51,0.5851443548696557,1.0,3.0,0.0
51,100052.0,0.0,1.0,0.0,0.43,0.27825062134087425,1.0,3.0,0.0
52,100053.0,1.0,0.0,1.0,0.5,0.2536073904275931,1.0,3.0,0.0
53,100054.0,0.0,0.0,1.0,0.09,0.48241663023281195,1.0,3.0,0.0
54,100055.0,0.0,1.0,0.0,0.83,0.29544525274422545,1.0,3.0,0.0
55,100056.0,1.0,0.0,0.0,0.05,0.4026499048951244,1.0,3.0,0.0
56,100057.0,0.0,0.0,1.0,0.32,0.5530011853757144,1.0,3.0,0.0
57,100058.0,1.0,0.0,1.0,0.56,0.2676210566926299,1.0,3.0,0.0
58,100059.0,1.0,1.0,1.0,0.89,0.7828967697643207,1.0,3.0,0.0
59,100060.0,0.0,1.0,1.0,0.06,0.25697550050396906,1.0,3.0,0.0
60,100061.0,1.0,1.0,1.0,0.61,0.8178213193169651,1.0,3.0,0.0
61,100062.0,0.0,0.0,1.0,0.5,0.33648111952235327,1.0,3.0,0.0
62,100063.0,0.0,1.0,0.0,0.98,0.831341881885809,1.0,3.0,0.0
63,100064.0,1.0,1.0,0.0,0.75,0.12065805943189473,1.0,3.0,0.0
64,100065.0,0.0,1.0,1.0,0.88,0.29387428217355605,1.0,3.0,0.0
65,100066.0,0.0,1.0,1.0,0.46,0.08021329016589965,1.0,3.0,0.0
66,100067.0,1.0,0.0,0.0,0.72,0.25299592269308885,1.0,3.0,0.0
67,100068.0,0.0,0.0,0.0,0.38,0.026654796960218777,1.0,3.0,0.0
68,100069.0,0.0,1.0,1.0,0.94,0.09706692903135848,1.0,3.0,0.0
69,100070.0,0.0,1.0,1.0,0.75,0.49462934985659607,1.0,3.0,0.0
70,100071.0,1.0,1.0,0.0,0.5,0.6588266009305784,1.0,3.0,1.0
71,100072.0,1.0,1.0,1.0,0.39,0.1721913553323113,1.0,3.0,0.0
72,100073.0,0.0,1.0,0.0,0.22,0.36676060926860504,1.0,3.0,0.0
73,100074.0,0.0,0.0,1.0,0.47,0.3698558280602815,1.0,3.0,0.0
74,100075.0,1.0,1.0,0.0,0.38,0.3606791501688017,1.0,3.0,0.0
75,100076.0,0.0,1.0,0.0,0.92,0.37432081981078763,1.0,3.0,0.0
76,100077.0,0.0,0.0,1.0,0.34,0.3629691909656705,1.0,3.0,0.0
77,100078.0,1.0,1.0,1.0,0.52,0.40755254227723814,1.0,3.0,0.0
78,100079.0,0.0,0.0,0.0,0.94,0.4576428398734571,1.0,3.0,0.0
79,100080.0,1.0,0.0,0.0,0.21,0.2768910321551152,1.0,3.0,0.0
80,100081.0,0.0,0.0,1.0,0.78,0.42977609784584647,1.0,3.0,0.0
81,100082.0,0.0,1.0,1.0,0.64,0.3544733019574977,1.0,3.0,0.0
82,100083.0,0.0,0.0,1.0,0.79,0.09433643395900161,1.0,3.0,0.0
83,100084.0,0.0,0.0,0.0,0.42,0.15255411899299232,1.0,3.0,0.0
84,100085.0,1.0,0.0,1.0,0.89,0.3505282830375651,1.0,3.0,0.0
85,100086.0,1.0,1.0,0.0,0.76,0.2834626774665726,1.0,3.0,0.0
86,100087.0,1.0,0.0,1.0,0.51,0.3401878329873147,1.0,3.0,0.0
87,100088.0,0.0,1.0,0.0,0.47,0.6267613080086649,1.0,3.0,0.0
88,100089.0,1.0,1.0,1.0,0.34,0.31530290700365926,1.0,3.0,0.0
89,100090.0,0.0,1.0,1.0,0.65,0.11921526225390193,1.0,3.0,0.0
90,100091.0,1.0,1.0,1.0,0.01,0.1336040071816982,1.0,3.0,0.0
