,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,0.0,0.0,0.0,0.45,0.7082715223846475,0.0,2.0,0.0
1,100002.0,1.0,0.0,0.0,0.13,0.36053625511922116,0.0,2.0,0.0
2,100003.0,0.0,1.0,0.0,0.94,0.296573298968251,0.0,2.0,0.0
3,100004.0,1.0,0.0,1.0,0.46,0.35145181358867017,0.0,2.0,0.0
4,100005.0,0.0,1.0,0.0,0.79,0.5277583613823702,0.0,2.0,0.0
5,100006.0,1.0,1.0,1.0,0.36,0.9038183994238033,0.0,2.0,0.0
6,100007.0,0.0,1.0,1.0,0.24,0.3672866223572665,0.0,2.0,0.0
7,100008.0,0.0,0.0,1.0,0.49,0.3633867325449294,0.0,2.0,0.0
8,100009.0,1.0,0.0,0.0,0.19,0.2720474294948721,0.0,2.0,0.0
9,100010.0,1.0,1.0,0.0,0.91,0.342881594597071,0.0,2.0,0.0
10,100011.0,0.0,1.0,1.0,1.0,0.19596733656843926,0.0,2.0,0.0
11,100012.0,1.0,0.0,0.0,0.4,0.6057718188912125,0.0,2.0,0.0
12,100013.0,0.0,0.0,1.0,0.09,0.11186068077251353,0.0,2.0,0.0
13,100014.0,1.0,1.0,0.0,0.81,0.07678326946667828,0.0,2.0,0.0
14,100015.0,0.0,1.0,0.0,0.52,0.36006547466328986,0.0,2.0,0.0
15,100016.0,0.0,1.0,0.0,0.34,0.3181624218820326,0.0,2.0,0.0
16,100017.0,1.0,1.0,0.0,0.13,0.40109603936566823,0.0,2.0,0.0
17,100018.0,1.0,1.0,1.0,0.08,0.46656755983069725,0.0,2.0,0.0
18,100019.0,1.0,0.0,0.0,0.46,0.5053616870414566,0.0,2.0,0.0
19,100020.0,0.0,0.0,0.0,0.11,0.6217549986058484,0.0,2.0,0.0
20,100021.0,1.0,1.0,1.0,0.82,0.19956864528791748,0.0,2.0,0.0
21,100022.0,1.0,0.0,0.0,0.83,0.3116997683794791,0.0,2.0,0.0
22,100023.0,1.0,1.0,1.0,0.55,0.15751620428240753,0.0,2.0,0.0
23,100024.0,0.0,0.0,0.0,0.14,0.21229441495926876,0.0,2.0,0.0
24,100025.0,0.0,1.0,0.0,0.66,0.22757610939283332,0.0,2.0,0.0
25,100026.0,1.0,1.0,1.0,0.46,0.5001482760764052,0.0,2.0,0.0
26,100027.0,0.0,1.0,1.0,0.11,0.03554231733814148,0.0,2.0,0.0
27,100028.0,0.0,1.0,1.0,0.08,0.727214347510804,0.0,2.0,0.0
28,100029.0,0.0,0.0,0.0,0.05,0.3253067787915302,0.0,2.0,0.0
29,100030.0,1.0,0.0,0.0,0.73,0.2913901558414629,0.0,2.0,0.0
30,100031.0,0.0,0.0,1.0,0.04,0.391521436394589,0.0,2.0,0.0
31,100032.0,1.0,1.0,1.0,0.02,0.0032264992956858906,0.0,2.0,0.0
32,100033.0,0.0,1.0,1.0,0.02,0.08740831562941866,0.0,2.0,0.0
