,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,0.0,1.0,1.0,0.33,0.33374546641274727,0.0,4.0,0.0
1,100002.0,1.0,0.0,0.0,0.79,0.20507805176376048,0.0,4.0,0.0
2,100003.0,0.0,0.0,0.0,0.62,0.2659615545384847,0.0,4.0,0.0
3,100004.0,1.0,0.0,1.0,0.71,0.6181954560316445,0.0,4.0,0.0
4,100005.0,0.0,1.0,0.0,0.2,0.44436083985223546,0.0,4.0,0.0
5,100006.0,1.0,1.0,1.0,0.91,0.3587836734825671,0.0,4.0,0.0
6,100007.0,1.0,0.0,1.0,0.41,0.225381320287973,0.0,4.0,0.0
7,100008.0,0.0,0.0,0.0,0.06,0.6163537590789965,0.0,4.0,0.0
8,100009.0,1.0,1.0,1.0,0.41,0.26259090925214873,0.0,4.0,0.0
9,100010.0,1.0,0.0,0.0,0.82,0.23716899899729918,0.0,4.0,0.0
10,100011.0,1.0,0.0,1.0,0.65,0.2384862849891189,0.0,4.0,0.0
11,100012.0,0.0,0.0,1.0,0.12,0.41075238104997763,0.0,4.0,0.0
12,100013.0,0.0,1.0,0.0,0.99,0.2697670618049976,0.0,4.0,0.0
13,100014.0,0.0,0.0,0.0,0.62,0.27374528283504507,0.0,4.0,0.0
14,100015.0,1.0,1.0,1.0,0.94,0.106690009104789,0.0,4.0,0.0
15,100016.0,0.0,0.0,0.0,0.31,0.2979099889679882,0.0,4.0,0.0
16,100017.0,1.0,0.0,1.0,0.74,0.5709923693514648,0.0,4.0,0.0
17,100018.0,0.0,0.0,1.0,0.57,0.0526519679266973,0.0,4.0,0.0
18,100019.0,0.0,1.0,1.0,1.0,0.02487653695890955,0.0,4.0,0.0
19,100020.0,1.0,0.0,1.0,0.91,0.2136528885313882,0.0,4.0,0.0
20,100021.0,0.0,0.0,1.0,0.32,0.10267321729385136,0.0,4.0,0.0
21,100022.0,1.0,1.0,1.0,0.23,0.2238734977261783,0.0,4.0,0.0
22,100023.0,0.0,0.0,1.0,0.29,0.7272845088039674,0.0,4.0,0.0
23,100024.0,0.0,1.0,0.0,0.66,0.16916192998417232,0.0,4.0,0.0
24,100025.0,0.0,1.0,0.0,0.8,0.1585438039273642,0.0,4.0,0.0
25,100026.0,1.0,1.0,0.0,0.06,0.18490771989786142,0.0,4.0,0.0
26,100027.0,1.0,0.0,1.0,0.78,0.442704971112336,0.0,4.0,0.0
27,100028.0,0.0,1.0,1.0,0.14,0.4950756452402203,0.0,4.0,0.0
28,100029.0,0.0,1.0,0.0,0.94,0.4348433380339446,0.0,4.0,0.0
29,100030.0,0.0,0.0,1.0,0.32,0.4210915522760974,0.0,4.0,0.0
30,100031.0,0.0,1.0,0.0,0.63,0.31842614014227766,0.0,4.0,0.0
31,100032.0,1.0,1.0,1.0,0.22,0.4455917211697186,0.0,4.0,0.0
32,100033.0,1.0,0.0,1.0,0.51,0.5353625979143694,0.0,4.0,0.0
33,100034.0,0.0,1.0,0.0,0.62,0.4417069455425974,0.0,4.0,0.0
34,100035.0,1.0,1.0,0.0,0.05,0.4969898121808425,0.0,4.0,0.0
35,100036.0,0.0,0.0,0.0,0.65,0.3775276659674891,0.0,4.0,0.0
36,100037.0,1.0,0.0,0.0,0.04,0.3249842938665878,0.0,4.0,0.0
37,100038.0,1.0,0.0,1.0,0.58,0.21703790264908096,0.0,4.0,0.0
38,100039.0,1.0,1.0,1.0,0.47,0.23886548339026561,0.0,4.0,0.0
39,100040.0,0.0,0.0,0.0,0.62,0.15585813603969975,0.0,4.0,0.0
40,100041.0,1.0,0.0,1.0,0.47,0.09003620736654175,0.0,4.0,0.0
41,100042.0,1.0,0.0,1.0,0.53,0.22971508485645464,0.0,4.0,0.0
42,100043.0,0.0,0.0,0.0,0.49,0.20751015827574118,0.0,4.0,0.0
43,100044.0,1.0,1.0,1.0,0.56,0.35954530724312617,0.0,4.0,0.0
44,100045.0,1.0,1.0,1.0,0.43,0.11956954349164498,0.0,4.0,0.0
45,100046.0,0.0,0.0,1.0,0.32,0.3103403990118641,0.0,4.0,0.0
46,100047.0,1.0,0.0,0.0,0.01,0.19340156575900305,0.0,4.0,0.0
47,100048.0,1.0,0.0,1.0,0.14,0.1303681775033994,0.0,4.0,0.0
48,100049.0,0.0,1.0,1.0,0.63,0.41559012951366225,0.0,4.0,0.0
49,100050.0,1.0,1.0,1.0,0.31,0.48414978215196425,0.0,4.0,0.0
50,100051.0,1.0,1.0,0.0,0.49,0.3032672130577223,0.0,4.0,0.0
51,100052.0,1.0,0.0,0.0,0.6,0.1721880485564564,0.0,4.0,0.0
52,100053.0,1.0,0.0,1.0,0.25,0.3431120434343807,0.0,4.0,0.0
53,100054.0,0.0,0.0,0.0,0.06,0.07384558403917375,0.0,4.0,0.0
54,100055.0,0.0,1.0,1.0,0.18,0.3815896427262326,0.0,4.0,0.0
55,100056.0,1.0,0.0,1.0,0.19,0.6199426310938935,0.0,4.0,0.0
56,100057.0,1.0,0.0,1.0,0.44,0.1663529027687323,0.0,4.0,0.0
57,100058.0,0.0,0.0,0.0,0.35,0.005084123298079755,0.0,4.0,0.0
58,100059.0,1.0,0.0,0.0,0.53,0.3682213904777607,0.0,4.0,0.0
59,100060.0,1.0,0.0,0.0,0.75,0.6817966400895623,0.0,4.0,0.0
60,100061.0,0.0,0.0,1.0,0.08,0.3902351502427265,0.0,4.0,0.0
61,100062.0,0.0,1.0,0.0,0.45,0.2585840583221656,0.0,4.0,0.0
62,100063.0,1.0,0.0,0.0,0.95,0.7034666192578225,0.0,4.0,0.0
63,100064.0,1.0,1.0,1.0,0.8,0.38588200243055765,0.0,4.0,0.0
64,100065.0,1.0,0.0,1.0,0.04,0.4539290359467588,0.0,4.0,0.0
65,100066.0,0.0,0.0,0.0,0.74,0.32507055648227307,0.0,4.0,0.0
66,100067.0,0.0,0.0,1.0,0.43,0.19271285454559145,0.0,4.0,0.0
67,100068.0,0.0,1.0,1.0,0.98,0.28063477610632753,0.0,4.0,0.0
68,100069.0,0.0,0.0,1.0,0.17,0.19256031244327249,0.0,4.0,0.0
69,100070.0,0.0,0.0,0.0,0.4,0.31840059627024797,0.0,4.0,0.0
70,100071.0,0.0,0.0,0.0,0.58,0.312029211908479,0.0,4.0,0.0
71,100072.0,0.0,0.0,0.0,0.08,0.17375237446704164,0.0,4.0,0.0
72,100073.0,1.0,0.0,0.0,0.61,0.4243937788810098,0.0,4.0,0.0
73,100074.0,1.0,1.0,1.0,0.95,0.03808167122369542,0.0,4.0,0.0
74,100075.0,1.0,0.0,0.0,0.51,0.4050010402568418,0.0,4.0,0.0
75,100076.0,0.0,1.0,0.0,0.18,0.2512731697480749,0.0,4.0,0.0
76,100077.0,0.0,0.0,0.0,0.35,0.19727677848716207,0.0,4.0,0.0
77,100078.0,0.0,0.0,0.0,0.48,0.30871815031995536,0.0,4.0,0.0
78,100079.0,0.0,1.0,1.0,0.96,0.17514500352677617,0.0,4.0,0.0
79,100080.0,0.0,0.0,1.0,0.11,0.5288938311905521,0.0,4.0,0.0
80,100081.0,1.0,1.0,0.0,0.7,0.46488990725921936,0.0,4.0,0.0
81,100082.0,1.0,1.0,0.0,0.71,0.5410197472523728,0.0,4.0,0.0
82,100083.0,0.0,0.0,0.0,0.21,0.3278042351741281,0.0,4.0,0.0
83,100084.0,1.0,1.0,0.0,0.67,0.43969906201132397,0.0,4.0,0.0
84,100085.0,0.0,1.0,0.0,0.09,0.38874646572501453,0.0,4.0,0.0
85,100086.0,1.0,1.0,0.0,0.92,0.002972857564994041,0.0,4.0,0.0
86,100087.0,1.0,0.0,0.0,1.0,0.35890351952310967,0.0,4.0,0.0
87,100088.0,0.0,1.0,1.0,0.49,0.47680650155809773,0.0,4.0,0.0
88,100089.0,1.0,1.0,0.0,0.6,0.42438815127162516,0.0,4.0,0.0
89,100090.0,1.0,0.0,0.0,0.76,0.4693024161952964,0.0,4.0,0.0
90,100091.0,0.0,1.0,0.0,0.69,0.3146557546417035,0.0,4.0,0.0
91,100092.0,1.0,0.0,0.0,0.95,0.06995066810831588,0.0,4.0,0.0
92,100093.0,1.0,0.0,0.0,0.49,0.039012905360412964,0.0,4.0,0.0
93,100094.0,0.0,1.0,0.0,0.53,0.08975686555985218,0.0,4.0,0.0
94,100095.0,0.0,1.0,1.0,0.99,0.4007890987656975,0.0,4.0,0.0
95,100096.0,1.0,1.0,1.0,0.81,0.3645060015754532,0.0,4.0,0.0
96,100097.0,1.0,0.0,1.0,0.53,0.2183982622810123,0.0,4.0,0.0
97,100098.0,1.0,1.0,0.0,0.62,0.5576836427291448,0.0,4.0,0.0
98,100099.0,1.0,1.0,0.0,0.44,0.5933850964544815,0.0,4.0,0.0
99,100100.0,1.0,1.0,1.0,0.73,0.11902489173603932,0.0,4.0,0.0
100,100101.0,1.0,0.0,1.0,0.12,0.23313146828112083,0.0,4.0,0.0
101,100102.0,1.0,1.0,0.0,0.63,0.567748681210826,0.0,4.0,1.0
102,100103.0,1.0,0.0,1.0,0.58,0.3961537649884551,0.0,4.0,0.0
103,100104.0,1.0,0.0,1.0,0.81,0.2735705254927777,0.0,4.0,0.0
104,100105.0,1.0,1.0,0.0,0.44,0.2973248005910419,0.0,4.0,0.0
105,100106.0,1.0,0.0,0.0,0.4,0.4794943603961432,0.0,4.0,0.0
106,100107.0,1.0,0.0,0.0,0.38,0.1555762964824434,0.0,4.0,0.0
