,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,0.0,0.0,0.0,0.19,0.4017505662106134,0.0,10.0,0.0
1,100002.0,1.0,0.0,0.0,0.67,0.3295043569959547,0.0,10.0,0.0
2,100003.0,1.0,1.0,1.0,0.3,0.2287959790598713,0.0,10.0,0.0
3,100004.0,0.0,1.0,0.0,0.69,0.2771823151508614,0.0,10.0,0.0
4,100005.0,0.0,0.0,1.0,0.79,0.40406987146662454,0.0,10.0,0.0
5,100006.0,1.0,1.0,0.0,0.84,0.35538945400294053,0.0,10.0,1.0
6,100007.0,0.0,0.0,0.0,0.1,0.3901781500209373,0.0,10.0,0.0
7,100008.0,1.0,1.0,1.0,0.88,0.5210981326367772,0.0,10.0,0.0
8,100009.0,0.0,1.0,1.0,0.9,0.0015207142397615301,0.0,10.0,0.0
9,100010.0,0.0,0.0,1.0,0.26,0.1630038154751722,0.0,10.0,0.0
10,100011.0,1.0,0.0,1.0,0.93,0.3620976456333072,0.0,10.0,0.0
11,100012.0,0.0,1.0,0.0,0.11,0.09151243643537435,0.0,10.0,0.0
12,100013.0,1.0,1.0,0.0,0.84,0.4156992881649789,0.0,10.0,1.0
13,100014.0,1.0,1.0,1.0,0.08,0.22498288775057496,0.0,10.0,0.0
14,100015.0,0.0,0.0,0.0,0.92,0.37476242754842426,0.0,10.0,0.0
15,100016.0,1.0,0.0,0.0,0.43,0.49261220183422777,0.0,10.0,0.0
16,100017.0,0.0,1.0,1.0,0.03,0.3394780725635878,0.0,10.0,0.0
17,100018.0,1.0,1.0,0.0,0.61,0.5401412320768343,0.0,10.0,1.0
18,100019.0,1.0,0.0,0.0,0.61,0.4206215925537034,0.0,10.0,0.0
19,100020.0,1.0,0.0,0.0,0.11,0.37732008701604797,0.0,10.0,0.0
20,100021.0,0.0,1.0,0.0,0.58,0.26570021744723066,0.0,10.0,0.0
21,100022.0,0.0,1.0,0.0,0.89,0.5183826678537329,0.0,10.0,0.0
22,100023.0,1.0,1.0,0.0,0.93,0.5816874534745203,0.0,10.0,1.0
23,100024.0,0.0,0.0,0.0,0.17,0.16411222161775255,0.0,10.0,0.0
24,100025.0,0.0,1.0,0.0,0.75,0.44530401846037193,0.0,10.0,0.0
25,100026.0,1.0,0.0,1.0,0.2,0.5440644569060034,0.0,10.0,0.0
26,100027.0,0.0,1.0,1.0,0.02,0.32432110667122915,0.0,10.0,0.0
27,100028.0,1.0,1.0,0.0,0.96,0.04102156741218706,0.0,10.0,0.0
28,100029.0,0.0,0.0,0.0,0.94,0.2542376472258189,0.0,10.0,0.0
29,100030.0,0.0,1.0,0.0,0.32,0.38585683218253003,0.0,10.0,0.0
30,100031.0,0.0,1.0,0.0,0.54,0.4638239272527909,0.0,10.0,0.0
31,100032.0,0.0,0.0,1.0,0.94,0.49035219980331546,0.0,10.0,0.0
32,100033.0,1.0,1.0,1.0,0.41,0.5644839470905265,0.0,10.0,0.0
33,100034.0,0.0,1.0,1.0,0.61,0.05676049432693615,0.0,10.0,0.0
34,100035.0,0.0,0.0,1.0,0.91,0.13479867538033946,0.0,10.0,0.0
35,100036.0,0.0,1.0,0.0,0.49,0.5865949982155656,0.0,10.0,0.0
36,100037.0,0.0,1.0,0.0,0.56,0.3478160093476182,0.0,10.0,0.0
37,100038.0,0.0,0.0,1.0,0.97,0.5389358243537212,0.0,10.0,0.0
38,100039.0,1.0,1.0,1.0,0.67,0.5425223111449052,0.0,10.0,0.0
39,100040.0,1.0,0.0,0.0,0.89,0.7174682434108224,0.0,10.0,0.0
40,100041.0,0.0,0.0,0.0,0.79,0.4548527943051837,0.0,10.0,0.0
41,100042.0,0.0,0.0,0.0,0.94,0.31019776636862445,0.0,10.0,0.0
42,100043.0,1.0,1.0,1.0,0.97,0.2911950667159061,0.0,10.0,0.0
43,100044.0,1.0,1.0,1.0,0.4,0.3099444501107543,0.0,10.0,0.0
44,100045.0,1.0,0.0,1.0,0.04,0.3593528213339343,0.0,10.0,0.0
45,100046.0,1.0,0.0,1.0,1.0,0.17461984881507137,0.0,10.0,0.0
46,100047.0,0.0,1.0,1.0,0.54,0.4258561606667192,0.0,10.0,0.0
47,100048.0,1.0,1.0,1.0,0.27,0.5574514175691155,0.0,10.0,0.0
48,100049.0,1.0,0.0,1.0,0.33,0.15720942374726538,0.0,10.0,0.0
49,100050.0,0.0,1.0,0.0,0.97,0.40612185609463314,0.0,10.0,0.0
50,100051.0,1.0,1.0,0.0,0.61,0.5120204611870404,0.0,10.0,1.0
51,100052.0,1.0,0.0,1.0,0.08,0.1160931252452365,0.0,10.0,0.0
