,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,0.0,1.0,1.0,0.0,0.5428546396734398,0.0,10.0,0.0
1,100002.0,0.0,1.0,1.0,0.82,0.0314003742798325,0.0,10.0,0.0
2,100003.0,1.0,0.0,0.0,0.11,0.22276759137384886,0.0,10.0,0.0
3,100004.0,0.0,1.0,1.0,0.84,0.23698835881632577,0.0,10.0,0.0
4,100005.0,0.0,1.0,1.0,0.3,0.2945944725128651,0.0,10.0,0.0
5,100006.0,0.0,0.0,0.0,0.39,0.43838266199520387,0.0,10.0,0.0
6,100007.0,1.0,0.0,1.0,0.05,0.5389656357298274,0.0,10.0,0.0
7,100008.0,0.0,0.0,1.0,0.63,0.4627184161151903,0.0,10.0,0.0
8,100009.0,1.0,0.0,0.0,0.77,0.6466208257626594,0.0,10.0,0.0
9,100010.0,1.0,1.0,1.0,0.49,0.3866444664429705,0.0,10.0,0.0
10,100011.0,0.0,1.0,1.0,0.36,0.4593061251667866,0.0,10.0,0.0
11,100012.0,1.0,0.0,1.0,0.41,0.48229783738079507,0.0,10.0,0.0
12,100013.0,1.0,0.0,1.0,0.03,0.4274850919427636,0.0,10.0,0.0
13,100014.0,1.0,0.0,1.0,0.14,0.058772870944651334,0.0,10.0,0.0
14,100015.0,1.0,0.0,1.0,0.86,0.34372468764427905,0.0,10.0,0.0
15,100016.0,0.0,1.0,1.0,0.57,0.2762619597922295,0.0,10.0,0.0
16,100017.0,0.0,0.0,0.0,0.92,0.5139048373329866,0.0,10.0,0.0
17,100018.0,0.0,1.0,1.0,0.62,0.4036988080978858,0.0,10.0,0.0
18,100019.0,0.0,1.0,1.0,0.87,0.055497410561031864,0.0,10.0,0.0
19,100020.0,0.0,1.0,1.0,0.58,0.5011751028834117,0.0,10.0,0.0
20,100021.0,0.0,0.0,0.0,0.79,0.157902330774128,0.0,10.0,0.0
21,100022.0,1.0,0.0,1.0,0.37,0.38827531188128445,0.0,10.0,0.0
22,100023.0,0.0,1.0,0.0,0.8,0.5273324899330081,0.0,10.0,0.0
23,100024.0,1.0,1.0,0.0,0.17,0.624115022124393,0.0,10.0,0.0
24,100025.0,1.0,0.0,1.0,0.0,0.41893512272474365,0.0,10.0,0.0
25,100026.0,1.0,1.0,0.0,0.49,0.5523204058348409,0.0,10.0,1.0
26,100027.0,0.0,0.0,1.0,0.65,0.15290736471547,0.0,10.0,0.0
27,100028.0,1.0,1.0,1.0,0.11,0.04705582558571364,0.0,10.0,0.0
28,100029.0,0.0,1.0,1.0,0.53,0.10557898511732082,0.0,10.0,0.0
29,100030.0,1.0,0.0,0.0,0.56,0.3093886070452916,0.0,10.0,0.0
30,100031.0,0.0,0.0,1.0,0.57,0.26650476916858357,0.0,10.0,0.0
31,100032.0,1.0,1.0,1.0,0.3,0.20059631609135897,0.0,10.0,0.0
32,100033.0,0.0,0.0,0.0,0.37,0.7249345220968326,0.0,10.0,0.0
33,100034.0,0.0,0.0,0.0,0.63,0.13311198033390012,0.0,10.0,0.0
34,100035.0,1.0,0.0,1.0,0.15,0.3960098181665144,0.0,10.0,0.0
35,100036.0,1.0,0.0,1.0,0.4,0.17450408133745338,0.0,10.0,0.0
36,100037.0,1.0,0.0,0.0,0.57,0.30015159869741787,0.0,10.0,0.0
37,100038.0,0.0,0.0,0.0,0.94,0.6785036424341342,0.0,10.0,0.0
38,100039.0,0.0,0.0,1.0,0.06,0.4255109342706191,0.0,10.0,0.0
39,100040.0,1.0,0.0,0.0,0.77,0.11408579124986436,0.0,10.0,0.0
40,100041.0,1.0,0.0,0.0,0.07,0.4878381240528041,0.0,10.0,0.0
41,100042.0,1.0,1.0,0.0,0.4,0.28483306034553824,0.0,10.0,0.0
42,100043.0,0.0,1.0,1.0,0.75,0.2437019945548467,0.0,10.0,0.0
43,100044.0,1.0,0.0,0.0,0.36,0.04389746155754014,0.0,10.0,0.0
44,100045.0,0.0,0.0,0.0,0.04,0.40665828310564495,0.0,10.0,0.0
45,100046.0,0.0,0.0,0.0,0.34,0.2253248752110458,0.0,10.0,0.0
46,100047.0,0.0,0.0,0.0,0.7,0.49449657334660363,0.0,10.0,0.0
47,100048.0,1.0,0.0,0.0,0.33,0.2022120733246545,0.0,10.0,0.0
48,100049.0,0.0,1.0,0.0,0.25,0.40170082562554793,0.0,10.0,0.0
49,100050.0,0.0,1.0,1.0,0.37,0.4997259705759969,0.0,10.0,0.0
50,100051.0,0.0,0.0,0.0,0.54,0.26457654644180395,0.0,10.0,0.0
51,100052.0,0.0,1.0,0.0,0.67,0.438706810699052,0.0,10.0,0.0
52,100053.0,1.0,0.0,0.0,0.07,0.16466641641501806,0.0,10.0,0.0
53,100054.0,1.0,1.0,0.0,0.92,0.33716071800160574,0.0,10.0,0.0
54,100055.0,0.0,0.0,0.0,0.07,0.3041334347689413,0.0,10.0,0.0
55,100056.0,0.0,1.0,0.0,0.81,0.31076130120425405,0.0,10.0,0.0
56,100057.0,0.0,0.0,0.0,0.75,0.4349086765065069,0.0,10.0,0.0
57,100058.0,0.0,0.0,0.0,0.46,0.39044804183786,0.0,10.0,0.0
58,100059.0,1.0,0.0,0.0,0.7,0.5466542081903644,0.0,10.0,0.0
59,100060.0,1.0,0.0,1.0,0.44,0.05360754006788155,0.0,10.0,0.0
60,100061.0,0.0,0.0,1.0,0.25,0.11453852189933621,0.0,10.0,0.0
61,100062.0,1.0,0.0,0.0,0.52,0.30020697109159183,0.0,10.0,0.0
62,100063.0,0.0,1.0,1.0,0.19,0.19421087730840625,0.0,10.0,0.0
63,100064.0,1.0,1.0,1.0,0.98,0.4419236423618453,0.0,10.0,0.0
64,100065.0,1.0,0.0,1.0,0.65,0.24799068355214304,0.0,10.0,0.0
65,100066.0,1.0,0.0,0.0,0.73,0.23457249444637332,0.0,10.0,0.0
66,100067.0,1.0,0.0,0.0,0.92,0.24803019459829745,0.0,10.0,0.0
67,100068.0,1.0,1.0,1.0,0.7,0.361756155641026,0.0,10.0,0.0
68,100069.0,0.0,1.0,1.0,0.24,0.21540192697042385,0.0,10.0,0.0
69,100070.0,1.0,1.0,0.0,0.05,0.3052067421143758,0.0,10.0,0.0
70,100071.0,1.0,0.0,1.0,0.09,0.33800575347509954,0.0,10.0,0.0
71,100072.0,1.0,0.0,0.0,0.02,0.4129790070432314,0.0,10.0,0.0
72,100073.0,1.0,1.0,0.0,0.52,0.13196267813101828,0.0,10.0,0.0
73,100074.0,1.0,0.0,1.0,0.11,0.3409852792638699,0.0,10.0,0.0
74,100075.0,1.0,0.0,0.0,0.14,0.3485936125023315,0.0,10.0,0.0
75,100076.0,1.0,1.0,1.0,0.98,0.5840012564720388,0.0,10.0,0.0
76,100077.0,0.0,1.0,1.0,0.71,0.14305499426844956,0.0,10.0,0.0
77,100078.0,0.0,1.0,1.0,0.35,0.10040478007582672,0.0,10.0,0.0
78,100079.0,1.0,0.0,1.0,0.32,0.20454386614772804,0.0,10.0,0.0
79,100080.0,1.0,0.0,0.0,0.5,0.44278529987619547,0.0,10.0,0.0
80,100081.0,0.0,1.0,1.0,0.3,0.68639565707166,0.0,10.0,0.0
81,100082.0,0.0,1.0,1.0,0.55,0.19034271352313795,0.0,10.0,0.0
82,100083.0,1.0,0.0,0.0,0.78,0.4410226961531015,0.0,10.0,0.0
83,100084.0,0.0,0.0,0.0,0.44,0.5130578322471968,0.0,10.0,0.0
84,100085.0,1.0,0.0,0.0,0.05,0.2284568268427187,0.0,10.0,0.0
85,100086.0,0.0,1.0,0.0,0.62,0.6075931787626223,0.0,10.0,0.0
86,100087.0,0.0,0.0,1.0,0.59,0.2444214223232227,0.0,10.0,0.0
87,100088.0,0.0,0.0,1.0,0.78,0.5779540552308489,0.0,10.0,0.0
88,100089.0,1.0,0.0,0.0,0.97,0.3356244246065846,0.0,10.0,0.0
89,100090.0,1.0,1.0,0.0,0.55,0.4556089791455743,0.0,10.0,0.0
90,100091.0,1.0,1.0,0.0,0.71,0.503814570137605,0.0,10.0,1.0
91,100092.0,1.0,1.0,0.0,0.82,0.1242636535890159,0.0,10.0,0.0
92,100093.0,0.0,1.0,1.0,0.71,0.059923766811500065,0.0,10.0,0.0
93,100094.0,0.0,1.0,1.0,0.36,0.49933900677526544,0.0,10.0,0.0
94,100095.0,0.0,0.0,1.0,0.01,0.284762761177876,0.0,10.0,0.0
95,100096.0,1.0,1.0,0.0,0.52,0.48531751056888167,0.0,10.0,1.0
