,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,1.0,1.0,0.0,0.6,0.7050791851580585,0.0,1.0,1.0
1,100002.0,0.0,1.0,1.0,0.08,0.3324215125653257,0.0,1.0,0.0
2,100003.0,1.0,1.0,0.0,0.18,0.5984022149094612,0.0,1.0,1.0
3,100004.0,1.0,1.0,0.0,0.69,0.7427421621659303,0.0,1.0,1.0
4,100005.0,1.0,1.0,1.0,0.23,0.4830795561000923,0.0,1.0,0.0
5,100006.0,0.0,0.0,0.0,0.9,0.3908303066990759,0.0,1.0,0.0
6,100007.0,0.0,1.0,0.0,0.54,0.3816746548159757,0.0,1.0,0.0
7,100008.0,0.0,1.0,1.0,0.92,0.5792341822073388,0.0,1.0,0.0
8,100009.0,0.0,1.0,0.0,0.73,0.23789110177467507,0.0,1.0,0.0
9,100010.0,0.0,0.0,0.0,0.8,0.10229269472866818,0.0,1.0,0.0
10,100011.0,1.0,1.0,1.0,0.92,0.2209460953983402,0.0,1.0,0.0
11,100012.0,1.0,1.0,1.0,0.48,0.47917661311449694,0.0,1.0,0.0
12,100013.0,1.0,0.0,0.0,0.17,0.2345836713422985,0.0,1.0,0.0
13,100014.0,1.0,1.0,0.0,0.54,0.4093514288997361,0.0,1.0,1.0
14,100015.0,0.0,1.0,1.0,0.75,0.11828562624128795,0.0,1.0,0.0
15,100016.0,1.0,0.0,1.0,0.91,0.3193133295839995,0.0,1.0,0.0
16,100017.0,0.0,1.0,1.0,0.87,0.5586860138539985,0.0,1.0,0.0
17,100018.0,0.0,0.0,0.0,0.27,0.47111015551661306,0.0,1.0,0.0
18,100019.0,0.0,0.0,0.0,0.05,0.4051802644425742,0.0,1.0,0.0
19,100020.0,0.0,1.0,0.0,0.48,0.2981499732823413,0.0,1.0,0.0
20,100021.0,0.0,0.0,0.0,0.05,0.3794896108557277,0.0,1.0,0.0
21,100022.0,1.0,0.0,0.0,0.28,0.3873472604202968,0.0,1.0,0.0
22,100023.0,1.0,0.0,1.0,0.62,0.4956393964542068,0.0,1.0,0.0
23,100024.0,0.0,0.0,1.0,0.64,0.08702556268555729,0.0,1.0,0.0
24,100025.0,1.0,1.0,0.0,0.27,0.2298288231281613,0.0,1.0,0.0
25,100026.0,1.0,0.0,1.0,0.27,0.26393737563434,0.0,1.0,0.0
26,100027.0,1.0,1.0,0.0,0.98,0.42675297978508914,0.0,1.0,1.0
27,100028.0,0.0,1.0,0.0,0.55,0.2508114522390122,0.0,1.0,0.0
28,100029.0,0.0,1.0,1.0,0.13,0.5997882784525858,0.0,1.0,0.0
29,100030.0,1.0,0.0,0.0,0.24,0.08632090240044034,0.0,1.0,0.0
30,100031.0,0.0,0.0,0.0,0.75,0.3201229095680957,0.0,1.0,0.0
31,100032.0,0.0,0.0,1.0,0.56,0.4992426317413943,0.0,1.0,0.0
32,100033.0,1.0,1.0,0.0,0.79,0.36602635169334236,0.0,1.0,0.0
33,100034.0,0.0,1.0,1.0,0.0,0.4148582079319107,0.0,1.0,0.0
34,100035.0,0.0,1.0,0.0,0.95,0.19185803799499376,0.0,1.0,0.0
35,100036.0,0.0,1.0,1.0,0.82,0.26326502501679894,0.0,1.0,0.0
36,100037.0,0.0,1.0,1.0,0.85,0.11071052506081157,0.0,1.0,0.0
37,100038.0,1.0,0.0,1.0,0.01,0.3398980571458123,0.0,1.0,0.0
38,100039.0,0.0,1.0,1.0,0.01,0.4239806462767204,0.0,1.0,0.0
39,100040.0,1.0,0.0,1.0,0.56,0.1689402138392349,0.0,1.0,0.0
40,100041.0,0.0,1.0,1.0,0.62,0.34550134026973783,0.0,1.0,0.0
41,100042.0,1.0,1.0,1.0,0.62,0.2906565472000794,0.0,1.0,0.0
42,100043.0,0.0,1.0,0.0,0.19,0.3580030585288947,0.0,1.0,0.0
43,100044.0,0.0,0.0,1.0,0.77,0.3676486464921093,0.0,1.0,0.0
44,100045.0,0.0,1.0,0.0,0.69,0.21209134852212425,0.0,1.0,0.0
45,100046.0,1.0,1.0,1.0,0.7,0.505004290890089,0.0,1.0,0.0
46,100047.0,0.0,0.0,1.0,0.56,0.4401947983748384,0.0,1.0,0.0
47,100048.0,0.0,0.0,0.0,0.34,0.32257998692977996,0.0,1.0,0.0
48,100049.0,0.0,0.0,0.0,0.83,0.06425357853350476,0.0,1.0,0.0
49,100050.0,1.0,1.0,1.0,0.88,0.1307888552371625,0.0,1.0,0.0
50,100051.0,1.0,0.0,1.0,0.65,0.037497247589673884,0.0,1.0,0.0
51,100052.0,0.0,0.0,1.0,0.82,0.37787859859079354,0.0,1.0,0.0
52,100053.0,1.0,1.0,0.0,0.51,0.024292740226810366,0.0,1.0,0.0
53,100054.0,1.0,0.0,0.0,0.68,0.015491652349779176,0.0,1.0,0.0
54,100055.0,0.0,0.0,0.0,0.35,0.254043987794739,0.0,1.0,0.0
55,100056.0,1.0,0.0,0.0,0.62,0.28881562939856004,0.0,1.0,0.0
56,100057.0,1.0,0.0,0.0,0.77,0.13061369234287853,0.0,1.0,0.0
