,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,0.0,1.0,1.0,0.88,0.7572641330623814,1.0,10.0,0.0
1,100002.0,1.0,0.0,0.0,0.27,0.2086492091180773,1.0,10.0,0.0
2,100003.0,0.0,1.0,1.0,0.54,0.4819808238869357,1.0,10.0,0.0
3,100004.0,0.0,1.0,1.0,0.59,0.019319928699136624,1.0,10.0,0.0
4,100005.0,1.0,0.0,0.0,0.87,0.5207071568957783,1.0,10.0,0.0
5,100006.0,1.0,1.0,1.0,0.2,0.29777756254422233,1.0,10.0,0.0
6,100007.0,1.0,0.0,1.0,0.56,0.1466995543649959,1.0,10.0,0.0
7,100008.0,1.0,0.0,1.0,0.07,0.29683209741725014,1.0,10.0,0.0
8,100009.0,1.0,1.0,1.0,1.0,0.23106487363228226,1.0,10.0,0.0
9,100010.0,0.0,0.0,0.0,0.68,0.021692704013860347,1.0,10.0,0.0
10,100011.0,1.0,0.0,1.0,0.57,0.4620652870752572,1.0,10.0,0.0
11,100012.0,0.0,1.0,1.0,0.65,0.1309562191990197,1.0,10.0,0.0
12,100013.0,0.0,1.0,0.0,0.49,0.43393418291851077,1.0,10.0,0.0
13,100014.0,0.0,1.0,0.0,0.63,0.23300566157301775,1.0,10.0,0.0
14,100015.0,1.0,1.0,1.0,0.2,0.29769556854953855,1.0,10.0,0.0
15,100016.0,1.0,0.0,0.0,0.22,0.2995728830649081,1.0,10.0,0.0
16,100017.0,1.0,0.0,1.0,0.48,0.7799557603214222,1.0,10.0,0.0
17,100018.0,0.0,0.0,0.0,0.36,0.21933675079919449,1.0,10.0,0.0
18,100019.0,0.0,1.0,1.0,0.75,0.6515109857155009,1.0,10.0,0.0
19,100020.0,0.0,0.0,0.0,0.42,0.1023567900421389,1.0,10.0,0.0
20,100021.0,0.0,0.0,0.0,0.2,0.22378538836550665,1.0,10.0,0.0
21,100022.0,1.0,0.0,0.0,0.09,0.4722158317758276,1.0,10.0,0.0
22,100023.0,0.0,0.0,1.0,0.22,0.46154794873522814,1.0,10.0,0.0
23,100024.0,0.0,0.0,1.0,0.32,0.2199606839182269,1.0,10.0,0.0
24,100025.0,1.0,0.0,1.0,0.4,0.2475634406816356,1.0,10.0,0.0
25,100026.0,0.0,1.0,1.0,0.53,0.8635358917203921,1.0,10.0,0.0
26,100027.0,0.0,1.0,0.0,0.98,0.46493747519854883,1.0,10.0,0.0
27,100028.0,0.0,1.0,1.0,0.87,0.4309708254159838,1.0,10.0,0.0
28,100029.0,0.0,1.0,1.0,0.76,0.2975841066344149,1.0,10.0,0.0
29,100030.0,0.0,0.0,0.0,0.47,0.5607500416635086,1.0,10.0,0.0
30,100031.0,1.0,0.0,0.0,0.41,0.13114105134223208,1.0,10.0,0.0
31,100032.0,0.0,0.0,1.0,0.21,0.42934489253010194,1.0,10.0,0.0
32,100033.0,0.0,0.0,0.0,0.6,0.4191126152718604,1.0,10.0,0.0
33,100034.0,1.0,1.0,0.0,0.04,0.06482177664454274,1.0,10.0,0.0
34,100035.0,1.0,1.0,1.0,0.94,0.4614698088459377,1.0,10.0,0.0
35,100036.0,1.0,1.0,0.0,0.2,0.335296449874823,1.0,10.0,0.0
36,100037.0,1.0,0.0,0.0,0.28,0.11823224521974228,1.0,10.0,0.0
37,100038.0,0.0,1.0,1.0,0.63,0.23063129890443648,1.0,10.0,0.0
38,100039.0,0.0,0.0,0.0,0.7,0.1264758718616808,1.0,10.0,0.0
39,100040.0,0.0,0.0,0.0,0.27,0.09266038209151345,1.0,10.0,0.0
40,100041.0,0.0,0.0,0.0,0.66,0.4755387660347625,1.0,10.0,0.0
41,100042.0,0.0,0.0,1.0,0.73,0.3865470820113891,1.0,10.0,0.0
42,100043.0,1.0,0.0,0.0,0.66,0.04274724674099234,1.0,10.0,0.0
43,100044.0,1.0,0.0,0.0,0.19,0.2964498944217575,1.0,10.0,0.0
44,100045.0,0.0,1.0,0.0,0.22,0.2011760382857067,1.0,10.0,0.0
45,100046.0,0.0,1.0,0.0,0.91,0.34653582025819457,1.0,10.0,0.0
46,100047.0,0.0,1.0,1.0,0.67,0.039377647017549956,1.0,10.0,0.0
47,100048.0,0.0,0.0,1.0,0.58,0.38178153728794095,1.0,10.0,0.0
48,100049.0,1.0,0.0,0.0,0.51,0.4017527088389547,1.0,10.0,0.0
49,100050.0,0.0,1.0,0.0,0.11,0.32751870203538413,1.0,10.0,0.0
50,100051.0,1.0,0.0,0.0,0.04,0.5482034923668312,1.0,10.0,0.0
51,100052.0,1.0,0.0,0.0,0.88,0.029069670266551197,1.0,10.0,0.0
52,100053.0,1.0,0.0,1.0,0.42,0.26466060632963295,1.0,10.0,0.0
53,100054.0,0.0,0.0,1.0,0.73,0.3581031926654977,1.0,10.0,0.0
54,100055.0,0.0,0.0,0.0,0.17,0.4929733326849461,1.0,10.0,0.0
55,100056.0,0.0,1.0,0.0,0.54,0.4023435002794649,1.0,10.0,0.0
56,100057.0,1.0,0.0,0.0,0.67,0.3683607419113642,1.0,10.0,0.0
57,100058.0,1.0,0.0,0.0,0.57,0.5833473283037472,1.0,10.0,0.0
58,100059.0,0.0,0.0,1.0,0.99,0.15847640966645796,1.0,10.0,0.0
59,100060.0,0.0,0.0,0.0,0.02,0.40900693064425525,1.0,10.0,0.0
60,100061.0,1.0,1.0,0.0,0.17,0.22279173904853491,1.0,10.0,0.0
61,100062.0,1.0,0.0,0.0,0.04,0.22979129497715414,1.0,10.0,0.0
62,100063.0,1.0,1.0,0.0,0.39,0.2862107670142234,1.0,10.0,0.0
