,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,0.0,1.0,1.0,0.57,0.3614547803538018,1.0,3.0,0.0
1,100002.0,0.0,0.0,0.0,0.19,0.3787163352144882,1.0,3.0,0.0
2,100003.0,0.0,0.0,0.0,0.23,0.4890833959094099,1.0,3.0,0.0
3,100004.0,0.0,1.0,1.0,0.99,0.39529299671480933,1.0,3.0,0.0
4,100005.0,1.0,0.0,1.0,0.27,0.005224597937167449,1.0,3.0,0.0
5,100006.0,1.0,1.0,0.0,0.83,0.5093581730104995,1.0,3.0,1.0
6,100007.0,1.0,1.0,0.0,0.79,0.02612931307306523,1.0,3.0,0.0
7,100008.0,1.0,1.0,1.0,0.5,0.10921805857923793,1.0,3.0,0.0
8,100009.0,0.0,0.0,0.0,0.7,0.29668991046828214,1.0,3.0,0.0
9,100010.0,0.0,1.0,1.0,0.62,0.28695086991363816,1.0,3.0,0.0
10,100011.0,1.0,1.0,1.0,0.79,0.24804363464961013,1.0,3.0,0.0
11,100012.0,1.0,1.0,0.0,0.28,0.3984741168792745,1.0,3.0,0.0
12,100013.0,1.0,1.0,0.0,0.64,0.15298782196775373,1.0,3.0,0.0
13,100014.0,1.0,0.0,1.0,0.23,0.22949830218450465,1.0,3.0,0.0
14,100015.0,1.0,0.0,1.0,0.51,0.1790808075153462,1.0,3.0,0.0
15,100016.0,1.0,0.0,1.0,0.36,0.131319276800599,1.0,3.0,0.0
16,100017.0,1.0,0.0,0.0,0.62,0.2413251567294719,1.0,3.0,0.0
17,100018.0,0.0,0.0,1.0,0.68,0.09009050869323854,1.0,3.0,0.0
18,100019.0,0.0,0.0,1.0,0.5,0.6172511118903405,1.0,3.0,0.0
19,100020.0,1.0,0.0,0.0,0.57,0.5399881850685744,1.0,3.0,0.0
20,100021.0,1.0,0.0,1.0,0.56,0.2690931914979714,1.0,3.0,0.0
21,100022.0,0.0,0.0,0.0,0.67,0.41104696962306975,1.0,3.0,0.0
22,100023.0,1.0,0.0,0.0,0.09,0.8047431860453902,1.0,3.0,0.0
23,100024.0,0.0,0.0,0.0,0.49,0.5861944013407707,1.0,3.0,0.0
24,100025.0,0.0,1.0,1.0,0.96,0.46139082775776974,1.0,3.0,0.0
25,100026.0,1.0,0.0,0.0,0.75,0.12682774031436414,1.0,3.0,0.0
26,100027.0,1.0,1.0,1.0,0.05,0.43570559768166933,1.0,3.0,0.0
27,100028.0,0.0,0.0,1.0,0.72,0.11531981821351614,1.0,3.0,0.0
28,100029.0,0.0,1.0,0.0,0.33,0.6054140882516226,1.0,3.0,0.0
29,100030.0,1.0,0.0,0.0,0.36,0.139070911837902,1.0,3.0,0.0
30,100031.0,1.0,1.0,0.0,0.32,0.3318175742168189,1.0,3.0,0.0
31,100032.0,0.0,1.0,0.0,0.92,0.497708452288368,1.0,3.0,0.0
32,100033.0,1.0,1.0,1.0,0.31,0.33417996668945504,1.0,3.0,0.0
33,100034.0,0.0,0.0,1.0,0.61,0.45358053421985434,1.0,3.0,0.0
34,100035.0,1.0,1.0,1.0,0.98,0.09984477270343918,1.0,3.0,0.0
35,100036.0,1.0,0.0,1.0,0.18,0.06860208785536732,1.0,3.0,0.0
36,100037.0,1.0,1.0,1.0,0.69,0.686122021607541,1.0,3.0,0.0
37,100038.0,1.0,0.0,1.0,0.64,0.045600109804497996,1.0,3.0,0.0
38,100039.0,1.0,0.0,0.0,0.23,0.3941760610507795,1.0,3.0,0.0
39,100040.0,0.0,0.0,1.0,0.08,0.039156819420962996,1.0,3.0,0.0
40,100041.0,0.0,0.0,0.0,0.18,0.3751898629822201,1.0,3.0,0.0
41,100042.0,0.0,0.0,0.0,0.66,0.24636166211750923,1.0,3.0,0.0
42,100043.0,1.0,1.0,0.0,0.58,0.479703375489403,1.0,3.0,1.0
43,100044.0,1.0,0.0,0.0,0.41,0.16627457320339764,1.0,3.0,0.0
44,100045.0,0.0,1.0,0.0,0.82,0.7787734491443742,1.0,3.0,0.0
45,100046.0,1.0,0.0,1.0,0.6,0.040326382084825085,1.0,3.0,0.0
46,100047.0,1.0,0.0,1.0,0.18,0.09523273641017907,1.0,3.0,0.0
47,100048.0,0.0,1.0,0.0,0.23,0.3144674288518154,1.0,3.0,0.0
48,100049.0,0.0,0.0,0.0,0.84,0.08627893241259367,1.0,3.0,0.0
49,100050.0,1.0,0.0,1.0,0.88,0.5361907805667724,1.0,3.0,0.0
50,100051.0,0.0,0.0,1.0,0.63,0.22428643162470605,1.0,3.0,0.0
51,100052.0,1.0,1.0,0.0,0.33,0.23142969178060446,1.0,3.0,0.0
52,100053.0,0.0,0.0,1.0,0.44,0.4369342841265782,1.0,3.0,0.0
53,100054.0,0.0,1.0,1.0,0.44,0.15814091570091204,1.0,3.0,0.0
54,100055.0,1.0,0.0,1.0,0.03,0.5401437389374146,1.0,3.0,0.0
55,100056.0,1.0,0.0,1.0,0.06,0.13798541651610172,1.0,3.0,0.0
56,100057.0,0.0,0.0,1.0,0.26,0.1253149218708133,1.0,3.0,0.0
57,100058.0,0.0,1.0,1.0,0.48,0.4088862828800822,1.0,3.0,0.0
58,100059.0,0.0,1.0,0.0,0.31,0.2541634239510057,1.0,3.0,0.0
59,100060.0,0.0,0.0,1.0,0.25,0.29471977199943833,1.0,3.0,0.0
60,100061.0,1.0,0.0,0.0,0.7,0.31345838884321064,1.0,3.0,0.0
61,100062.0,1.0,0.0,0.0,0.77,0.4096792776073002,1.0,3.0,0.0
62,100063.0,0.0,1.0,0.0,0.27,0.4497200132822503,1.0,3.0,0.0
63,100064.0,0.0,1.0,1.0,0.38,0.02078276971039154,1.0,3.0,0.0
64,100065.0,1.0,0.0,1.0,0.27,0.12708510040632406,1.0,3.0,0.0
65,100066.0,1.0,0.0,0.0,0.45,0.2783342089702755,1.0,3.0,0.0
66,100067.0,1.0,0.0,0.0,0.96,0.5395699842247541,1.0,3.0,0.0
67,100068.0,0.0,1.0,1.0,0.99,0.36127422308367135,1.0,3.0,0.0
68,100069.0,0.0,1.0,0.0,0.31,0.4638900278271984,1.0,3.0,0.0
69,100070.0,0.0,0.0,0.0,0.14,0.45514279906456145,1.0,3.0,0.0
70,100071.0,0.0,1.0,0.0,0.73,0.08300547156155774,1.0,3.0,0.0
71,100072.0,0.0,0.0,0.0,0.52,0.20577355312409207,1.0,3.0,0.0
72,100073.0,1.0,0.0,0.0,0.93,0.2068771438683664,1.0,3.0,0.0
73,100074.0,1.0,1.0,0.0,0.45,0.39750062839297107,1.0,3.0,0.0
74,100075.0,1.0,0.0,1.0,0.73,0.19242289366756693,1.0,3.0,0.0
75,100076.0,0.0,1.0,0.0,0.49,0.6108059611091764,1.0,3.0,0.0
76,100077.0,1.0,0.0,0.0,0.6,0.34126845393113053,1.0,3.0,0.0
77,100078.0,0.0,0.0,0.0,0.98,0.22924352733235057,1.0,3.0,0.0
78,100079.0,0.0,1.0,1.0,0.2,0.10329494004930168,1.0,3.0,0.0
79,100080.0,0.0,0.0,0.0,0.65,0.8912580136279314,1.0,3.0,0.0
80,100081.0,1.0,1.0,0.0,0.45,0.25516721032223355,1.0,3.0,0.0
81,100082.0,0.0,1.0,1.0,0.86,0.546612163468171,1.0,3.0,0.0
82,100083.0,1.0,1.0,1.0,0.59,0.44831939120672515,1.0,3.0,0.0
83,100084.0,1.0,1.0,1.0,0.05,0.6046035331471392,1.0,3.0,0.0
84,100085.0,1.0,1.0,0.0,0.86,0.1875243405665218,1.0,3.0,0.0
85,100086.0,1.0,0.0,1.0,0.68,0.4191971605853912,1.0,3.0,0.0
86,100087.0,0.0,0.0,0.0,0.82,0.29095720894525434,1.0,3.0,0.0
87,100088.0,1.0,1.0,1.0,0.8,0.3013928534278546,1.0,3.0,0.0
88,100089.0,0.0,0.0,0.0,0.39,0.24169149852772726,1.0,3.0,0.0
89,100090.0,0.0,0.0,1.0,0.08,0.38423540738760664,1.0,3.0,0.0
90,100091.0,0.0,0.0,1.0,0.79,0.3520299836111138,1.0,3.0,0.0
91,100092.0,0.0,0.0,1.0,0.58,0.2509427362727592,1.0,3.0,0.0
92,100093.0,0.0,1.0,0.0,0.47,0.4117551630315927,1.0,3.0,0.0
93,100094.0,1.0,1.0,1.0,0.44,0.7428362104407915,1.0,3.0,0.0
94,100095.0,0.0,1.0,1.0,0.17,0.2959406263868999,1.0,3.0,0.0
95,100096.0,0.0,0.0,0.0,0.96,0.2849524210415111,1.0,3.0,0.0
96,100097.0,1.0,0.0,0.0,0.72,0.17170676028937074,1.0,3.0,0.0
97,100098.0,1.0,0.0,1.0,0.81,0.4824270036955173,1.0,3.0,0.0
98,100099.0,0.0,0.0,0.0,0.21,0.1571229591396712,1.0,3.0,0.0
99,100100.0,0.0,0.0,1.0,0.63,0.406442453807071,1.0,3.0,0.0
100,100101.0,1.0,0.0,0.0,0.77,0.2917127267044143,1.0,3.0,0.0
101,100102.0,0.0,1.0,1.0,0.67,0.2818740698370156,1.0,3.0,0.0
102,100103.0,1.0,0.0,1.0,0.29,0.29787613131342966,1.0,3.0,0.0
103,100104.0,1.0,0.0,0.0,0.31,0.1401472651910577,1.0,3.0,0.0
104,100105.0,0.0,1.0,0.0,0.19,0.2292735563109671,1.0,3.0,0.0
105,100106.0,0.0,0.0,1.0,0.81,0.32834824717190275,1.0,3.0,0.0
106,100107.0,0.0,0.0,1.0,0.3,0.29783832214272815,1.0,3.0,0.0
107,100108.0,0.0,0.0,1.0,0.36,0.3529265469883126,1.0,3.0,0.0
108,100109.0,1.0,0.0,0.0,0.24,0.27154024813872646,1.0,3.0,0.0
109,100110.0,1.0,0.0,0.0,0.06,0.3350127693719327,1.0,3.0,0.0
110,100111.0,0.0,1.0,0.0,0.02,0.5513679200657138,1.0,3.0,0.0
111,100112.0,1.0,0.0,1.0,0.55,0.2634853050474059,1.0,3.0,0.0
112,100113.0,0.0,1.0,1.0,0.51,0.4707785633636811,1.0,3.0,0.0
113,100114.0,1.0,1.0,0.0,0.82,0.3388245470319344,1.0,3.0,0.0
114,100115.0,1.0,0.0,0.0,0.08,0.2490846876278095,1.0,3.0,0.0
115,100116.0,1.0,1.0,1.0,0.05,0.17686761598253464,1.0,3.0,0.0
116,100117.0,1.0,1.0,0.0,0.54,0.3522205671973354,1.0,3.0,0.0
117,100118.0,1.0,1.0,1.0,0.48,0.3176384183579498,1.0,3.0,0.0
118,100119.0,1.0,0.0,1.0,0.59,0.3570318198278057,1.0,3.0,0.0
119,100120.0,1.0,0.0,0.0,0.85,0.269334958941108,1.0,3.0,0.0
120,100121.0,1.0,1.0,0.0,0.04,0.14110237131095174,1.0,3.0,0.0
121,100122.0,0.0,1.0,0.0,0.51,0.2662068684555592,1.0,3.0,0.0
122,100123.0,1.0,1.0,0.0,0.29,0.3955868690567719,1.0,3.0,0.0
123,100124.0,1.0,1.0,1.0,0.25,0.3406981917747381,1.0,3.0,0.0
124,100125.0,0.0,1.0,0.0,0.18,0.018831882086657724,1.0,3.0,0.0
125,100126.0,1.0,0.0,1.0,0.61,0.38075066914565164,1.0,3.0,0.0
126,100127.0,0.0,1.0,1.0,0.42,0.5097664642344107,1.0,3.0,0.0
127,100128.0,0.0,1.0,0.0,0.25,0.1304241514648667,1.0,3.0,0.0
128,100129.0,0.0,1.0,1.0,0.18,0.1444342378487391,1.0,3.0,0.0
129,100130.0,1.0,1.0,0.0,0.96,0.017826654032077546,1.0,3.0,0.0
130,100131.0,0.0,0.0,0.0,0.62,0.496365124230086,1.0,3.0,0.0
131,100132.0,1.0,0.0,0.0,0.47,0.21123398838843843,1.0,3.0,0.0
132,100133.0,0.0,0.0,0.0,0.33,0.32935516556862754,1.0,3.0,0.0
133,100134.0,0.0,1.0,1.0,0.17,0.6531455842551582,1.0,3.0,0.0
134,100135.0,1.0,1.0,1.0,0.09,0.26357314206357424,1.0,3.0,0.0
135,100136.0,1.0,1.0,1.0,0.76,0.4435692671431253,1.0,3.0,0.0
136,100137.0,0.0,1.0,1.0,0.2,0.3433470733744836,1.0,3.0,0.0
137,100138.0,1.0,0.0,0.0,0.06,0.19516098156468112,1.0,3.0,0.0
138,100139.0,0.0,1.0,0.0,0.83,0.19981891195040422,1.0,3.0,0.0
139,100140.0,0.0,1.0,0.0,0.61,0.056896315362021395,1.0,3.0,0.0
140,100141.0,1.0,1.0,1.0,0.2,0.3544628798613763,1.0,3.0,0.0
141,100142.0,1.0,0.0,0.0,0.62,0.16499355170002475,1.0,3.0,0.0
142,100143.0,0.0,0.0,0.0,0.26,0.2739022520268606,1.0,3.0,0.0
143,100144.0,1.0,0.0,0.0,0.4,0.22356773433199034,1.0,3.0,0.0
144,100145.0,0.0,1.0,1.0,0.12,0.37487535434601305,1.0,3.0,0.0
145,100146.0,0.0,1.0,1.0,0.48,0.4355586268884401,1.0,3.0,0.0
146,100147.0,1.0,1.0,1.0,0.59,0.44609529976812995,1.0,3.0,0.0
147,100148.0,0.0,0.0,0.0,0.99,0.5350712523560641,1.0,3.0,0.0
148,100149.0,1.0,1.0,1.0,0.59,0.16239792441653353,1.0,3.0,0.0
149,100150.0,0.0,1.0,1.0,0.24,0.18247453115718504,1.0,3.0,0.0
150,100151.0,1.0,0.0,1.0,0.83,0.27950656570234633,1.0,3.0,0.0
151,100152.0,1.0,1.0,0.0,0.71,0.5144663816797573,1.0,3.0,1.0
152,100153.0,0.0,1.0,1.0,0.85,0.5941580155732417,1.0,3.0,0.0
153,100154.0,1.0,1.0,0.0,0.74,0.23864140840324263,1.0,3.0,0.0
154,100155.0,1.0,1.0,0.0,0.23,0.36981097228404897,1.0,3.0,0.0
155,100156.0,1.0,1.0,1.0,0.16,0.3031429915499685,1.0,3.0,0.0
156,100157.0,0.0,0.0,1.0,0.04,0.18929471218630603,1.0,3.0,0.0
157,100158.0,1.0,1.0,1.0,0.73,0.46334314954112843,1.0,3.0,0.0
158,100159.0,1.0,0.0,1.0,0.22,0.7323187098661302,1.0,3.0,0.0
