,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,1.0,1.0,0.0,0.22,0.376723457973085,1.0,1.0,0.0
1,100002.0,0.0,0.0,0.0,0.78,0.2668944402513578,1.0,1.0,0.0
2,100003.0,1.0,1.0,0.0,0.01,0.5259483048945893,1.0,1.0,0.0
3,100004.0,1.0,1.0,0.0,0.06,0.5112148709079657,1.0,1.0,0.0
4,100005.0,1.0,0.0,1.0,0.23,0.23855565994508177,1.0,1.0,0.0
5,100006.0,0.0,1.0,0.0,0.83,0.25306411291213066,1.0,1.0,0.0
6,100007.0,1.0,1.0,1.0,0.74,0.15685250292759198,1.0,1.0,0.0
7,100008.0,1.0,0.0,0.0,0.43,0.8554494371863541,1.0,1.0,0.0
8,100009.0,0.0,0.0,1.0,0.32,0.4964209533375948,1.0,1.0,0.0
9,100010.0,0.0,0.0,0.0,0.13,0.47449116701950855,1.0,1.0,0.0
10,100011.0,1.0,1.0,0.0,0.52,0.628955661277331,1.0,1.0,1.0
11,100012.0,1.0,0.0,1.0,0.64,0.22621645108813743,1.0,1.0,0.0
12,100013.0,0.0,1.0,1.0,0.65,0.45567953390111254,1.0,1.0,0.0
13,100014.0,1.0,1.0,1.0,0.64,0.050324840916768476,1.0,1.0,0.0
14,100015.0,0.0,0.0,1.0,0.57,0.10963738571160267,1.0,1.0,0.0
15,100016.0,1.0,0.0,1.0,0.39,0.40536632104030856,1.0,1.0,0.0
16,100017.0,0.0,0.0,0.0,0.4,0.3072639543719808,1.0,1.0,0.0
17,100018.0,1.0,0.0,1.0,0.19,0.4772339124984814,1.0,1.0,0.0
18,100019.0,0.0,0.0,1.0,0.54,0.28909351240766057,1.0,1.0,0.0
19,100020.0,0.0,1.0,1.0,0.22,0.3912895711664755,1.0,1.0,0.0
20,100021.0,0.0,0.0,0.0,0.26,0.7296809310388608,1.0,1.0,0.0
21,100022.0,1.0,1.0,0.0,0.8,0.22692447656351192,1.0,1.0,0.0
22,100023.0,0.0,0.0,1.0,0.03,0.4708772540656628,1.0,1.0,0.0
23,100024.0,1.0,0.0,0.0,0.65,0.29819280689477534,1.0,1.0,0.0
24,100025.0,0.0,0.0,1.0,0.05,0.49896868438206826,1.0,1.0,0.0
25,100026.0,1.0,0.0,1.0,0.29,0.0841560024702725,1.0,1.0,0.0
26,100027.0,0.0,1.0,0.0,0.48,0.39864148795741816,1.0,1.0,0.0
27,100028.0,0.0,1.0,1.0,0.86,0.1119450326438018,1.0,1.0,0.0
28,100029.0,1.0,0.0,0.0,0.94,0.22075824865556914,1.0,1.0,0.0
29,100030.0,1.0,1.0,1.0,0.15,0.5214474954105075,1.0,1.0,0.0
30,100031.0,1.0,0.0,1.0,0.55,0.43936194013831076,1.0,1.0,0.0
31,100032.0,0.0,1.0,1.0,0.03,0.5308170147581632,1.0,1.0,0.0
32,100033.0,0.0,1.0,0.0,0.18,0.6448574843999108,1.0,1.0,0.0
33,100034.0,1.0,0.0,0.0,0.55,0.0512343963930165,1.0,1.0,0.0
34,100035.0,0.0,0.0,1.0,0.22,0.35941281052425295,1.0,1.0,0.0
35,100036.0,0.0,1.0,1.0,0.21,0.4672826752909974,1.0,1.0,0.0
36,100037.0,1.0,1.0,0.0,0.33,0.5414408730980268,1.0,1.0,0.0
37,100038.0,1.0,0.0,1.0,0.36,0.43770002936123026,1.0,1.0,0.0
38,100039.0,0.0,0.0,0.0,0.39,0.5386738605864416,1.0,1.0,0.0
39,100040.0,0.0,0.0,0.0,0.64,0.35082241541541576,1.0,1.0,0.0
40,100041.0,0.0,1.0,0.0,0.56,0.4734561788210316,1.0,1.0,0.0
41,100042.0,0.0,1.0,0.0,0.97,0.17052543197516942,1.0,1.0,0.0
42,100043.0,0.0,1.0,1.0,0.57,0.2523429154569042,1.0,1.0,0.0
43,100044.0,0.0,0.0,0.0,0.49,0.2775432077715614,1.0,1.0,0.0
44,100045.0,0.0,1.0,1.0,0.46,0.3129235273655751,1.0,1.0,0.0
45,100046.0,0.0,1.0,0.0,0.93,0.08669049755074079,1.0,1.0,0.0
46,100047.0,1.0,1.0,1.0,0.85,0.03277155693980171,1.0,1.0,0.0
47,100048.0,1.0,0.0,1.0,0.43,0.5919082716308548,1.0,1.0,0.0
48,100049.0,1.0,1.0,1.0,0.5,0.2558062686504359,1.0,1.0,0.0
49,100050.0,1.0,0.0,1.0,0.97,0.5303677089449583,1.0,1.0,0.0
50,100051.0,0.0,1.0,0.0,0.78,0.34554994525137156,1.0,1.0,0.0
51,100052.0,0.0,0.0,0.0,0.57,0.2691869677781994,1.0,1.0,0.0
52,100053.0,1.0,0.0,1.0,0.99,0.5700777525911953,1.0,1.0,0.0
53,100054.0,0.0,1.0,0.0,0.1,0.3695156983450749,1.0,1.0,0.0
54,100055.0,0.0,0.0,0.0,0.58,0.5234661850884876,1.0,1.0,0.0
55,100056.0,1.0,1.0,1.0,0.96,0.44593967374621984,1.0,1.0,0.0
56,100057.0,1.0,0.0,0.0,0.75,0.24903549175882184,1.0,1.0,0.0
57,100058.0,1.0,1.0,1.0,0.11,0.44073643573636095,1.0,1.0,0.0
