,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,1.0,1.0,1.0,0.74,0.21244619277857985,0.0,5.0,0.0
1,100002.0,1.0,0.0,0.0,0.11,0.11388972554977918,0.0,5.0,0.0
2,100003.0,0.0,0.0,0.0,0.15,0.4107561289600491,0.0,5.0,0.0
3,100004.0,0.0,0.0,0.0,0.13,0.4607539079835095,0.0,5.0,0.0
4,100005.0,1.0,1.0,0.0,0.17,0.4189667431477033,0.0,5.0,0.0
5,100006.0,0.0,1.0,1.0,0.43,0.40747783296849294,0.0,5.0,0.0
6,100007.0,1.0,0.0,0.0,0.47,0.3461769735857867,0.0,5.0,0.0
7,100008.0,1.0,0.0,1.0,0.91,0.49894527982718617,0.0,5.0,0.0
8,100009.0,1.0,1.0,0.0,0.05,0.4365444194880686,0.0,5.0,0.0
9,100010.0,0.0,0.0,0.0,0.65,0.33457596884614277,0.0,5.0,0.0
10,100011.0,0.0,0.0,1.0,0.32,0.22599146041666485,0.0,5.0,0.0
11,100012.0,0.0,1.0,0.0,0.81,0.2549674494567719,0.0,5.0,0.0
12,100013.0,1.0,0.0,1.0,0.83,0.11383919824906072,0.0,5.0,0.0
13,100014.0,1.0,0.0,0.0,0.03,0.5532551829049532,0.0,5.0,0.0
14,100015.0,1.0,0.0,1.0,0.03,0.3391813282787921,0.0,5.0,0.0
15,100016.0,1.0,0.0,0.0,0.36,0.30246629871846786,0.0,5.0,0.0
16,100017.0,1.0,0.0,0.0,0.57,0.01625176060005657,0.0,5.0,0.0
17,100018.0,0.0,0.0,0.0,0.58,0.3619911644438422,0.0,5.0,0.0
18,100019.0,0.0,1.0,0.0,0.7,0.15670772523179977,0.0,5.0,0.0
19,100020.0,1.0,1.0,1.0,0.01,0.4417044052188137,0.0,5.0,0.0
20,100021.0,0.0,1.0,1.0,0.63,0.2979419821379013,0.0,5.0,0.0
21,100022.0,1.0,1.0,0.0,0.13,0.04783588656152413,0.0,5.0,0.0
22,100023.0,0.0,0.0,1.0,0.14,0.35531351301068537,0.0,5.0,0.0
23,100024.0,0.0,1.0,1.0,0.11,0.0795053742708606,0.0,5.0,0.0
24,100025.0,0.0,0.0,0.0,0.27,0.44875691789204897,0.0,5.0,0.0
25,100026.0,1.0,1.0,0.0,0.74,0.22011161086623382,0.0,5.0,0.0
26,100027.0,1.0,1.0,0.0,0.52,0.33386873977488224,0.0,5.0,0.0
27,100028.0,1.0,1.0,1.0,0.45,0.4854988058431858,0.0,5.0,0.0
28,100029.0,0.0,0.0,0.0,0.61,0.04204311158889813,0.0,5.0,0.0
29,100030.0,1.0,1.0,1.0,0.86,0.4403758435184958,0.0,5.0,0.0
30,100031.0,0.0,0.0,0.0,0.62,0.8708036751993158,0.0,5.0,0.0
31,100032.0,0.0,1.0,0.0,0.03,0.4439489189622004,0.0,5.0,0.0
32,100033.0,0.0,0.0,1.0,0.76,0.29013422862087507,0.0,5.0,0.0
33,100034.0,0.0,0.0,0.0,0.18,0.12207534584621672,0.0,5.0,0.0
34,100035.0,1.0,0.0,0.0,0.96,0.08209910057463696,0.0,5.0,0.0
35,100036.0,0.0,1.0,1.0,0.39,0.4499382612646851,0.0,5.0,0.0
36,100037.0,0.0,1.0,0.0,0.04,0.44096080763403983,0.0,5.0,0.0
37,100038.0,1.0,1.0,1.0,0.39,0.4680306315200468,0.0,5.0,0.0
38,100039.0,0.0,0.0,1.0,0.2,0.5652314837994143,0.0,5.0,0.0
39,100040.0,0.0,0.0,0.0,0.81,0.47601853948713374,0.0,5.0,0.0
40,100041.0,0.0,1.0,1.0,0.43,0.331526754918199,0.0,5.0,0.0
41,100042.0,0.0,0.0,0.0,0.78,0.2158180264579818,0.0,5.0,0.0
42,100043.0,1.0,1.0,1.0,0.63,0.24433736567157105,0.0,5.0,0.0
43,100044.0,0.0,0.0,1.0,0.91,0.16408202635173563,0.0,5.0,0.0
44,100045.0,1.0,1.0,1.0,0.22,0.0003312518048209787,0.0,5.0,0.0
45,100046.0,0.0,0.0,0.0,0.63,0.33624210777842656,0.0,5.0,0.0
46,100047.0,0.0,1.0,0.0,0.64,0.036330684913390636,0.0,5.0,0.0
47,100048.0,1.0,1.0,0.0,0.38,0.4164070487161617,0.0,5.0,0.0
48,100049.0,0.0,1.0,0.0,0.31,0.058262543303354175,0.0,5.0,0.0
49,100050.0,1.0,1.0,0.0,0.56,0.3526656834148799,0.0,5.0,0.0
50,100051.0,1.0,0.0,0.0,0.98,0.8171157879942356,0.0,5.0,0.0
51,100052.0,0.0,0.0,1.0,0.8,0.525083620903581,0.0,5.0,0.0
52,100053.0,0.0,0.0,1.0,0.11,0.4826837393996241,0.0,5.0,0.0
53,100054.0,1.0,0.0,0.0,0.56,0.3029540442775406,0.0,5.0,0.0
54,100055.0,1.0,0.0,1.0,0.25,0.34981026823185685,0.0,5.0,0.0
55,100056.0,0.0,1.0,1.0,0.21,0.4816747816906531,0.0,5.0,0.0
56,100057.0,0.0,1.0,0.0,0.86,0.3732183379203472,0.0,5.0,0.0
57,100058.0,1.0,0.0,1.0,0.01,0.30275452780216144,0.0,5.0,0.0
58,100059.0,1.0,0.0,0.0,0.82,0.0322803389543771,0.0,5.0,0.0
59,100060.0,1.0,0.0,0.0,0.28,0.4165790860089242,0.0,5.0,0.0
60,100061.0,0.0,1.0,1.0,0.13,0.36750334776496935,0.0,5.0,0.0
61,100062.0,0.0,0.0,0.0,0.53,0.6130576362846182,0.0,5.0,0.0
62,100063.0,0.0,1.0,0.0,0.54,0.5768118157923336,0.0,5.0,0.0
63,100064.0,0.0,0.0,1.0,0.27,0.24043706440982504,0.0,5.0,0.0
64,100065.0,0.0,0.0,0.0,0.99,0.32077442946104956,0.0,5.0,0.0
65,100066.0,0.0,1.0,1.0,0.13,0.22430951141237906,0.0,5.0,0.0
66,100067.0,0.0,1.0,1.0,0.35,0.6688311627503929,0.0,5.0,0.0
67,100068.0,1.0,0.0,1.0,0.92,0.46145666048673784,0.0,5.0,0.0
68,100069.0,0.0,0.0,1.0,0.97,0.09648563069902535,0.0,5.0,0.0
69,100070.0,1.0,0.0,1.0,0.42,0.2630037414782507,0.0,5.0,0.0
70,100071.0,0.0,1.0,0.0,0.7,0.572721983352821,0.0,5.0,0.0
71,100072.0,0.0,1.0,1.0,0.55,0.06808593288478833,0.0,5.0,0.0
72,100073.0,1.0,1.0,1.0,0.96,0.07223977455351419,0.0,5.0,0.0
73,100074.0,1.0,1.0,1.0,0.83,0.2866055578355501,0.0,5.0,0.0
74,100075.0,1.0,0.0,0.0,0.04,0.4217003840712081,0.0,5.0,0.0
75,100076.0,0.0,0.0,0.0,0.84,0.3248887815279176,0.0,5.0,0.0
76,100077.0,1.0,0.0,1.0,0.11,0.28667039504537395,0.0,5.0,0.0
77,100078.0,0.0,1.0,0.0,0.06,0.05703587989118177,0.0,5.0,0.0
78,100079.0,1.0,1.0,1.0,0.01,0.20210245340198132,0.0,5.0,0.0
79,100080.0,0.0,1.0,1.0,0.82,0.12457388590881918,0.0,5.0,0.0
80,100081.0,0.0,1.0,1.0,0.15,0.358586051964466,0.0,5.0,0.0
81,100082.0,1.0,1.0,0.0,0.74,0.3672013701945412,0.0,5.0,0.0
82,100083.0,1.0,1.0,0.0,0.42,0.028577960626193423,0.0,5.0,0.0
83,100084.0,0.0,1.0,0.0,0.29,0.3708465696499097,0.0,5.0,0.0
84,100085.0,1.0,1.0,1.0,0.96,0.1089688050918536,0.0,5.0,0.0
85,100086.0,1.0,0.0,0.0,0.29,0.3893843500607478,0.0,5.0,0.0
86,100087.0,0.0,0.0,1.0,0.33,0.2756741595400551,0.0,5.0,0.0
87,100088.0,1.0,1.0,1.0,0.11,0.5548404923578948,0.0,5.0,0.0
88,100089.0,0.0,1.0,0.0,0.08,0.23140644437335867,0.0,5.0,0.0
89,100090.0,0.0,1.0,0.0,0.99,0.2715229981088415,0.0,5.0,0.0
90,100091.0,1.0,0.0,1.0,0.27,0.2606162384712355,0.0,5.0,0.0
91,100092.0,1.0,0.0,0.0,0.69,0.30322454508379604,0.0,5.0,0.0
92,100093.0,1.0,1.0,1.0,0.11,0.31637083403733757,0.0,5.0,0.0
93,100094.0,0.0,1.0,1.0,0.35,0.5282650604229431,0.0,5.0,0.0
94,100095.0,1.0,1.0,0.0,0.54,0.36033045502222333,0.0,5.0,0.0
95,100096.0,0.0,1.0,1.0,0.49,0.12278938837866095,0.0,5.0,0.0
96,100097.0,0.0,0.0,1.0,0.76,0.5937289022918029,0.0,5.0,0.0
97,100098.0,0.0,0.0,0.0,0.39,0.3195643624670955,0.0,5.0,0.0
98,100099.0,1.0,1.0,1.0,0.47,0.014316332741890626,0.0,5.0,0.0
99,100100.0,1.0,0.0,1.0,0.18,0.13832549452405513,0.0,5.0,0.0
100,100101.0,0.0,1.0,0.0,0.18,0.10380861728908476,0.0,5.0,0.0
101,100102.0,0.0,1.0,0.0,0.3,0.38105130349940347,0.0,5.0,0.0
102,100103.0,0.0,1.0,1.0,0.83,0.20520599275216933,0.0,5.0,0.0
103,100104.0,0.0,1.0,1.0,0.79,0.5642012155049607,0.0,5.0,0.0
104,100105.0,1.0,1.0,1.0,0.68,0.4060876828978588,0.0,5.0,0.0
105,100106.0,0.0,1.0,0.0,0.64,0.010424919510756718,0.0,5.0,0.0
106,100107.0,1.0,0.0,1.0,0.97,0.3301578372432093,0.0,5.0,0.0
107,100108.0,1.0,1.0,1.0,0.33,0.33758843305514374,0.0,5.0,0.0
108,100109.0,1.0,0.0,1.0,0.98,0.06932870446481929,0.0,5.0,0.0
109,100110.0,1.0,0.0,1.0,0.47,0.02663334116461551,0.0,5.0,0.0
110,100111.0,1.0,0.0,1.0,0.49,0.39223031067922803,0.0,5.0,0.0
111,100112.0,0.0,1.0,0.0,0.56,0.1142628410588576,0.0,5.0,0.0
112,100113.0,1.0,1.0,1.0,0.13,0.5506026972243451,0.0,5.0,0.0
113,100114.0,1.0,0.0,0.0,0.23,0.04851891026621805,0.0,5.0,0.0
114,100115.0,0.0,1.0,1.0,0.1,0.3563592837730202,0.0,5.0,0.0
115,100116.0,1.0,1.0,0.0,0.47,0.4098377829764347,0.0,5.0,1.0
116,100117.0,0.0,0.0,0.0,0.55,0.48412441492892594,0.0,5.0,0.0
117,100118.0,0.0,0.0,1.0,0.63,0.5121326358827468,0.0,5.0,0.0
118,100119.0,0.0,1.0,0.0,0.48,0.20129640281663153,0.0,5.0,0.0
119,100120.0,1.0,1.0,0.0,0.0,0.49568980994395895,0.0,5.0,0.0
120,100121.0,0.0,0.0,1.0,0.88,0.5611248961097173,0.0,5.0,0.0
121,100122.0,0.0,0.0,1.0,0.97,0.3872779853581112,0.0,5.0,0.0
122,100123.0,1.0,1.0,0.0,0.36,0.35892053695240145,0.0,5.0,0.0
123,100124.0,0.0,0.0,1.0,0.22,0.2443242690524025,0.0,5.0,0.0
124,100125.0,0.0,0.0,1.0,0.81,0.8184689781430287,0.0,5.0,0.0
125,100126.0,1.0,1.0,1.0,0.06,0.19651904366726777,0.0,5.0,0.0
126,100127.0,0.0,1.0,1.0,0.34,0.38237755351464153,0.0,5.0,0.0
127,100128.0,0.0,1.0,0.0,0.88,0.3302832660133533,0.0,5.0,0.0
128,100129.0,0.0,1.0,1.0,0.31,0.22425711234972653,0.0,5.0,0.0
129,100130.0,1.0,1.0,1.0,0.85,0.6361671897150571,0.0,5.0,0.0
130,100131.0,1.0,1.0,0.0,0.15,0.44670998401934525,0.0,5.0,0.0
131,100132.0,1.0,0.0,1.0,0.3,0.3578353142285707,0.0,5.0,0.0
132,100133.0,0.0,1.0,0.0,0.56,0.4466413472328718,0.0,5.0,0.0
133,100134.0,1.0,0.0,1.0,0.15,0.2615576674008384,0.0,5.0,0.0
134,100135.0,1.0,0.0,1.0,0.05,0.47087111689866695,0.0,5.0,0.0
135,100136.0,1.0,1.0,1.0,0.14,0.3274208981010045,0.0,5.0,0.0
136,100137.0,0.0,1.0,1.0,0.76,0.21963022013123557,0.0,5.0,0.0
137,100138.0,1.0,0.0,1.0,0.2,0.6804255404613726,0.0,5.0,0.0
138,100139.0,1.0,0.0,0.0,0.62,0.27758720792678043,0.0,5.0,0.0
139,100140.0,1.0,1.0,0.0,0.49,0.2698164806115192,0.0,5.0,0.0
140,100141.0,1.0,0.0,1.0,0.12,0.406594556208602,0.0,5.0,0.0
141,100142.0,1.0,0.0,0.0,0.77,0.3465522972162571,0.0,5.0,0.0
142,100143.0,0.0,0.0,1.0,0.36,0.26762871948465683,0.0,5.0,0.0
143,100144.0,1.0,1.0,0.0,0.78,0.20943435584380968,0.0,5.0,0.0
144,100145.0,0.0,1.0,0.0,0.32,0.3686920361827211,0.0,5.0,0.0
145,100146.0,0.0,1.0,0.0,0.71,0.11525787332270687,0.0,5.0,0.0
146,100147.0,1.0,1.0,0.0,0.76,0.5790691500728148,0.0,5.0,1.0
147,100148.0,1.0,1.0,1.0,0.74,0.3001924148782645,0.0,5.0,0.0
148,100149.0,1.0,0.0,1.0,0.91,0.47880966211529946,0.0,5.0,0.0
149,100150.0,0.0,0.0,0.0,0.54,0.20185477789924752,0.0,5.0,0.0
150,100151.0,1.0,1.0,1.0,0.65,0.18634042358103828,0.0,5.0,0.0
151,100152.0,0.0,0.0,0.0,0.14,0.16909257059982344,0.0,5.0,0.0
