,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,1.0,0.0,0.0,0.34,0.08116139649673974,0.0,5.0,0.0
1,100002.0,0.0,0.0,0.0,0.91,0.4281020890844931,0.0,5.0,0.0
2,100003.0,1.0,0.0,1.0,0.99,0.16632335529709044,0.0,5.0,0.0
3,100004.0,1.0,1.0,1.0,0.18,0.4386163241322688,0.0,5.0,0.0
4,100005.0,1.0,1.0,0.0,0.38,0.19059980690853306,0.0,5.0,0.0
5,100006.0,1.0,1.0,0.0,0.51,0.3521567009549021,0.0,5.0,0.0
6,100007.0,0.0,1.0,0.0,0.64,0.41022413378325717,0.0,5.0,0.0
7,100008.0,1.0,1.0,0.0,0.73,0.5100177635179822,0.0,5.0,1.0
8,100009.0,1.0,0.0,0.0,0.42,0.09187352476844424,0.0,5.0,0.0
9,100010.0,0.0,0.0,0.0,0.34,0.23055296039583828,0.0,5.0,0.0
10,100011.0,1.0,0.0,1.0,0.05,0.26310002316845305,0.0,5.0,0.0
11,100012.0,1.0,1.0,1.0,0.54,0.15465325232927,0.0,5.0,0.0
12,100013.0,0.0,0.0,1.0,0.19,0.41884491085892644,0.0,5.0,0.0
13,100014.0,1.0,1.0,0.0,0.57,0.033576545433558314,0.0,5.0,0.0
14,100015.0,0.0,0.0,0.0,0.81,0.2643125824436083,0.0,5.0,0.0
15,100016.0,0.0,1.0,0.0,0.24,0.5089762397378086,0.0,5.0,0.0
16,100017.0,0.0,0.0,0.0,0.56,0.3635585810157864,0.0,5.0,0.0
17,100018.0,1.0,0.0,0.0,0.54,0.2137475370325479,0.0,5.0,0.0
18,100019.0,0.0,0.0,1.0,0.55,0.4091667960164032,0.0,5.0,0.0
19,100020.0,0.0,0.0,0.0,0.57,0.1313355236717769,0.0,5.0,0.0
20,100021.0,1.0,0.0,1.0,0.89,0.31421018490012775,0.0,5.0,0.0
21,100022.0,0.0,1.0,0.0,0.69,0.5112839826691288,0.0,5.0,0.0
22,100023.0,0.0,0.0,0.0,0.55,0.5583214055902269,0.0,5.0,0.0
23,100024.0,1.0,0.0,1.0,0.71,0.27806681953682666,0.0,5.0,0.0
24,100025.0,0.0,1.0,1.0,0.22,0.22948140655719296,0.0,5.0,0.0
25,100026.0,0.0,1.0,0.0,0.07,0.22431741969790467,0.0,5.0,0.0
26,100027.0,1.0,1.0,1.0,0.79,0.19476817433825347,0.0,5.0,0.0
27,100028.0,0.0,1.0,1.0,0.83,0.20486724960685426,0.0,5.0,0.0
28,100029.0,1.0,1.0,0.0,0.75,0.10570805625023884,0.0,5.0,0.0
29,100030.0,1.0,1.0,1.0,0.16,0.3185813074979831,0.0,5.0,0.0
30,100031.0,1.0,1.0,1.0,0.66,0.4448767111899283,0.0,5.0,0.0
31,100032.0,1.0,0.0,0.0,0.31,0.7512946501592611,0.0,5.0,0.0
32,100033.0,1.0,0.0,0.0,0.16,0.2034049553667286,0.0,5.0,0.0
33,100034.0,0.0,0.0,1.0,0.33,0.5499214209763601,0.0,5.0,0.0
