,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,1.0,1.0,1.0,0.22,0.3016276342140944,0.0,5.0,0.0
1,100002.0,1.0,1.0,0.0,0.11,0.3502918149203099,0.0,5.0,0.0
2,100003.0,0.0,0.0,0.0,0.78,0.4114298348838715,0.0,5.0,0.0
3,100004.0,0.0,1.0,0.0,0.49,0.2548759173870297,0.0,5.0,0.0
4,100005.0,1.0,1.0,1.0,0.63,0.16564424104145564,0.0,5.0,0.0
5,100006.0,1.0,0.0,0.0,0.13,0.12842040309097796,0.0,5.0,0.0
6,100007.0,1.0,1.0,0.0,0.15,0.32722859234858737,0.0,5.0,0.0
7,100008.0,0.0,1.0,0.0,0.35,0.1496461800708705,0.0,5.0,0.0
8,100009.0,0.0,0.0,1.0,0.92,0.5706405736248289,0.0,5.0,0.0
9,100010.0,0.0,0.0,0.0,0.09,0.16878873317559034,0.0,5.0,0.0
10,100011.0,0.0,1.0,1.0,0.03,0.030560087586995074,0.0,5.0,0.0
11,100012.0,0.0,0.0,1.0,0.03,0.35029139740674947,0.0,5.0,0.0
12,100013.0,0.0,0.0,0.0,0.13,0.22261996386889726,0.0,5.0,0.0
13,100014.0,1.0,0.0,1.0,0.76,0.06330808897018415,0.0,5.0,0.0
14,100015.0,1.0,1.0,1.0,0.69,0.07124441903078951,0.0,5.0,0.0
15,100016.0,1.0,0.0,1.0,0.66,0.6138588004523094,0.0,5.0,0.0
16,100017.0,0.0,1.0,1.0,0.22,0.565086753652788,0.0,5.0,0.0
17,100018.0,1.0,1.0,0.0,0.54,0.46447642367947883,0.0,5.0,0.0
18,100019.0,1.0,1.0,1.0,0.35,0.32425896541955285,0.0,5.0,0.0
19,100020.0,0.0,1.0,1.0,0.7,0.07234729461411026,0.0,5.0,0.0
20,100021.0,1.0,0.0,0.0,0.05,0.0846772710623991,0.0,5.0,0.0
21,100022.0,0.0,1.0,1.0,0.66,0.4140850249002494,0.0,5.0,0.0
22,100023.0,1.0,1.0,0.0,0.11,0.25858522716808063,0.0,5.0,0.0
23,100024.0,0.0,1.0,1.0,0.27,0.407521673592785,0.0,5.0,0.0
24,100025.0,0.0,1.0,0.0,0.44,0.3492866240808077,0.0,5.0,0.0
25,100026.0,0.0,0.0,1.0,0.48,0.17571949502124992,0.0,5.0,0.0
26,100027.0,1.0,1.0,0.0,0.68,0.15284393767841403,0.0,5.0,0.0
27,100028.0,0.0,0.0,0.0,0.75,0.3972682570525896,0.0,5.0,0.0
28,100029.0,1.0,1.0,1.0,0.97,0.15483820205232846,0.0,5.0,0.0
29,100030.0,1.0,1.0,0.0,0.23,0.3701647961405364,0.0,5.0,0.0
30,100031.0,1.0,1.0,1.0,0.86,0.4346689079629022,0.0,5.0,0.0
31,100032.0,1.0,0.0,0.0,0.29,0.44919835409885545,0.0,5.0,0.0
32,100033.0,1.0,1.0,1.0,0.26,0.41928392955393323,0.0,5.0,0.0
33,100034.0,1.0,0.0,0.0,1.0,0.285701265124034,0.0,5.0,0.0
34,100035.0,0.0,1.0,1.0,0.56,0.11915409133992859,0.0,5.0,0.0
35,100036.0,1.0,1.0,0.0,0.5,0.5903070403344218,0.0,5.0,1.0
36,100037.0,1.0,0.0,0.0,0.59,0.5271489336074338,0.0,5.0,0.0
37,100038.0,0.0,1.0,0.0,0.96,0.4313124751538442,0.0,5.0,0.0
38,100039.0,1.0,0.0,1.0,0.19,0.522657825949185,0.0,5.0,0.0
39,100040.0,0.0,0.0,1.0,0.37,0.4741049245640668,0.0,5.0,0.0
40,100041.0,1.0,1.0,0.0,0.61,0.6378270799155251,0.0,5.0,1.0
41,100042.0,0.0,1.0,1.0,0.52,0.43296506062276224,0.0,5.0,0.0
