,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,1.0,1.0,0.0,0.67,0.5113747506304621,1.0,9.0,0.0
1,100002.0,0.0,0.0,1.0,0.62,0.2017883130247056,1.0,9.0,0.0
2,100003.0,1.0,0.0,1.0,0.51,0.07428287877659019,1.0,9.0,0.0
3,100004.0,1.0,0.0,0.0,0.8,0.23589172066786623,1.0,9.0,0.0
4,100005.0,1.0,0.0,0.0,0.58,0.01935426223848384,1.0,9.0,0.0
5,100006.0,0.0,1.0,1.0,0.37,0.34606108040222167,1.0,9.0,0.0
6,100007.0,0.0,1.0,1.0,0.77,0.39247253330293624,1.0,9.0,0.0
7,100008.0,1.0,0.0,1.0,0.75,0.3736163403199687,1.0,9.0,0.0
8,100009.0,1.0,1.0,1.0,0.76,0.36782499661609575,1.0,9.0,0.0
9,100010.0,0.0,1.0,0.0,0.35,0.6739435108633641,1.0,9.0,0.0
10,100011.0,0.0,1.0,1.0,0.7,0.3183382299760893,1.0,9.0,0.0
11,100012.0,1.0,1.0,0.0,0.6,0.3990947470809921,1.0,9.0,0.0
12,100013.0,0.0,0.0,0.0,0.26,0.145808111970548,1.0,9.0,0.0
13,100014.0,1.0,0.0,1.0,0.03,0.14885687245147797,1.0,9.0,0.0
14,100015.0,1.0,0.0,1.0,0.13,0.3494996241855547,1.0,9.0,0.0
15,100016.0,1.0,0.0,1.0,0.38,0.4621098893061219,1.0,9.0,0.0
16,100017.0,0.0,0.0,0.0,0.79,0.41199834299139043,1.0,9.0,0.0
17,100018.0,0.0,1.0,0.0,0.98,0.20812093948268068,1.0,9.0,0.0
18,100019.0,1.0,1.0,1.0,0.03,0.19352295323430602,1.0,9.0,0.0
19,100020.0,1.0,0.0,1.0,0.79,0.06727415128565455,1.0,9.0,0.0
20,100021.0,0.0,1.0,0.0,0.31,0.014411407134942423,1.0,9.0,0.0
21,100022.0,0.0,0.0,1.0,0.56,0.019802859673785943,1.0,9.0,0.0
22,100023.0,1.0,0.0,0.0,0.73,0.3171269492806634,1.0,9.0,0.0
23,100024.0,0.0,1.0,1.0,0.11,0.4368124375967439,1.0,9.0,0.0
24,100025.0,0.0,0.0,1.0,0.38,0.009753477248938502,1.0,9.0,0.0
25,100026.0,1.0,1.0,1.0,0.15,0.3832649019078004,1.0,9.0,0.0
26,100027.0,0.0,1.0,1.0,0.88,0.08015468405755977,1.0,9.0,0.0
27,100028.0,0.0,0.0,1.0,0.42,0.18825012677512654,1.0,9.0,0.0
28,100029.0,1.0,1.0,1.0,0.81,0.5221355615544868,1.0,9.0,0.0
29,100030.0,1.0,1.0,0.0,0.95,0.0991538281690776,1.0,9.0,0.0
30,100031.0,1.0,1.0,1.0,0.4,0.2333779108900214,1.0,9.0,0.0
31,100032.0,1.0,0.0,0.0,0.33,0.5146149195905423,1.0,9.0,0.0
32,100033.0,1.0,0.0,0.0,0.06,0.37867259781104773,1.0,9.0,0.0
33,100034.0,1.0,0.0,1.0,0.97,0.17604964073227772,1.0,9.0,0.0
34,100035.0,0.0,1.0,1.0,0.99,0.5792060367993425,1.0,9.0,0.0
35,100036.0,1.0,0.0,0.0,0.98,0.12018342690233172,1.0,9.0,0.0
36,100037.0,0.0,0.0,0.0,0.01,0.14916605542990347,1.0,9.0,0.0
37,100038.0,1.0,0.0,0.0,0.2,0.5267336382891742,1.0,9.0,0.0
38,100039.0,0.0,1.0,0.0,0.38,0.0581474841056079,1.0,9.0,0.0
39,100040.0,1.0,1.0,0.0,1.0,0.4360176497725953,1.0,9.0,0.0
40,100041.0,1.0,1.0,1.0,0.35,0.05943200872523467,1.0,9.0,0.0
41,100042.0,1.0,0.0,1.0,0.22,0.43255249626817677,1.0,9.0,0.0
42,100043.0,1.0,1.0,1.0,0.49,0.3649550884305004,1.0,9.0,0.0
43,100044.0,0.0,1.0,0.0,0.81,0.15335391889913527,1.0,9.0,0.0
44,100045.0,1.0,1.0,1.0,0.13,0.5329252897479083,1.0,9.0,0.0
45,100046.0,0.0,0.0,1.0,0.12,0.11743237740638497,1.0,9.0,0.0
46,100047.0,1.0,1.0,1.0,0.57,0.5297236867439362,1.0,9.0,0.0
47,100048.0,1.0,1.0,1.0,0.3,0.3513949069907534,1.0,9.0,0.0
48,100049.0,0.0,1.0,1.0,0.29,0.15336043072757222,1.0,9.0,0.0
49,100050.0,0.0,1.0,1.0,0.53,0.4158729442637112,1.0,9.0,0.0
50,100051.0,0.0,0.0,1.0,0.92,0.03430849479915167,1.0,9.0,0.0
51,100052.0,1.0,1.0,1.0,0.79,0.09048959615998978,1.0,9.0,0.0
52,100053.0,1.0,0.0,1.0,0.87,0.25198433013324023,1.0,9.0,0.0
53,100054.0,0.0,0.0,0.0,0.7,0.050255530135603445,1.0,9.0,0.0
54,100055.0,0.0,1.0,1.0,0.48,0.256835809444324,1.0,9.0,0.0
55,100056.0,0.0,1.0,0.0,0.2,0.4119618548449704,1.0,9.0,0.0
56,100057.0,1.0,0.0,0.0,0.59,0.6729207451130022,1.0,9.0,0.0
57,100058.0,0.0,1.0,1.0,0.54,0.36838968788152154,1.0,9.0,0.0
58,100059.0,1.0,0.0,1.0,0.99,0.3355241814215969,1.0,9.0,0.0
59,100060.0,0.0,1.0,0.0,0.08,0.32402057197082434,1.0,9.0,0.0
60,100061.0,1.0,0.0,1.0,0.28,0.4796142161137713,1.0,9.0,0.0
61,100062.0,0.0,1.0,0.0,0.87,0.3367448524860117,1.0,9.0,0.0
62,100063.0,0.0,0.0,1.0,0.11,0.28434704394696686,1.0,9.0,0.0
63,100064.0,1.0,1.0,1.0,0.26,0.1907383198606456,1.0,9.0,0.0
64,100065.0,0.0,0.0,1.0,0.09,0.2773794504658133,1.0,9.0,0.0
65,100066.0,0.0,0.0,1.0,0.69,0.04553771531057088,1.0,9.0,0.0
66,100067.0,0.0,0.0,0.0,0.11,0.4689183361953111,1.0,9.0,0.0
67,100068.0,1.0,0.0,0.0,0.3,0.8387889776133517,1.0,9.0,0.0
68,100069.0,1.0,1.0,0.0,0.89,0.30235985345239397,1.0,9.0,0.0
69,100070.0,0.0,0.0,0.0,0.98,0.7210441184140219,1.0,9.0,0.0
70,100071.0,0.0,0.0,0.0,0.77,0.19492550079757648,1.0,9.0,0.0
71,100072.0,1.0,0.0,1.0,0.77,0.34005553714539194,1.0,9.0,0.0
72,100073.0,1.0,0.0,1.0,0.91,0.3942615761960368,1.0,9.0,0.0
73,100074.0,1.0,0.0,1.0,0.22,0.4057256699686418,1.0,9.0,0.0
74,100075.0,0.0,0.0,1.0,0.56,0.23877771936819103,1.0,9.0,0.0
75,100076.0,1.0,0.0,0.0,0.17,0.18997353954512466,1.0,9.0,0.0
76,100077.0,1.0,1.0,0.0,0.41,0.20171227131134667,1.0,9.0,0.0
77,100078.0,1.0,0.0,0.0,0.26,0.4216065160277194,1.0,9.0,0.0
78,100079.0,0.0,1.0,1.0,0.75,0.3395661997498032,1.0,9.0,0.0
79,100080.0,1.0,1.0,1.0,0.99,0.38882356928449785,1.0,9.0,0.0
80,100081.0,0.0,0.0,1.0,0.46,0.2563197043093789,1.0,9.0,0.0
81,100082.0,0.0,1.0,1.0,0.58,0.6970353535335212,1.0,9.0,0.0
82,100083.0,1.0,1.0,0.0,0.76,0.3675327328245607,1.0,9.0,0.0
83,100084.0,0.0,1.0,1.0,0.98,0.083641131730585,1.0,9.0,0.0
84,100085.0,1.0,0.0,0.0,0.37,0.1694009398233247,1.0,9.0,0.0
85,100086.0,0.0,0.0,1.0,0.86,0.7633681571831544,1.0,9.0,0.0
86,100087.0,1.0,0.0,0.0,0.37,0.34944402893745163,1.0,9.0,0.0
87,100088.0,0.0,1.0,1.0,0.9,0.13507404258613004,1.0,9.0,0.0
88,100089.0,1.0,0.0,0.0,0.33,0.33714466260443465,1.0,9.0,0.0
89,100090.0,1.0,1.0,0.0,0.66,0.32891293222741236,1.0,9.0,0.0
90,100091.0,0.0,0.0,1.0,0.43,0.21419110336172384,1.0,9.0,0.0
91,100092.0,1.0,1.0,0.0,0.66,0.4481004847293415,1.0,9.0,0.0
92,100093.0,1.0,1.0,0.0,0.78,0.41819854727013756,1.0,9.0,0.0
93,100094.0,0.0,1.0,1.0,0.56,0.4905786895735579,1.0,9.0,0.0
94,100095.0,1.0,1.0,0.0,0.74,0.25505674464305306,1.0,9.0,0.0
95,100096.0,0.0,0.0,0.0,0.96,0.6999615528753981,1.0,9.0,0.0
96,100097.0,0.0,1.0,1.0,0.23,0.033507599356838724,1.0,9.0,0.0
97,100098.0,0.0,0.0,1.0,0.99,0.25525745353901313,1.0,9.0,0.0
98,100099.0,0.0,0.0,0.0,0.68,0.3729652924163437,1.0,9.0,0.0
99,100100.0,1.0,0.0,1.0,0.15,0.05746071216285064,1.0,9.0,0.0
100,100101.0,0.0,1.0,0.0,0.98,0.22128698229419105,1.0,9.0,0.0
101,100102.0,0.0,1.0,0.0,0.6,0.0472617209706456,1.0,9.0,0.0
102,100103.0,0.0,0.0,1.0,0.99,0.37683108109592167,1.0,9.0,0.0
103,100104.0,1.0,1.0,0.0,0.37,0.5380109454931465,1.0,9.0,0.0
104,100105.0,0.0,0.0,1.0,0.15,0.14903092468860452,1.0,9.0,0.0
105,100106.0,1.0,1.0,0.0,0.04,0.37604338020842226,1.0,9.0,0.0
106,100107.0,0.0,0.0,1.0,0.59,0.23088208157582468,1.0,9.0,0.0
107,100108.0,0.0,1.0,1.0,0.61,0.35670476662206524,1.0,9.0,0.0
108,100109.0,1.0,1.0,0.0,0.45,0.4095385422089536,1.0,9.0,0.0
109,100110.0,0.0,0.0,1.0,0.85,0.6292466295549209,1.0,9.0,0.0
110,100111.0,1.0,0.0,1.0,0.04,0.8407810610928008,1.0,9.0,0.0
111,100112.0,1.0,0.0,0.0,0.77,0.3073330046068996,1.0,9.0,0.0
112,100113.0,0.0,0.0,0.0,0.63,0.4346240699468969,1.0,9.0,0.0
113,100114.0,0.0,1.0,0.0,0.09,0.38978848235814423,1.0,9.0,0.0
114,100115.0,0.0,1.0,0.0,0.45,0.30086473066928965,1.0,9.0,0.0
115,100116.0,0.0,0.0,1.0,0.12,0.8368683909372391,1.0,9.0,0.0
116,100117.0,0.0,0.0,1.0,0.22,0.2731153094018044,1.0,9.0,0.0
117,100118.0,1.0,0.0,1.0,0.12,0.3234617015077619,1.0,9.0,0.0
