,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,1.0,0.0,0.0,0.04,0.30637021283388916,1.0,5.0,0.0
1,100002.0,1.0,1.0,0.0,0.51,0.019131013061700265,1.0,5.0,0.0
2,100003.0,1.0,1.0,0.0,0.18,0.48692236340124184,1.0,5.0,0.0
3,100004.0,1.0,1.0,1.0,0.21,0.06832743308124925,1.0,5.0,0.0
4,100005.0,1.0,0.0,0.0,0.14,0.0012356320358148092,1.0,5.0,0.0
5,100006.0,0.0,1.0,1.0,0.58,0.26254884496339564,1.0,5.0,0.0
6,100007.0,1.0,1.0,1.0,0.3,0.21190617949449894,1.0,5.0,0.0
7,100008.0,1.0,0.0,0.0,0.35,0.10996410757333853,1.0,5.0,0.0
8,100009.0,0.0,0.0,1.0,0.05,0.7504478078817168,1.0,5.0,0.0
9,100010.0,0.0,1.0,1.0,0.23,0.051340813620574785,1.0,5.0,0.0
10,100011.0,0.0,0.0,1.0,0.5,0.3592167337120656,1.0,5.0,0.0
11,100012.0,0.0,0.0,1.0,0.33,0.486507743895901,1.0,5.0,0.0
12,100013.0,1.0,1.0,1.0,0.83,0.40314465372305697,1.0,5.0,0.0
13,100014.0,0.0,0.0,0.0,0.56,0.005849460053740648,1.0,5.0,0.0
14,100015.0,1.0,0.0,1.0,0.45,0.3188463509160258,1.0,5.0,0.0
15,100016.0,1.0,0.0,0.0,0.66,0.20734816356441685,1.0,5.0,0.0
16,100017.0,1.0,1.0,1.0,0.43,0.5157223151743032,1.0,5.0,0.0
17,100018.0,1.0,1.0,0.0,0.07,0.4339172570931799,1.0,5.0,0.0
18,100019.0,1.0,1.0,0.0,0.7,0.003955883400685358,1.0,5.0,0.0
19,100020.0,0.0,0.0,1.0,0.51,0.5795013688108558,1.0,5.0,0.0
20,100021.0,1.0,1.0,0.0,0.08,0.32869089740191926,1.0,5.0,0.0
21,100022.0,0.0,0.0,0.0,0.92,0.23850474770209146,1.0,5.0,0.0
22,100023.0,0.0,0.0,0.0,0.59,0.3020074649768444,1.0,5.0,0.0
23,100024.0,1.0,1.0,0.0,0.22,0.22192303920136508,1.0,5.0,0.0
24,100025.0,1.0,1.0,1.0,0.57,0.34682629780814794,1.0,5.0,0.0
25,100026.0,1.0,1.0,0.0,0.89,0.5509056301129287,1.0,5.0,1.0
26,100027.0,1.0,1.0,1.0,0.19,0.523497481288443,1.0,5.0,0.0
27,100028.0,1.0,0.0,0.0,0.31,0.2929277190713669,1.0,5.0,0.0
28,100029.0,0.0,1.0,1.0,0.72,0.6372566858960657,1.0,5.0,0.0
29,100030.0,0.0,1.0,0.0,0.32,0.5990556484436995,1.0,5.0,0.0
30,100031.0,1.0,0.0,0.0,0.47,0.4530889034283913,1.0,5.0,0.0
31,100032.0,0.0,1.0,1.0,0.84,0.2037718768200876,1.0,5.0,0.0
32,100033.0,0.0,1.0,0.0,0.38,0.20876834201876493,1.0,5.0,0.0
33,100034.0,1.0,1.0,1.0,0.07,0.18085648625698234,1.0,5.0,0.0
34,100035.0,0.0,0.0,1.0,0.72,0.4674341952990935,1.0,5.0,0.0
35,100036.0,1.0,1.0,0.0,0.24,0.13789269172487986,1.0,5.0,0.0
36,100037.0,0.0,0.0,0.0,0.68,0.12651338759247752,1.0,5.0,0.0
37,100038.0,1.0,0.0,1.0,0.27,0.27247515054562055,1.0,5.0,0.0
38,100039.0,1.0,1.0,0.0,0.17,0.1954565007028355,1.0,5.0,0.0
39,100040.0,1.0,0.0,1.0,0.97,0.849768077855919,1.0,5.0,0.0
40,100041.0,1.0,1.0,0.0,0.66,0.06805502218700933,1.0,5.0,0.0
41,100042.0,1.0,0.0,1.0,0.13,0.1715313644656211,1.0,5.0,0.0
42,100043.0,0.0,1.0,1.0,0.82,0.36964629381014596,1.0,5.0,0.0
43,100044.0,0.0,0.0,0.0,0.78,0.20949739671844508,1.0,5.0,0.0
44,100045.0,1.0,0.0,1.0,0.52,0.4388442931685443,1.0,5.0,0.0
45,100046.0,1.0,0.0,0.0,0.72,0.47533081828661994,1.0,5.0,0.0
46,100047.0,0.0,0.0,1.0,0.06,0.41735768079062213,1.0,5.0,0.0
47,100048.0,1.0,1.0,1.0,0.1,0.2001914465043053,1.0,5.0,0.0
48,100049.0,0.0,1.0,1.0,0.33,0.6559107903990208,1.0,5.0,0.0
49,100050.0,1.0,1.0,0.0,0.67,0.4596736446761303,1.0,5.0,1.0
50,100051.0,0.0,0.0,1.0,0.14,0.6709848808081281,1.0,5.0,0.0
51,100052.0,0.0,1.0,1.0,0.03,0.42668193401795496,1.0,5.0,0.0
52,100053.0,1.0,0.0,0.0,0.32,0.07040573612508937,1.0,5.0,0.0
53,100054.0,1.0,1.0,1.0,0.66,0.34067363091132846,1.0,5.0,0.0
54,100055.0,0.0,0.0,0.0,0.87,0.03907617766672541,1.0,5.0,0.0
55,100056.0,1.0,1.0,0.0,0.46,0.20317963537848294,1.0,5.0,0.0
56,100057.0,0.0,1.0,0.0,0.88,0.43225175014001505,1.0,5.0,0.0
57,100058.0,0.0,1.0,1.0,0.9,0.4317655557163035,1.0,5.0,0.0
58,100059.0,0.0,0.0,0.0,0.97,0.2762447929446465,1.0,5.0,0.0
59,100060.0,0.0,1.0,0.0,0.94,0.2907627069985675,1.0,5.0,0.0
60,100061.0,1.0,0.0,1.0,0.21,0.06883455031385369,1.0,5.0,0.0
61,100062.0,1.0,0.0,0.0,0.76,0.6042396556268569,1.0,5.0,0.0
62,100063.0,0.0,0.0,1.0,0.21,0.27013985011816094,1.0,5.0,0.0
63,100064.0,0.0,0.0,0.0,0.45,0.4177612830531425,1.0,5.0,0.0
64,100065.0,0.0,1.0,1.0,0.23,0.32026940842127744,1.0,5.0,0.0
65,100066.0,0.0,0.0,0.0,0.77,0.6254170954479316,1.0,5.0,0.0
66,100067.0,1.0,1.0,1.0,0.79,0.34042726793598055,1.0,5.0,0.0
67,100068.0,0.0,0.0,0.0,0.72,0.09914897183224612,1.0,5.0,0.0
68,100069.0,1.0,1.0,1.0,0.39,0.3506197774144205,1.0,5.0,0.0
69,100070.0,0.0,1.0,1.0,0.85,0.3632255289495833,1.0,5.0,0.0
70,100071.0,1.0,0.0,0.0,0.37,0.19021984660565563,1.0,5.0,0.0
71,100072.0,0.0,1.0,1.0,0.16,0.3122784982856595,1.0,5.0,0.0
72,100073.0,0.0,1.0,0.0,0.9,0.6037753426640466,1.0,5.0,0.0
73,100074.0,1.0,0.0,0.0,0.94,0.4179507365556508,1.0,5.0,0.0
74,100075.0,0.0,0.0,1.0,0.83,0.5732915235964072,1.0,5.0,0.0
75,100076.0,1.0,0.0,1.0,0.47,0.3321452549861562,1.0,5.0,0.0
76,100077.0,0.0,0.0,0.0,0.11,0.5670724600458119,1.0,5.0,0.0
77,100078.0,1.0,0.0,1.0,0.66,0.14203305850091602,1.0,5.0,0.0
78,100079.0,1.0,1.0,0.0,0.93,0.4144262456300522,1.0,5.0,0.0
79,100080.0,0.0,1.0,1.0,0.9,0.2657243296801225,1.0,5.0,0.0
80,100081.0,1.0,0.0,1.0,0.63,0.2066165139211389,1.0,5.0,0.0
81,100082.0,0.0,1.0,0.0,0.71,0.35077110424775987,1.0,5.0,0.0
82,100083.0,0.0,0.0,1.0,0.53,0.3249318442716989,1.0,5.0,0.0
83,100084.0,0.0,0.0,0.0,0.11,0.20363577323681215,1.0,5.0,0.0
84,100085.0,0.0,0.0,0.0,0.08,0.3452843763178509,1.0,5.0,0.0
85,100086.0,1.0,1.0,0.0,0.66,0.615803061359315,1.0,5.0,1.0
86,100087.0,1.0,0.0,0.0,0.45,0.349820729144554,1.0,5.0,0.0
87,100088.0,1.0,0.0,0.0,0.67,0.3382761892807429,1.0,5.0,0.0
88,100089.0,1.0,1.0,1.0,0.73,0.042293613585125574,1.0,5.0,0.0
89,100090.0,1.0,0.0,1.0,0.98,0.6972300254625239,1.0,5.0,0.0
90,100091.0,1.0,0.0,1.0,0.22,0.16184602085083638,1.0,5.0,0.0
91,100092.0,1.0,1.0,0.0,0.97,0.3772715112667521,1.0,5.0,0.0
92,100093.0,0.0,1.0,0.0,0.36,0.6199694242360718,1.0,5.0,0.0
93,100094.0,0.0,1.0,0.0,0.66,0.4564336943771679,1.0,5.0,0.0
94,100095.0,0.0,1.0,1.0,0.21,0.42144393246375556,1.0,5.0,0.0
95,100096.0,0.0,1.0,0.0,0.91,0.44969659648609844,1.0,5.0,0.0
96,100097.0,0.0,1.0,1.0,0.02,0.5738935743370309,1.0,5.0,0.0
97,100098.0,0.0,0.0,0.0,0.87,0.3625354216313888,1.0,5.0,0.0
98,100099.0,0.0,0.0,1.0,0.66,0.3915339751323786,1.0,5.0,0.0
99,100100.0,1.0,0.0,1.0,0.74,0.2748423187954902,1.0,5.0,0.0
100,100101.0,0.0,1.0,1.0,0.88,0.22186196770023203,1.0,5.0,0.0
101,100102.0,1.0,1.0,0.0,0.04,0.38003611471230303,1.0,5.0,0.0
102,100103.0,1.0,0.0,0.0,0.88,0.37245340240084973,1.0,5.0,0.0
103,100104.0,1.0,0.0,0.0,0.28,0.2632841945069618,1.0,5.0,0.0
104,100105.0,0.0,0.0,0.0,0.21,0.3214185187572512,1.0,5.0,0.0
105,100106.0,0.0,1.0,0.0,0.86,0.1530787653156681,1.0,5.0,0.0
106,100107.0,0.0,1.0,0.0,0.38,0.32193456900034695,1.0,5.0,0.0
107,100108.0,0.0,0.0,1.0,0.72,0.007674127201407295,1.0,5.0,0.0
108,100109.0,1.0,1.0,0.0,0.84,0.7716769592647492,1.0,5.0,1.0
109,100110.0,1.0,0.0,0.0,0.64,0.09934400339385063,1.0,5.0,0.0
110,100111.0,1.0,0.0,1.0,0.44,0.20766869886902908,1.0,5.0,0.0
111,100112.0,1.0,0.0,0.0,0.33,0.16730784697349202,1.0,5.0,0.0
112,100113.0,1.0,0.0,0.0,0.72,0.33351016581728415,1.0,5.0,0.0
113,100114.0,0.0,0.0,0.0,0.38,0.46870275865983685,1.0,5.0,0.0
114,100115.0,0.0,0.0,1.0,0.4,0.33068687589945023,1.0,5.0,0.0
115,100116.0,0.0,1.0,1.0,0.83,0.320987384991534,1.0,5.0,0.0
116,100117.0,1.0,1.0,0.0,0.25,0.41639354841984866,1.0,5.0,0.0
117,100118.0,0.0,0.0,1.0,0.49,0.05989181553975184,1.0,5.0,0.0
118,100119.0,1.0,0.0,1.0,0.64,0.37842626234300003,1.0,5.0,0.0
119,100120.0,1.0,0.0,1.0,0.72,0.3581752826307466,1.0,5.0,0.0
120,100121.0,1.0,0.0,1.0,0.38,0.4408295193898558,1.0,5.0,0.0
121,100122.0,0.0,0.0,0.0,0.15,0.29385564615502624,1.0,5.0,0.0
122,100123.0,0.0,1.0,1.0,0.15,0.6428264776311788,1.0,5.0,0.0
123,100124.0,1.0,0.0,0.0,0.94,0.3003889499749193,1.0,5.0,0.0
124,100125.0,1.0,0.0,0.0,0.87,0.2003081661341289,1.0,5.0,0.0
125,100126.0,1.0,1.0,0.0,0.22,0.1010793536553058,1.0,5.0,0.0
126,100127.0,0.0,1.0,1.0,0.11,0.3634410435228222,1.0,5.0,0.0
127,100128.0,0.0,1.0,1.0,0.41,0.25233867278395167,1.0,5.0,0.0
128,100129.0,0.0,0.0,0.0,0.65,0.44593056437634976,1.0,5.0,0.0
129,100130.0,1.0,1.0,0.0,0.03,0.4042065776265615,1.0,5.0,0.0
130,100131.0,0.0,1.0,1.0,0.55,0.5175884804794546,1.0,5.0,0.0
131,100132.0,1.0,1.0,0.0,0.5,0.4154961989696151,1.0,5.0,0.0
132,100133.0,0.0,0.0,0.0,0.95,0.13662245966074063,1.0,5.0,0.0
133,100134.0,1.0,1.0,1.0,0.29,0.5641079158719188,1.0,5.0,0.0
134,100135.0,0.0,0.0,0.0,0.38,0.2218745757704866,1.0,5.0,0.0
135,100136.0,0.0,0.0,1.0,0.74,0.0061304125141764376,1.0,5.0,0.0
136,100137.0,1.0,0.0,1.0,0.39,0.4170728311420658,1.0,5.0,0.0
137,100138.0,0.0,0.0,1.0,0.11,0.04922882676401408,1.0,5.0,0.0
138,100139.0,0.0,0.0,1.0,0.76,0.35038913422136747,1.0,5.0,0.0
139,100140.0,0.0,1.0,0.0,0.11,0.2424950621144649,1.0,5.0,0.0
140,100141.0,0.0,1.0,0.0,0.99,0.6810890177649498,1.0,5.0,0.0
141,100142.0,1.0,1.0,1.0,0.42,0.5157711849695235,1.0,5.0,0.0
142,100143.0,1.0,0.0,0.0,0.98,0.37345525471991997,1.0,5.0,0.0
143,100144.0,1.0,1.0,0.0,0.92,0.5122486482065478,1.0,5.0,1.0
144,100145.0,0.0,0.0,1.0,0.59,0.33192510843065154,1.0,5.0,0.0
145,100146.0,0.0,0.0,1.0,0.01,0.38118985853067566,1.0,5.0,0.0
146,100147.0,0.0,1.0,1.0,0.43,0.023239213981013352,1.0,5.0,0.0
147,100148.0,0.0,0.0,1.0,0.9,0.30560974485344505,1.0,5.0,0.0
148,100149.0,0.0,1.0,1.0,0.55,0.4113277556330944,1.0,5.0,0.0
149,100150.0,0.0,1.0,1.0,0.2,0.3631809968529751,1.0,5.0,0.0
150,100151.0,0.0,1.0,1.0,0.9,0.46698602344824486,1.0,5.0,0.0
151,100152.0,1.0,0.0,0.0,0.91,0.12283778904461401,1.0,5.0,0.0
152,100153.0,0.0,0.0,1.0,0.17,0.6138994431203596,1.0,5.0,0.0
153,100154.0,0.0,1.0,0.0,0.63,0.05685226373543674,1.0,5.0,0.0
154,100155.0,1.0,1.0,0.0,0.33,0.23589499444148207,1.0,5.0,0.0
155,100156.0,1.0,0.0,0.0,0.08,0.3210349638505695,1.0,5.0,0.0
156,100157.0,0.0,1.0,0.0,0.7,0.29666089717267136,1.0,5.0,0.0
157,100158.0,1.0,1.0,1.0,0.26,0.430862471228684,1.0,5.0,0.0
158,100159.0,1.0,0.0,0.0,0.04,0.4120425273332769,1.0,5.0,0.0
