,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,0.0,1.0,0.0,0.27,0.30331278589418004,0.0,2.0,0.0
1,100002.0,1.0,0.0,0.0,0.22,0.2165434754182126,0.0,2.0,0.0
2,100003.0,1.0,0.0,0.0,0.74,0.38105624440985625,0.0,2.0,0.0
3,100004.0,1.0,1.0,1.0,0.96,0.14102452104320595,0.0,2.0,0.0
4,100005.0,1.0,1.0,0.0,0.4,0.3610930588086647,0.0,2.0,0.0
5,100006.0,1.0,1.0,1.0,0.55,0.34607321671128505,0.0,2.0,0.0
6,100007.0,1.0,0.0,1.0,0.91,0.5970343834078592,0.0,2.0,0.0
7,100008.0,1.0,1.0,1.0,0.67,0.36996758931649665,0.0,2.0,0.0
8,100009.0,0.0,1.0,0.0,0.31,0.6570310950817073,0.0,2.0,0.0
9,100010.0,1.0,1.0,1.0,0.26,0.5629179572619961,0.0,2.0,0.0
10,100011.0,1.0,1.0,1.0,0.4,0.4789043890736358,0.0,2.0,0.0
11,100012.0,0.0,0.0,1.0,0.1,0.3797894995773679,0.0,2.0,0.0
12,100013.0,1.0,1.0,1.0,0.35,0.46633414901302056,0.0,2.0,0.0
13,100014.0,0.0,0.0,0.0,0.75,0.4615677072874928,0.0,2.0,0.0
14,100015.0,1.0,1.0,0.0,1.0,0.5414396496087054,0.0,2.0,0.0
15,100016.0,0.0,0.0,1.0,0.31,0.02226245478850664,0.0,2.0,0.0
16,100017.0,0.0,1.0,1.0,0.49,0.4287970312170755,0.0,2.0,0.0
17,100018.0,1.0,0.0,0.0,0.37,0.32655654049715416,0.0,2.0,0.0
18,100019.0,0.0,0.0,1.0,0.54,0.5018675561131568,0.0,2.0,0.0
19,100020.0,0.0,0.0,0.0,0.76,0.44652414189691964,0.0,2.0,0.0
20,100021.0,1.0,1.0,0.0,0.38,0.0057699471726250515,0.0,2.0,0.0
21,100022.0,1.0,1.0,1.0,0.47,0.1823081274900477,0.0,2.0,0.0
22,100023.0,1.0,1.0,1.0,0.1,0.3019503079675456,0.0,2.0,0.0
23,100024.0,1.0,0.0,0.0,0.12,0.4830715019512281,0.0,2.0,0.0
24,100025.0,1.0,0.0,1.0,0.94,0.021826387795966833,0.0,2.0,0.0
25,100026.0,0.0,0.0,1.0,1.0,0.23186137911109103,0.0,2.0,0.0
26,100027.0,1.0,1.0,1.0,0.45,0.7593264703318896,0.0,2.0,0.0
27,100028.0,1.0,1.0,1.0,0.6,0.5395870672008624,0.0,2.0,0.0
28,100029.0,1.0,1.0,1.0,0.02,0.36081377387383995,0.0,2.0,0.0
29,100030.0,0.0,0.0,0.0,0.34,0.09402181657289463,0.0,2.0,0.0
30,100031.0,0.0,1.0,0.0,0.56,0.3801966832097492,0.0,2.0,0.0
31,100032.0,0.0,0.0,0.0,0.69,0.5079790722804214,0.0,2.0,0.0
32,100033.0,1.0,1.0,0.0,0.18,0.12616667874495258,0.0,2.0,0.0
33,100034.0,0.0,1.0,1.0,0.72,0.3831919242602845,0.0,2.0,0.0
34,100035.0,1.0,0.0,1.0,0.51,0.5712568600030903,0.0,2.0,0.0
35,100036.0,0.0,1.0,1.0,0.41,0.046346412616439785,0.0,2.0,0.0
36,100037.0,1.0,1.0,0.0,0.58,0.28596506177171876,0.0,2.0,0.0
37,100038.0,1.0,1.0,0.0,0.31,0.3389357340223698,0.0,2.0,0.0
38,100039.0,1.0,1.0,1.0,0.35,0.25397603002122277,0.0,2.0,0.0
39,100040.0,0.0,1.0,1.0,0.58,0.35714516027483634,0.0,2.0,0.0
40,100041.0,1.0,0.0,1.0,0.73,0.3426989551275977,0.0,2.0,0.0
41,100042.0,1.0,0.0,1.0,0.98,0.35547458434501755,0.0,2.0,0.0
42,100043.0,1.0,1.0,0.0,0.71,0.5687998501146755,0.0,2.0,0.0
43,100044.0,0.0,0.0,1.0,0.95,0.5510251009014925,0.0,2.0,0.0
44,100045.0,1.0,0.0,0.0,0.56,0.4017870656864042,0.0,2.0,0.0
45,100046.0,1.0,0.0,0.0,0.63,0.5518632185113572,0.0,2.0,0.0
46,100047.0,0.0,0.0,0.0,0.32,0.022661248899073862,0.0,2.0,0.0
47,100048.0,0.0,0.0,1.0,0.43,0.23020917743192967,0.0,2.0,0.0
48,100049.0,1.0,1.0,1.0,0.79,0.47023874969774293,0.0,2.0,0.0
49,100050.0,0.0,1.0,0.0,0.89,0.2279315672554585,0.0,2.0,0.0
50,100051.0,1.0,0.0,1.0,0.79,0.42566141221330545,0.0,2.0,0.0
51,100052.0,1.0,1.0,0.0,0.76,0.44753336923063936,0.0,2.0,0.0
52,100053.0,1.0,0.0,0.0,0.71,0.3478700834870698,0.0,2.0,0.0
53,100054.0,0.0,0.0,1.0,0.77,0.38286870525665473,0.0,2.0,0.0
54,100055.0,0.0,1.0,0.0,0.92,0.4334995309808691,0.0,2.0,0.0
55,100056.0,1.0,1.0,0.0,0.01,0.29855704346334594,0.0,2.0,0.0
56,100057.0,1.0,0.0,1.0,0.96,0.49233738842563457,0.0,2.0,0.0
57,100058.0,0.0,1.0,0.0,0.96,0.41387437959987067,0.0,2.0,0.0
58,100059.0,0.0,1.0,0.0,0.28,0.351650745268147,0.0,2.0,0.0
59,100060.0,1.0,1.0,1.0,0.16,0.30938530759265187,0.0,2.0,0.0
60,100061.0,0.0,1.0,0.0,0.11,0.5415028692084896,0.0,2.0,0.0
61,100062.0,0.0,1.0,1.0,0.43,0.026556610396038988,0.0,2.0,0.0
62,100063.0,1.0,0.0,0.0,0.45,0.21001494205325769,0.0,2.0,0.0
63,100064.0,0.0,1.0,0.0,0.69,0.12087188635977057,0.0,2.0,0.0
64,100065.0,1.0,0.0,1.0,0.21,0.5348718906556237,0.0,2.0,0.0
65,100066.0,1.0,0.0,1.0,0.01,0.41270593696943364,0.0,2.0,0.0
66,100067.0,0.0,0.0,0.0,0.14,0.6925155857450405,0.0,2.0,0.0
67,100068.0,0.0,0.0,1.0,0.9,0.2625467303512975,0.0,2.0,0.0
68,100069.0,0.0,1.0,1.0,0.68,0.5031097000074554,0.0,2.0,0.0
69,100070.0,0.0,0.0,1.0,0.54,0.13940750082379202,0.0,2.0,0.0
70,100071.0,1.0,0.0,1.0,0.49,0.42912867039401825,0.0,2.0,0.0
71,100072.0,0.0,0.0,0.0,0.88,0.43524238431948237,0.0,2.0,0.0
72,100073.0,0.0,1.0,0.0,0.33,0.7783991759915244,0.0,2.0,0.0
73,100074.0,0.0,1.0,1.0,0.06,0.32237944258291934,0.0,2.0,0.0
74,100075.0,1.0,1.0,0.0,0.56,0.5323735602436058,0.0,2.0,0.0
75,100076.0,1.0,0.0,0.0,0.72,0.4240791789014507,0.0,2.0,0.0
76,100077.0,1.0,1.0,0.0,0.82,0.3821733188668426,0.0,2.0,0.0
77,100078.0,1.0,0.0,1.0,0.48,0.36910310806506097,0.0,2.0,0.0
78,100079.0,1.0,0.0,1.0,0.63,0.4034486096730194,0.0,2.0,0.0
79,100080.0,0.0,0.0,0.0,0.48,0.11928357562197665,0.0,2.0,0.0
80,100081.0,1.0,1.0,0.0,0.11,0.35947576048554525,0.0,2.0,0.0
81,100082.0,1.0,1.0,1.0,0.37,0.4734718896105724,0.0,2.0,0.0
82,100083.0,1.0,0.0,0.0,0.16,0.2598122628774903,0.0,2.0,0.0
83,100084.0,0.0,0.0,1.0,0.95,0.4749889976037286,0.0,2.0,0.0
84,100085.0,0.0,0.0,1.0,0.99,0.4911867688584941,0.0,2.0,0.0
85,100086.0,0.0,0.0,0.0,0.51,0.4649855200358022,0.0,2.0,0.0
86,100087.0,1.0,1.0,0.0,0.31,0.2592758522680872,0.0,2.0,0.0
87,100088.0,0.0,0.0,1.0,0.93,0.5420229735685407,0.0,2.0,0.0
88,100089.0,1.0,1.0,0.0,0.31,0.18796734994657666,0.0,2.0,0.0
89,100090.0,1.0,1.0,0.0,0.19,0.336111129729811,0.0,2.0,0.0
90,100091.0,1.0,0.0,1.0,0.45,0.37114596992667964,0.0,2.0,0.0
91,100092.0,0.0,0.0,1.0,0.5,0.32723043148021785,0.0,2.0,0.0
92,100093.0,1.0,1.0,1.0,0.85,0.21600557745489501,0.0,2.0,0.0
93,100094.0,0.0,0.0,0.0,0.06,0.5096524813657437,0.0,2.0,0.0
94,100095.0,0.0,1.0,0.0,0.31,0.0405371194965936,0.0,2.0,0.0
95,100096.0,0.0,1.0,0.0,0.68,0.74237799935854,0.0,2.0,0.0
96,100097.0,0.0,1.0,1.0,0.4,0.378318182458706,0.0,2.0,0.0
97,100098.0,1.0,0.0,1.0,0.33,0.47667235549033576,0.0,2.0,0.0
98,100099.0,1.0,1.0,0.0,0.61,0.1727081710715029,0.0,2.0,0.0
99,100100.0,1.0,1.0,0.0,0.72,0.7452760180522997,0.0,2.0,1.0
100,100101.0,1.0,0.0,0.0,0.25,0.35771389162669975,0.0,2.0,0.0
