,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,0.0,0.0,0.0,0.5,0.4270605107126209,1.0,2.0,0.0
1,100002.0,0.0,1.0,1.0,0.07,0.09627258393107567,1.0,2.0,0.0
2,100003.0,0.0,0.0,1.0,0.85,0.4732221255438183,1.0,2.0,0.0
3,100004.0,0.0,0.0,0.0,0.28,0.23524999430118174,1.0,2.0,0.0
4,100005.0,0.0,0.0,0.0,0.32,0.11525076150105877,1.0,2.0,0.0
5,100006.0,1.0,1.0,0.0,0.14,0.5077211714005949,1.0,2.0,0.0
6,100007.0,0.0,1.0,0.0,0.54,0.3525531137374148,1.0,2.0,0.0
7,100008.0,0.0,1.0,0.0,0.08,0.21133962342902074,1.0,2.0,0.0
8,100009.0,0.0,1.0,0.0,0.43,0.26290918600524515,1.0,2.0,0.0
9,100010.0,1.0,0.0,1.0,0.62,0.4021258287830321,1.0,2.0,0.0
10,100011.0,0.0,1.0,1.0,0.82,0.7029604509608752,1.0,2.0,0.0
11,100012.0,1.0,0.0,1.0,0.0,0.07726267079371495,1.0,2.0,0.0
12,100013.0,0.0,0.0,1.0,0.45,0.2998819992287189,1.0,2.0,0.0
13,100014.0,1.0,0.0,1.0,0.88,0.07309524337649063,1.0,2.0,0.0
14,100015.0,1.0,1.0,0.0,0.42,0.21620202684089881,1.0,2.0,0.0
15,100016.0,0.0,0.0,0.0,0.63,0.31883261031719645,1.0,2.0,0.0
16,100017.0,0.0,1.0,1.0,0.92,0.27471594387777687,1.0,2.0,0.0
17,100018.0,1.0,1.0,1.0,0.33,0.28076791402776374,1.0,2.0,0.0
18,100019.0,1.0,1.0,1.0,0.67,0.3892502965476961,1.0,2.0,0.0
19,100020.0,1.0,1.0,1.0,0.86,0.487266543382394,1.0,2.0,0.0
20,100021.0,1.0,0.0,0.0,0.69,0.03583771920826172,1.0,2.0,0.0
21,100022.0,0.0,1.0,0.0,0.38,0.8301992086584264,1.0,2.0,0.0
22,100023.0,1.0,1.0,0.0,0.59,0.5072703907933978,1.0,2.0,0.0
23,100024.0,0.0,1.0,1.0,0.11,0.5336108432543711,1.0,2.0,0.0
24,100025.0,0.0,1.0,0.0,0.91,0.8204806981856619,1.0,2.0,0.0
25,100026.0,1.0,1.0,0.0,0.07,0.485578030418446,1.0,2.0,0.0
26,100027.0,1.0,1.0,1.0,0.05,0.03317987108052657,1.0,2.0,0.0
27,100028.0,1.0,0.0,0.0,0.13,0.045711871299390756,1.0,2.0,0.0
28,100029.0,1.0,0.0,1.0,0.04,0.0075556032027277314,1.0,2.0,0.0
29,100030.0,0.0,0.0,1.0,0.76,0.46738991257271567,1.0,2.0,0.0
30,100031.0,0.0,0.0,1.0,0.4,0.30352009425588616,1.0,2.0,0.0
31,100032.0,1.0,0.0,0.0,0.85,0.3926239351315137,1.0,2.0,0.0
32,100033.0,0.0,0.0,0.0,0.23,0.6071466317827949,1.0,2.0,0.0
33,100034.0,0.0,1.0,1.0,0.23,0.18285923853217442,1.0,2.0,0.0
34,100035.0,0.0,0.0,1.0,0.29,0.6359845742333428,1.0,2.0,0.0
35,100036.0,1.0,1.0,1.0,0.81,0.6160639835579271,1.0,2.0,0.0
36,100037.0,0.0,1.0,1.0,0.57,0.3324775479960713,1.0,2.0,0.0
37,100038.0,1.0,1.0,1.0,0.99,0.43108157273841013,1.0,2.0,0.0
38,100039.0,0.0,1.0,1.0,0.3,0.3621192457731815,1.0,2.0,0.0
39,100040.0,1.0,0.0,1.0,0.14,0.37908224443904115,1.0,2.0,0.0
40,100041.0,1.0,1.0,1.0,0.12,0.3463937142368391,1.0,2.0,0.0
41,100042.0,0.0,1.0,0.0,0.49,0.4728990814209577,1.0,2.0,0.0
42,100043.0,1.0,0.0,0.0,0.0,0.07428517704710523,1.0,2.0,0.0
43,100044.0,1.0,1.0,0.0,0.08,0.5012722404527419,1.0,2.0,0.0
44,100045.0,0.0,0.0,0.0,0.13,0.3641718932319893,1.0,2.0,0.0
45,100046.0,1.0,0.0,1.0,0.01,0.29672605104781047,1.0,2.0,0.0
46,100047.0,1.0,0.0,1.0,0.15,0.5319591973385418,1.0,2.0,0.0
47,100048.0,0.0,0.0,0.0,0.26,0.09875337024479172,1.0,2.0,0.0
48,100049.0,1.0,0.0,1.0,1.0,0.29997169145926433,1.0,2.0,0.0
49,100050.0,0.0,1.0,1.0,0.98,0.8043043751929543,1.0,2.0,0.0
50,100051.0,0.0,0.0,1.0,0.73,0.35810340697419674,1.0,2.0,0.0
51,100052.0,0.0,1.0,1.0,0.75,0.07722679417916843,1.0,2.0,0.0
52,100053.0,0.0,0.0,0.0,0.92,0.3168964507939785,1.0,2.0,0.0
53,100054.0,0.0,1.0,0.0,0.77,0.45969225770561173,1.0,2.0,0.0
54,100055.0,1.0,1.0,1.0,0.14,0.35204386995081494,1.0,2.0,0.0
55,100056.0,1.0,0.0,1.0,0.18,0.6615208557694597,1.0,2.0,0.0
56,100057.0,0.0,1.0,1.0,0.02,0.5142378336538986,1.0,2.0,0.0
57,100058.0,0.0,1.0,1.0,0.67,0.16245690311672845,1.0,2.0,0.0
58,100059.0,0.0,1.0,1.0,0.73,0.6213762640201185,1.0,2.0,0.0
59,100060.0,1.0,1.0,0.0,0.66,0.47354014176244197,1.0,2.0,1.0
60,100061.0,1.0,0.0,1.0,0.21,0.3008200575915944,1.0,2.0,0.0
61,100062.0,1.0,0.0,0.0,0.51,0.3401915442810195,1.0,2.0,0.0
62,100063.0,0.0,0.0,1.0,0.32,0.36191913048784613,1.0,2.0,0.0
63,100064.0,1.0,1.0,1.0,0.15,0.3069019030753198,1.0,2.0,0.0
64,100065.0,0.0,1.0,0.0,0.76,0.08431604437900951,1.0,2.0,0.0
