,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,0.0,1.0,1.0,0.78,0.45566089819116684,0.0,10.0,0.0
1,100002.0,1.0,0.0,0.0,0.66,0.01869008204005369,0.0,10.0,0.0
2,100003.0,0.0,1.0,1.0,0.61,0.21070930897814152,0.0,10.0,0.0
3,100004.0,0.0,0.0,0.0,0.12,0.29857665684245693,0.0,10.0,0.0
4,100005.0,0.0,1.0,1.0,0.77,0.25651381494739195,0.0,10.0,0.0
5,100006.0,1.0,1.0,1.0,0.42,0.1352618604384808,0.0,10.0,0.0
6,100007.0,1.0,0.0,0.0,0.69,0.46531887561070967,0.0,10.0,0.0
7,100008.0,0.0,0.0,1.0,0.79,0.3176786005945891,0.0,10.0,0.0
8,100009.0,0.0,0.0,0.0,0.92,0.41724540554707673,0.0,10.0,0.0
9,100010.0,1.0,0.0,0.0,0.8,0.35776746853193164,0.0,10.0,0.0
10,100011.0,0.0,1.0,0.0,0.81,0.5731925069655412,0.0,10.0,0.0
11,100012.0,1.0,1.0,0.0,1.0,0.11683149415095243,0.0,10.0,0.0
12,100013.0,0.0,1.0,0.0,0.2,0.2910770194214471,0.0,10.0,0.0
13,100014.0,1.0,0.0,0.0,0.29,0.14827312989903582,0.0,10.0,0.0
14,100015.0,0.0,1.0,1.0,0.1,0.36860071253103266,0.0,10.0,0.0
15,100016.0,1.0,1.0,1.0,0.47,0.6832488659240997,0.0,10.0,0.0
16,100017.0,0.0,1.0,1.0,0.56,0.41133314649563973,0.0,10.0,0.0
17,100018.0,1.0,1.0,1.0,0.02,0.05597195207123412,0.0,10.0,0.0
18,100019.0,1.0,0.0,0.0,0.2,0.46830184566728045,0.0,10.0,0.0
19,100020.0,0.0,1.0,1.0,0.06,0.17391249498784622,0.0,10.0,0.0
20,100021.0,0.0,1.0,1.0,0.61,0.1522932233513141,0.0,10.0,0.0
21,100022.0,1.0,0.0,0.0,0.01,0.5537421572348586,0.0,10.0,0.0
22,100023.0,0.0,1.0,1.0,0.22,0.41743908819436715,0.0,10.0,0.0
23,100024.0,0.0,1.0,1.0,0.9,0.4655915625142749,0.0,10.0,0.0
24,100025.0,0.0,0.0,0.0,0.47,0.04179930470857738,0.0,10.0,0.0
25,100026.0,1.0,1.0,1.0,0.63,0.5435261522562035,0.0,10.0,0.0
26,100027.0,1.0,0.0,1.0,0.28,0.1738927627000449,0.0,10.0,0.0
27,100028.0,0.0,1.0,0.0,0.61,0.461424331740501,0.0,10.0,0.0
28,100029.0,1.0,0.0,0.0,0.99,0.3432562638568994,0.0,10.0,0.0
29,100030.0,0.0,0.0,0.0,0.33,0.038600976220675265,0.0,10.0,0.0
30,100031.0,1.0,1.0,1.0,0.06,0.3381275394351455,0.0,10.0,0.0
31,100032.0,0.0,1.0,0.0,0.12,0.13812154393376655,0.0,10.0,0.0
32,100033.0,0.0,0.0,1.0,0.65,0.27471182152220375,0.0,10.0,0.0
33,100034.0,1.0,0.0,1.0,0.44,0.2423230648216513,0.0,10.0,0.0
34,100035.0,1.0,1.0,0.0,0.57,0.3976925254194633,0.0,10.0,1.0
35,100036.0,1.0,0.0,0.0,0.35,0.4371454619800159,0.0,10.0,0.0
36,100037.0,1.0,0.0,0.0,0.35,0.4165042723659346,0.0,10.0,0.0
37,100038.0,1.0,0.0,0.0,0.97,0.3448670871445891,0.0,10.0,0.0
38,100039.0,0.0,0.0,1.0,0.54,0.30729337153198777,0.0,10.0,0.0
39,100040.0,1.0,1.0,1.0,0.86,0.18413863382671655,0.0,10.0,0.0
40,100041.0,1.0,1.0,1.0,0.14,0.7496570946986831,0.0,10.0,0.0
41,100042.0,1.0,0.0,0.0,0.46,0.39055633009604,0.0,10.0,0.0
42,100043.0,1.0,0.0,1.0,0.1,0.4031334483726865,0.0,10.0,0.0
43,100044.0,1.0,1.0,0.0,0.72,0.47898570374648247,0.0,10.0,1.0
44,100045.0,0.0,0.0,0.0,0.12,0.4144672418413807,0.0,10.0,0.0
