,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,0.0,1.0,0.0,0.15,0.4416754133483816,1.0,4.0,0.0
1,100002.0,0.0,0.0,1.0,0.93,0.375370484983137,1.0,4.0,0.0
2,100003.0,1.0,1.0,0.0,0.01,0.404091672461127,1.0,4.0,0.0
3,100004.0,0.0,0.0,1.0,0.2,0.26228504079452364,1.0,4.0,0.0
4,100005.0,1.0,1.0,1.0,0.36,0.7754476859098242,1.0,4.0,0.0
5,100006.0,1.0,1.0,1.0,0.06,0.08436242405634317,1.0,4.0,0.0
6,100007.0,0.0,0.0,1.0,0.1,0.315326567440259,1.0,4.0,0.0
7,100008.0,0.0,1.0,1.0,0.27,0.07053404704601153,1.0,4.0,0.0
8,100009.0,1.0,0.0,1.0,0.26,0.5092564170146371,1.0,4.0,0.0
9,100010.0,0.0,1.0,1.0,0.65,0.1995242672506887,1.0,4.0,0.0
10,100011.0,1.0,1.0,1.0,0.57,0.5354570202139355,1.0,4.0,0.0
11,100012.0,1.0,1.0,1.0,0.6,0.5422367171153157,1.0,4.0,0.0
12,100013.0,1.0,1.0,0.0,0.49,0.5371556839915591,1.0,4.0,0.0
13,100014.0,1.0,0.0,1.0,0.33,0.018456487071123823,1.0,4.0,0.0
14,100015.0,0.0,0.0,0.0,0.52,0.3952902125490161,1.0,4.0,0.0
15,100016.0,0.0,0.0,0.0,0.73,0.2750233527348781,1.0,4.0,0.0
16,100017.0,1.0,0.0,1.0,0.02,0.13613652996739778,1.0,4.0,0.0
17,100018.0,1.0,1.0,1.0,0.74,0.2500062234190294,1.0,4.0,0.0
18,100019.0,0.0,1.0,1.0,0.33,0.3037989545094962,1.0,4.0,0.0
19,100020.0,0.0,0.0,0.0,0.53,0.07853698290697027,1.0,4.0,0.0
20,100021.0,0.0,0.0,1.0,0.45,0.25951997727084286,1.0,4.0,0.0
21,100022.0,1.0,0.0,1.0,0.44,0.2100473898429615,1.0,4.0,0.0
22,100023.0,0.0,1.0,0.0,0.4,0.2223019676927065,1.0,4.0,0.0
23,100024.0,0.0,1.0,1.0,0.47,0.3150435162190345,1.0,4.0,0.0
24,100025.0,1.0,1.0,0.0,0.92,0.5490373309236538,1.0,4.0,0.0
25,100026.0,0.0,1.0,1.0,0.73,0.38364682173128606,1.0,4.0,0.0
26,100027.0,0.0,1.0,0.0,0.96,0.3900932566634319,1.0,4.0,0.0
27,100028.0,1.0,1.0,1.0,0.65,0.5617459753087822,1.0,4.0,0.0
28,100029.0,0.0,1.0,0.0,0.68,0.35364451954303694,1.0,4.0,0.0
29,100030.0,0.0,1.0,1.0,0.73,0.3842528903486474,1.0,4.0,0.0
30,100031.0,0.0,1.0,0.0,0.02,0.1899370890814528,1.0,4.0,0.0
31,100032.0,0.0,1.0,0.0,0.08,0.18849212517018565,1.0,4.0,0.0
32,100033.0,1.0,0.0,1.0,0.27,0.2768179618290775,1.0,4.0,0.0
33,100034.0,1.0,0.0,1.0,0.65,0.07058799089919773,1.0,4.0,0.0
34,100035.0,0.0,0.0,1.0,0.44,0.23697473912730627,1.0,4.0,0.0
35,100036.0,0.0,0.0,0.0,0.95,0.306336446325458,1.0,4.0,0.0
36,100037.0,1.0,1.0,1.0,0.65,0.3801922836673988,1.0,4.0,0.0
37,100038.0,0.0,0.0,0.0,0.12,0.8461531508071654,1.0,4.0,0.0
38,100039.0,1.0,1.0,1.0,0.95,0.44237720691294163,1.0,4.0,0.0
39,100040.0,0.0,0.0,0.0,0.05,0.39117491372054974,1.0,4.0,0.0
40,100041.0,1.0,0.0,1.0,0.17,0.3949535740940041,1.0,4.0,0.0
41,100042.0,1.0,0.0,0.0,0.41,0.33310598934684793,1.0,4.0,0.0
42,100043.0,0.0,0.0,0.0,0.77,0.14770025648699664,1.0,4.0,0.0
43,100044.0,1.0,0.0,0.0,0.97,0.4995690668339739,1.0,4.0,0.0
44,100045.0,0.0,1.0,0.0,0.86,0.34615116247491295,1.0,4.0,0.0
45,100046.0,1.0,1.0,0.0,0.0,0.17121483865345954,1.0,4.0,0.0
46,100047.0,0.0,1.0,0.0,0.44,0.07065080324789653,1.0,4.0,0.0
47,100048.0,1.0,0.0,1.0,0.22,0.37374836782533977,1.0,4.0,0.0
48,100049.0,1.0,1.0,0.0,0.63,0.005855281751419511,1.0,4.0,0.0
49,100050.0,1.0,1.0,0.0,0.51,0.1591740482819502,1.0,4.0,0.0
50,100051.0,1.0,0.0,1.0,0.62,0.20296602683638754,1.0,4.0,0.0
51,100052.0,0.0,0.0,1.0,0.66,0.23170342578606612,1.0,4.0,0.0
52,100053.0,1.0,1.0,1.0,0.25,0.0982053292261545,1.0,4.0,0.0
53,100054.0,1.0,1.0,0.0,0.84,0.12482695485141719,1.0,4.0,0.0
54,100055.0,1.0,0.0,0.0,0.96,0.7996486284126252,1.0,4.0,0.0
55,100056.0,1.0,1.0,1.0,0.85,0.18535258295848256,1.0,4.0,0.0
56,100057.0,1.0,1.0,0.0,0.1,0.41845426863820184,1.0,4.0,0.0
57,100058.0,1.0,1.0,0.0,0.01,0.4431232801496128,1.0,4.0,0.0
58,100059.0,1.0,1.0,1.0,0.84,0.1857685253826302,1.0,4.0,0.0
59,100060.0,0.0,0.0,1.0,0.28,0.34557575114078815,1.0,4.0,0.0
60,100061.0,0.0,1.0,0.0,0.68,0.03404749034782145,1.0,4.0,0.0
61,100062.0,1.0,0.0,1.0,0.35,0.16278944115878533,1.0,4.0,0.0
62,100063.0,1.0,0.0,0.0,0.39,0.4293078398919192,1.0,4.0,0.0
63,100064.0,1.0,0.0,0.0,0.39,0.26867238930050363,1.0,4.0,0.0
64,100065.0,0.0,0.0,0.0,0.98,0.256556195879558,1.0,4.0,0.0
65,100066.0,1.0,0.0,0.0,0.48,0.5618515648762052,1.0,4.0,0.0
66,100067.0,0.0,1.0,0.0,0.64,0.7220352295367827,1.0,4.0,0.0
67,100068.0,1.0,0.0,0.0,0.84,0.1589369643114383,1.0,4.0,0.0
68,100069.0,1.0,1.0,1.0,0.43,0.4212811683357188,1.0,4.0,0.0
69,100070.0,0.0,0.0,0.0,0.34,0.1344381639657226,1.0,4.0,0.0
70,100071.0,0.0,1.0,1.0,0.19,0.41961611556721906,1.0,4.0,0.0
71,100072.0,0.0,1.0,0.0,0.28,0.014180983326598957,1.0,4.0,0.0
72,100073.0,1.0,0.0,1.0,0.5,0.6822417703966571,1.0,4.0,0.0
73,100074.0,1.0,0.0,0.0,0.18,0.2777459964163149,1.0,4.0,0.0
74,100075.0,1.0,0.0,0.0,0.96,0.2717841338230723,1.0,4.0,0.0
75,100076.0,1.0,1.0,0.0,0.75,0.5684857506608085,1.0,4.0,1.0
76,100077.0,1.0,1.0,1.0,0.87,0.4329677647944212,1.0,4.0,0.0
77,100078.0,0.0,0.0,1.0,0.42,0.4017494522099535,1.0,4.0,0.0
78,100079.0,0.0,1.0,0.0,0.55,0.4909907495318552,1.0,4.0,0.0
79,100080.0,1.0,0.0,1.0,0.82,0.5192614483653125,1.0,4.0,0.0
80,100081.0,0.0,0.0,0.0,0.42,0.3235475653129666,1.0,4.0,0.0
81,100082.0,1.0,1.0,0.0,0.6,0.08296752495510296,1.0,4.0,0.0
82,100083.0,0.0,1.0,1.0,0.41,0.5213301314383229,1.0,4.0,0.0
83,100084.0,1.0,0.0,0.0,0.56,0.04373243672020633,1.0,4.0,0.0
84,100085.0,1.0,1.0,1.0,0.37,0.4858877042140366,1.0,4.0,0.0
85,100086.0,0.0,0.0,1.0,0.8,0.30280169994430917,1.0,4.0,0.0
86,100087.0,0.0,0.0,0.0,0.21,0.13451338754156936,1.0,4.0,0.0
87,100088.0,1.0,1.0,0.0,0.89,0.4119904384883657,1.0,4.0,0.0
88,100089.0,1.0,1.0,1.0,0.29,0.25251181240191967,1.0,4.0,0.0
89,100090.0,0.0,1.0,0.0,0.23,0.3136059208493228,1.0,4.0,0.0
90,100091.0,0.0,1.0,1.0,0.12,0.39749642722820655,1.0,4.0,0.0
91,100092.0,1.0,1.0,1.0,0.15,0.5201919916478817,1.0,4.0,0.0
92,100093.0,0.0,1.0,0.0,0.79,0.6549275730574143,1.0,4.0,0.0
93,100094.0,1.0,1.0,0.0,0.15,0.5258108126005678,1.0,4.0,0.0
94,100095.0,0.0,1.0,0.0,0.76,0.30271213453071427,1.0,4.0,0.0
95,100096.0,1.0,1.0,0.0,0.75,0.5474040327905816,1.0,4.0,0.0
96,100097.0,0.0,0.0,0.0,0.36,0.025395086195557363,1.0,4.0,0.0
97,100098.0,0.0,0.0,0.0,0.17,0.22512598606162687,1.0,4.0,0.0
98,100099.0,0.0,1.0,0.0,0.03,0.08879210405285377,1.0,4.0,0.0
99,100100.0,0.0,1.0,1.0,0.53,0.7566702866512797,1.0,4.0,0.0
100,100101.0,1.0,1.0,0.0,0.96,0.10967867832474348,1.0,4.0,0.0
101,100102.0,1.0,1.0,0.0,0.32,0.4781114349779007,1.0,4.0,0.0
102,100103.0,0.0,0.0,0.0,0.11,0.4156602853447646,1.0,4.0,0.0
103,100104.0,1.0,1.0,0.0,0.93,0.22817416589233414,1.0,4.0,0.0
104,100105.0,1.0,0.0,1.0,0.33,0.40345622094588335,1.0,4.0,0.0
105,100106.0,0.0,0.0,1.0,0.86,0.5151952170059789,1.0,4.0,0.0
106,100107.0,0.0,0.0,0.0,0.78,0.2122471915730406,1.0,4.0,0.0
107,100108.0,0.0,0.0,1.0,0.02,0.1767593410749391,1.0,4.0,0.0
108,100109.0,0.0,0.0,0.0,0.95,0.31446971723550926,1.0,4.0,0.0
109,100110.0,0.0,1.0,1.0,0.49,0.41879587013888436,1.0,4.0,0.0
110,100111.0,0.0,0.0,0.0,0.01,0.4500324015760683,1.0,4.0,0.0
111,100112.0,0.0,1.0,1.0,0.82,0.5634081573710004,1.0,4.0,0.0
112,100113.0,0.0,1.0,1.0,0.1,0.5235449643947031,1.0,4.0,0.0
113,100114.0,0.0,0.0,1.0,0.17,0.20535656102032868,1.0,4.0,0.0
114,100115.0,1.0,0.0,1.0,0.61,0.39456340045734806,1.0,4.0,0.0
115,100116.0,1.0,1.0,1.0,0.33,0.18110087867535768,1.0,4.0,0.0
116,100117.0,0.0,1.0,1.0,0.23,0.40058814162994594,1.0,4.0,0.0
117,100118.0,0.0,0.0,0.0,0.69,0.5195379060979829,1.0,4.0,0.0
118,100119.0,0.0,0.0,1.0,0.24,0.5047977231045765,1.0,4.0,0.0
119,100120.0,1.0,0.0,0.0,0.24,0.11326127169036021,1.0,4.0,0.0
120,100121.0,1.0,1.0,1.0,0.1,0.49377526722321663,1.0,4.0,0.0
121,100122.0,1.0,0.0,0.0,0.95,0.05088121924075017,1.0,4.0,0.0
122,100123.0,0.0,1.0,1.0,0.07,0.021848672571264275,1.0,4.0,0.0
123,100124.0,0.0,0.0,0.0,0.63,0.1874064579235218,1.0,4.0,0.0
124,100125.0,1.0,1.0,0.0,0.73,0.16189498150361187,1.0,4.0,0.0
125,100126.0,1.0,1.0,0.0,0.27,0.2921636509658069,1.0,4.0,0.0
126,100127.0,0.0,0.0,0.0,0.14,0.5600689915115477,1.0,4.0,0.0
127,100128.0,0.0,1.0,0.0,0.8,0.43914270135164624,1.0,4.0,0.0
128,100129.0,1.0,1.0,0.0,0.1,0.36779654842384213,1.0,4.0,0.0
129,100130.0,0.0,1.0,1.0,0.03,0.021157125233803042,1.0,4.0,0.0
130,100131.0,0.0,0.0,0.0,0.47,0.6005002373919336,1.0,4.0,0.0
131,100132.0,1.0,1.0,0.0,0.43,0.30007661914228434,1.0,4.0,0.0
132,100133.0,0.0,0.0,1.0,0.48,0.310640263043402,1.0,4.0,0.0
133,100134.0,0.0,0.0,0.0,0.83,0.3861235901667838,1.0,4.0,0.0
134,100135.0,1.0,1.0,0.0,0.63,0.403170210543859,1.0,4.0,0.0
135,100136.0,0.0,0.0,0.0,0.09,0.6630574340853066,1.0,4.0,0.0
136,100137.0,0.0,1.0,0.0,0.41,0.3184540643714162,1.0,4.0,0.0
137,100138.0,0.0,1.0,0.0,0.95,0.6621265729036567,1.0,4.0,0.0
138,100139.0,0.0,0.0,0.0,0.73,0.2069872188302017,1.0,4.0,0.0
139,100140.0,1.0,0.0,1.0,0.92,0.2606277278767011,1.0,4.0,0.0
140,100141.0,0.0,0.0,1.0,0.32,0.5223998455149595,1.0,4.0,0.0
141,100142.0,1.0,1.0,0.0,0.77,0.09761752547748893,1.0,4.0,0.0
142,100143.0,1.0,1.0,0.0,0.37,0.2669008400544213,1.0,4.0,0.0
143,100144.0,0.0,1.0,1.0,0.73,0.40575591675622,1.0,4.0,0.0
144,100145.0,1.0,0.0,0.0,0.09,0.3808994650646052,1.0,4.0,0.0
145,100146.0,0.0,0.0,0.0,0.08,0.8053809762418896,1.0,4.0,0.0
146,100147.0,0.0,0.0,1.0,0.78,0.2231358559939615,1.0,4.0,0.0
147,100148.0,1.0,1.0,0.0,0.43,0.21700273874418474,1.0,4.0,0.0
148,100149.0,0.0,1.0,1.0,0.96,0.06477553433924577,1.0,4.0,0.0
149,100150.0,1.0,1.0,1.0,0.58,0.3575655048419424,1.0,4.0,0.0
150,100151.0,1.0,0.0,0.0,0.28,0.1540944614964835,1.0,4.0,0.0
151,100152.0,1.0,0.0,1.0,0.75,0.4686778380993758,1.0,4.0,0.0
152,100153.0,1.0,1.0,1.0,0.89,0.2680745544239348,1.0,4.0,0.0
153,100154.0,1.0,1.0,1.0,0.48,0.21622038958725978,1.0,4.0,0.0
154,100155.0,1.0,0.0,0.0,0.92,0.30772548065685046,1.0,4.0,0.0
155,100156.0,1.0,0.0,1.0,0.26,0.05525288822078082,1.0,4.0,0.0
156,100157.0,1.0,1.0,1.0,0.69,0.052241120853668915,1.0,4.0,0.0
157,100158.0,1.0,0.0,0.0,0.92,0.3569443031670468,1.0,4.0,0.0
158,100159.0,1.0,0.0,1.0,0.94,0.5176384948798062,1.0,4.0,0.0
