,Id,Availability,MedicalCondition,UTEExperience,WorkerResilience,WorkerPreference,ProductionPriority,DueDate,FinalAllocation
0,100001.0,0.0,1.0,0.0,0.36,0.39584913220430923,0.0,5.0,0.0
1,100002.0,0.0,1.0,1.0,0.92,0.37252463130774993,0.0,5.0,0.0
2,100003.0,0.0,1.0,1.0,0.55,0.004545944032891199,0.0,5.0,0.0
3,100004.0,1.0,1.0,0.0,0.89,0.4450553835149974,0.0,5.0,0.0
4,100005.0,0.0,1.0,0.0,0.07,0.44559035403817343,0.0,5.0,0.0
5,100006.0,1.0,0.0,1.0,0.05,0.29005071252222814,0.0,5.0,0.0
6,100007.0,0.0,0.0,0.0,0.07,0.2950982796692544,0.0,5.0,0.0
7,100008.0,0.0,1.0,0.0,0.04,0.3713620594458511,0.0,5.0,0.0
8,100009.0,1.0,1.0,1.0,0.34,0.041029725613178976,0.0,5.0,0.0
9,100010.0,0.0,1.0,1.0,0.13,0.1818573540823824,0.0,5.0,0.0
10,100011.0,1.0,0.0,0.0,0.39,0.36692652021401173,0.0,5.0,0.0
11,100012.0,0.0,1.0,1.0,0.04,0.6064629830584688,0.0,5.0,0.0
12,100013.0,0.0,0.0,0.0,0.21,0.06546527467507714,0.0,5.0,0.0
13,100014.0,1.0,0.0,0.0,0.7,0.7163997279449765,0.0,5.0,0.0
14,100015.0,0.0,1.0,1.0,0.51,0.4567053898506005,0.0,5.0,0.0
15,100016.0,1.0,0.0,0.0,0.38,0.2122959033431674,0.0,5.0,0.0
16,100017.0,1.0,1.0,0.0,0.52,0.16612200550869724,0.0,5.0,0.0
17,100018.0,1.0,0.0,0.0,0.43,0.5120366276712147,0.0,5.0,0.0
18,100019.0,0.0,0.0,0.0,0.33,0.1068692572129375,0.0,5.0,0.0
19,100020.0,0.0,0.0,0.0,0.37,0.3247893490138241,0.0,5.0,0.0
20,100021.0,1.0,1.0,0.0,0.62,0.07157039177692072,0.0,5.0,0.0
21,100022.0,1.0,1.0,0.0,0.86,0.42854947189640563,0.0,5.0,0.0
22,100023.0,1.0,1.0,1.0,0.25,0.23811638633314774,0.0,5.0,0.0
23,100024.0,1.0,0.0,1.0,0.22,0.34307895516625064,0.0,5.0,0.0
24,100025.0,0.0,0.0,0.0,0.43,0.43953170779410844,0.0,5.0,0.0
25,100026.0,0.0,1.0,1.0,0.22,0.08780522593495459,0.0,5.0,0.0
26,100027.0,1.0,1.0,1.0,0.87,0.06412591095883055,0.0,5.0,0.0
27,100028.0,0.0,0.0,0.0,0.54,0.1519754339919977,0.0,5.0,0.0
28,100029.0,0.0,0.0,0.0,0.09,0.6260785978442438,0.0,5.0,0.0
29,100030.0,0.0,1.0,1.0,0.35,0.3048706275843455,0.0,5.0,0.0
30,100031.0,0.0,0.0,1.0,0.82,0.6508838924588982,0.0,5.0,0.0
31,100032.0,0.0,0.0,1.0,0.88,0.43006643989148857,0.0,5.0,0.0
32,100033.0,1.0,1.0,0.0,0.74,0.36020149704791476,0.0,5.0,0.0
33,100034.0,1.0,0.0,1.0,0.91,0.374182177778949,0.0,5.0,0.0
34,100035.0,1.0,0.0,0.0,0.49,0.5193144367330229,0.0,5.0,0.0
35,100036.0,0.0,0.0,1.0,0.22,0.2963514651095828,0.0,5.0,0.0
36,100037.0,0.0,1.0,1.0,0.86,0.5246089243402623,0.0,5.0,0.0
37,100038.0,1.0,1.0,0.0,0.1,0.12102670434875037,0.0,5.0,0.0
38,100039.0,1.0,0.0,0.0,0.17,0.26002372066393276,0.0,5.0,0.0
39,100040.0,1.0,1.0,0.0,0.88,0.3673840123814118,0.0,5.0,0.0
40,100041.0,0.0,1.0,1.0,0.39,0.2835996003201005,0.0,5.0,0.0
41,100042.0,0.0,0.0,0.0,0.14,0.34975919838921304,0.0,5.0,0.0
42,100043.0,1.0,0.0,1.0,0.95,0.4403886185320381,0.0,5.0,0.0
43,100044.0,1.0,0.0,1.0,0.25,0.23652157171170324,0.0,5.0,0.0
44,100045.0,1.0,1.0,0.0,0.1,0.28696603697028045,0.0,5.0,0.0
45,100046.0,0.0,1.0,1.0,0.84,0.22829020630102678,0.0,5.0,0.0
46,100047.0,0.0,0.0,1.0,0.34,0.8079692835626474,0.0,5.0,0.0
47,100048.0,0.0,1.0,0.0,0.29,0.2972842432703764,0.0,5.0,0.0
48,100049.0,0.0,1.0,0.0,0.2,0.5057961787669754,0.0,5.0,0.0
49,100050.0,1.0,0.0,1.0,0.31,0.3993106979941608,0.0,5.0,0.0
50,100051.0,1.0,0.0,1.0,0.02,0.565884606202792,0.0,5.0,0.0
51,100052.0,1.0,1.0,0.0,0.99,0.24836073956158994,0.0,5.0,0.0
52,100053.0,0.0,0.0,1.0,0.43,0.03307322214494147,0.0,5.0,0.0
53,100054.0,0.0,0.0,0.0,0.65,0.4870298993528331,0.0,5.0,0.0
54,100055.0,0.0,0.0,0.0,0.66,0.25689658314076563,0.0,5.0,0.0
55,100056.0,1.0,0.0,1.0,0.28,0.016852343075589762,0.0,5.0,0.0
56,100057.0,1.0,0.0,1.0,0.07,0.34278712249586674,0.0,5.0,0.0
57,100058.0,0.0,0.0,1.0,0.03,0.07623050754562376,0.0,5.0,0.0
58,100059.0,0.0,1.0,1.0,0.78,0.33167656116749966,0.0,5.0,0.0
59,100060.0,1.0,1.0,1.0,0.05,0.41721579965315825,0.0,5.0,0.0
60,100061.0,1.0,1.0,1.0,0.8,0.3749422965746824,0.0,5.0,0.0
61,100062.0,1.0,0.0,0.0,0.57,0.6529214448250648,0.0,5.0,0.0
62,100063.0,0.0,0.0,0.0,0.05,0.41295434336915693,0.0,5.0,0.0
63,100064.0,0.0,0.0,1.0,0.31,0.29522430956467066,0.0,5.0,0.0
64,100065.0,1.0,1.0,0.0,0.23,0.18052238745347823,0.0,5.0,0.0
65,100066.0,0.0,1.0,0.0,0.43,0.23985673495066523,0.0,5.0,0.0
66,100067.0,0.0,1.0,0.0,0.82,0.32530016730526573,0.0,5.0,0.0
67,100068.0,0.0,1.0,0.0,0.21,0.17187872486086103,0.0,5.0,0.0
68,100069.0,0.0,1.0,1.0,0.67,0.28198621505991855,0.0,5.0,0.0
69,100070.0,1.0,1.0,0.0,0.33,0.09385675834145855,0.0,5.0,0.0
70,100071.0,0.0,1.0,0.0,0.28,0.4685131209929292,0.0,5.0,0.0
71,100072.0,1.0,0.0,1.0,0.58,0.32199141400479026,0.0,5.0,0.0
72,100073.0,1.0,0.0,0.0,0.88,0.5121264918173308,0.0,5.0,0.0
73,100074.0,1.0,0.0,0.0,0.85,0.5758349607373541,0.0,5.0,0.0
74,100075.0,1.0,1.0,0.0,0.88,0.31101403702418007,0.0,5.0,0.0
75,100076.0,1.0,1.0,0.0,0.32,0.06946622298837792,0.0,5.0,0.0
76,100077.0,0.0,1.0,1.0,0.78,0.21212734202349182,0.0,5.0,0.0
77,100078.0,1.0,0.0,1.0,0.3,0.02112223593762401,0.0,5.0,0.0
78,100079.0,1.0,1.0,1.0,0.47,0.30794299817432497,0.0,5.0,0.0
79,100080.0,1.0,1.0,1.0,0.23,0.5207220566415557,0.0,5.0,0.0
80,100081.0,1.0,1.0,0.0,0.94,0.4772076148900154,0.0,5.0,0.0
81,100082.0,1.0,0.0,1.0,0.4,0.48716123906506187,0.0,5.0,0.0
82,100083.0,0.0,0.0,0.0,0.1,0.3708085120126535,0.0,5.0,0.0
83,100084.0,0.0,0.0,0.0,0.6,0.27128284992466456,0.0,5.0,0.0
84,100085.0,1.0,0.0,0.0,0.76,0.2832093058906153,0.0,5.0,0.0
85,100086.0,0.0,0.0,0.0,0.55,0.41024794499547007,0.0,5.0,0.0
86,100087.0,1.0,0.0,1.0,0.03,0.1343661629753146,0.0,5.0,0.0
87,100088.0,1.0,0.0,0.0,0.06,0.4275588902991248,0.0,5.0,0.0
88,100089.0,0.0,1.0,0.0,0.14,0.2774423563430895,0.0,5.0,0.0
89,100090.0,1.0,0.0,1.0,0.68,0.06651221000491368,0.0,5.0,0.0
90,100091.0,1.0,1.0,0.0,0.36,0.7901058058276554,0.0,5.0,1.0
91,100092.0,1.0,0.0,1.0,0.07,0.6128482734818611,0.0,5.0,0.0
92,100093.0,0.0,0.0,1.0,0.34,0.19819163931709796,0.0,5.0,0.0
93,100094.0,0.0,0.0,1.0,0.44,0.474438998420988,0.0,5.0,0.0
94,100095.0,1.0,0.0,0.0,0.94,0.6008813317454832,0.0,5.0,0.0
95,100096.0,0.0,1.0,0.0,0.38,0.49971199795524374,0.0,5.0,0.0
96,100097.0,0.0,1.0,0.0,0.95,0.37272713663088125,0.0,5.0,0.0
97,100098.0,1.0,0.0,1.0,0.08,0.37896628118329095,0.0,5.0,0.0
98,100099.0,1.0,0.0,0.0,0.27,0.3601822350969818,0.0,5.0,0.0
99,100100.0,1.0,1.0,1.0,0.8,0.26413484111498503,0.0,5.0,0.0
100,100101.0,0.0,1.0,0.0,0.58,0.4775685011871408,0.0,5.0,0.0
101,100102.0,1.0,0.0,0.0,0.37,0.5101674978474454,0.0,5.0,0.0
102,100103.0,1.0,1.0,0.0,0.12,0.036121283123675456,0.0,5.0,0.0
103,100104.0,0.0,0.0,1.0,0.32,0.20119778727079107,0.0,5.0,0.0
104,100105.0,1.0,0.0,1.0,0.62,0.6806958277445407,0.0,5.0,0.0
105,100106.0,0.0,1.0,1.0,0.42,0.8567067952500493,0.0,5.0,0.0
106,100107.0,0.0,1.0,1.0,0.34,0.5580159884258211,0.0,5.0,0.0
107,100108.0,0.0,1.0,1.0,0.27,0.4077641661760716,0.0,5.0,0.0
108,100109.0,1.0,1.0,1.0,0.2,0.016093191406052195,0.0,5.0,0.0
109,100110.0,1.0,0.0,1.0,0.66,0.6358983815922772,0.0,5.0,0.0
110,100111.0,0.0,0.0,0.0,0.62,0.48297120565860735,0.0,5.0,0.0
111,100112.0,1.0,0.0,1.0,0.45,0.2876610392055415,0.0,5.0,0.0
112,100113.0,1.0,0.0,1.0,0.88,0.5761886846872865,0.0,5.0,0.0
113,100114.0,1.0,1.0,1.0,0.88,0.2613493144012516,0.0,5.0,0.0
114,100115.0,1.0,0.0,1.0,0.19,0.06583141254111677,0.0,5.0,0.0
115,100116.0,0.0,0.0,0.0,0.76,0.2308386652447942,0.0,5.0,0.0
116,100117.0,1.0,0.0,1.0,0.96,0.2797506543002834,0.0,5.0,0.0
117,100118.0,1.0,1.0,1.0,0.75,0.28480312350467135,0.0,5.0,0.0
118,100119.0,1.0,0.0,0.0,0.16,0.3587299994097308,0.0,5.0,0.0
119,100120.0,0.0,1.0,1.0,0.71,0.3129636139653796,0.0,5.0,0.0
120,100121.0,0.0,0.0,0.0,0.61,0.10462843921926485,0.0,5.0,0.0
121,100122.0,0.0,0.0,1.0,0.73,0.3575162002456684,0.0,5.0,0.0
122,100123.0,1.0,0.0,1.0,0.28,0.3017900405058392,0.0,5.0,0.0
123,100124.0,1.0,0.0,1.0,0.68,0.5054169558708055,0.0,5.0,0.0
